"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"121","P04234","CD3D","3",0,3,"AF-P04234-F1-model_v4","P04234-F1",0.491,0.711,1,77.4809330323552
"122","P04626","ERBB2","3",15327,10,"AF-P04626-F1-model_v4","P04626-F1",0.179,0.572,1,74.9091822792672
"123","P04908","H2AC8","3",8664,6,"AF-P04908-F1-model_v4","P04908-F1",0.384,0.231,0,91.0890261044177
"124","P05154","SERPINA5","27",0,1,"AF-P05154-F1-model_v4","P05154-F1",0.072,0.585,1,85.7298879900436
"125","P05161","ISG15","3",1871,3,"AF-P05161-F1-model_v4","P05161-F1",0.503,0.095,0,86.5401352426412
"126","P05783","KRT18","3",18316,10,"AF-P05783-F1-model_v4","P05783-F1",0.125,0.53,1,80.2997508896797
"127","P05787","KRT8","3",625,3,"AF-P05787-F1-model_v4","P05787-F1",0.432,0.721,1,76.3267437533227
"128","P06126","CD1A","3",1540,4,"AF-P06126-F1-model_v4","P06126-F1",0.024,0.99,1,89.2181280975982
"129","P06493","CDK1","3",4953,10,"AF-P06493-F1-model_v4","P06493-F1",0.514,0.471,1,89.3155051975052
"130","P06729","CD2","3",77,2,"AF-P06729-F1-model_v4","P06729-F1",0.375,0.633,2,78.2975917926566
"131","P06731","CEACAM5","3",0,1,"AF-P06731-F1-model_v4","P06731-F1",0.251,0.28,0,87.3328605724838
"132","P06899","H2BC11","3",22319,11,"AF-P06899-F1-model_v4","P06899-F1",0.25,0.87,2,85.698045035824
"133","P07101","TH","3",0,1,"AF-P07101-F1-model_v4","P07101-F1",0.17,0.773,1,81.6252548924861
"134","P07492","GRP","41",0,1,"AF-P07492-F1-model_v4","P07492-F1",0.166,0.404,1,64.6090789473684
"135","P07766","CD3E","3",72,3,"AF-P07766-F1-model_v4","P07766-F1",0.191,0.884,1,73.5128017241379
"136","P07949","RET","3",2409,5,"AF-P07949-F1-model_v4","P07949-F1",0.127,0.827,1,79.442057208238
"137","P08069","IGF1R","3",1952,5,"AF-P08069-F1-model_v4","P08069-F1",0.15,0.731,1,78.502755985267
"138","P08118","MSMB","3",0,1,"AF-P08118-F1-model_v4","P08118-F1",0.314,0.474,1,89.4385890257559
"139","P08123","COL1A2","3",7138,6,"AF-P08123-F1-model_v4","P08123-F1",0.237,0.398,0,54.9991547906161
"140","P08620","FGF4","3",0,4,"AF-P08620-F1-model_v4","P08620-F1",0.224,0.043,0,82.7028231511254
"141","P08637","FCGR3A","3",8437,5,"AF-P08637-F1-model_v4","P08637-F1",0.351,0.341,0,85.6387159533074
"142","P08709","F7","27",0,3,"AF-P08709-F1-model_v4","P08709-F1",0.316,0.422,1,82.7395737614171
"143","P08727","KRT19","3",0,7,"AF-P08727-F1-model_v4","P08727-F1",0.374,0.199,0,81.4000710135571
"144","P09210","GSTA2","42",0,1,"AF-P09210-F1-model_v4","P09210-F1",-0.009,0.716,1,97.7326231322634
"145","P09238","MMP10","3",625,2,"AF-P09238-F1-model_v4","P09238-F1",0.19,0.54,1,85.62216801461
"146","P09669","COX6C","15",0,1,"AF-P09669-F1-model_v4","P09669-F1",0.362,0.466,1,94.8665802269044
"147","P09681","GIP","5",0,1,"AF-P09681-F1-model_v4","P09681-F1",0.2,0.079,0,69.9249335548173
"148","P09693","CD3G","3",2841,5,"AF-P09693-F1-model_v4","P09693-F1",0.292,0.279,0,74.7192350486787
"149","P09874","PARP1","3",12969,7,"AF-P09874-F1-model_v4","P09874-F1",0.074,0.732,2,83.2874471299094
"150","P09914","IFIT1","3",0,1,"AF-P09914-F1-model_v4","P09914-F1",0.057,0.93,1,94.1743924993578
"151","P0C0L4","C4A","3",625,2,"AF-P0C0L4-F1-model_v4","P0C0L4-F1",0.343,0.596,1,83.5416452991453
"152","P0C0L5","C4B","3",0,1,"AF-P0C0L5-F1-model_v4","P0C0L5-F1",0.182,0.325,0,83.4692528185101
"153","P0C0S8","H2AC13","3",0,2,"AF-P0C0S8-F1-model_v4","P0C0S8-F1",0.416,0.234,0,91.3035750251762
"154","P0C0S8","H2AC16","3",0,3,"AF-P0C0S8-F1-model_v4","P0C0S8-F1",0.416,0.234,0,91.3035750251762
"155","P0C0S8","H2AC17","3",0,2,"AF-P0C0S8-F1-model_v4","P0C0S8-F1",0.416,0.234,0,91.3035750251762
"156","P0C0S8","H2AC11","3",0,3,"AF-P0C0S8-F1-model_v4","P0C0S8-F1",0.416,0.234,0,91.3035750251762
"157","P0C2W1","FBXO45","3",3105,2,"AF-P0C2W1-F1-model_v4","P0C2W1-F1",0.345,0.555,1,91.2152575406032
"158","P0C7V8","DCAF8L2","3",6579,6,"AF-P0C7V8-F1-model_v4","P0C7V8-F1",0.257,0.877,2,71.2832668528121
"159","P0DPH8","TUBA3D","3",1228,3,"AF-P0DPH8-F1-model_v4","P0DPH8-F1",0.241,0.831,1,91.9623206150342
"160","P0DPK2","H3Y1","3",0,2,"AF-P0DPK2-F1-model_v4","P0DPK2-F1",0.352,0.444,1,85.8604147465438
"161","P10082","PYY","57",0,1,"AF-P10082-F1-model_v4","P10082-F1",0.16,0.109,0,70.5475507614213
"162","P10243","MYBL1","3",0,1,"AF-P10243-F1-model_v4","P10243-F1",0.245,0.673,1,58.4626727423364
"163","P10244","MYBL2","3",0,1,"AF-P10244-F1-model_v4","P10244-F1",0.066,0.633,1,58.4505143475907
"164","P10523","SAG","3",625,2,"AF-P10523-F1-model_v4","P10523-F1",0.232,0.035,0,85.5693362692671
"165","P10645","CHGA","3",0,1,"AF-P10645-F1-model_v4","P10645-F1",0.196,0.069,0,59.1472276949057
"166","P11245","NAT2","55",0,1,"AF-P11245-F1-model_v4","P11245-F1",0.141,0.451,2,96.5502794242168
"167","P11388","TOP2A","3",6519,7,"AF-P11388-F1-model_v4","P11388-F1",0.045,0.897,1,76.4083174292472
"168","P11487","FGF3","3",5535,3,"AF-P11487-F1-model_v4","P11487-F1",0.082,0.412,1,79.0239515279241
"169","P11509","CYP2A6","30",3,2,"AF-P11509-F1-model_v4","P11509-F1",0.104,0.97,1,96.5680683245416
"170","P11836","MS4A1","3",0,1,"AF-P11836-F1-model_v4","P11836-F1",0.126,0.961,1,70.5959067357513
"171","P12004","PCNA","3",6044,9,"AF-P12004-F1-model_v4","P12004-F1",0.569,0.642,1,94.3301493280239
"172","P12034","FGF5","3",0,3,"AF-P12034-F1-model_v4","P12034-F1",0.431,0.547,2,76.0454772182254
"173","P12107","COL11A1","3",1245,4,"AF-P12107-F1-model_v4","P12107-F1",0.179,0.37,0,52.8854014255502
"174","P12314","FCGR1A","3",340,3,"AF-P12314-F1-model_v4","P12314-F1",0.35,0.568,2,84.9618617021277
"175","P12532","CKMT1B","24",0,1,"AF-P12532-F1-model_v4","P12532-F1",0.049,0.325,0,90.0594288304624
"176","P12532","CKMT1A","24",0,1,"AF-P12532-F1-model_v4","P12532-F1",0.049,0.325,0,90.0594288304624
"177","P12544","GZMA","3",0,1,"AF-P12544-F1-model_v4","P12544-F1",0.34,0.564,2,91.4629437869823
"178","P12830","CDH1","3",12346,9,"AF-P12830-F1-model_v4","P12830-F1",0.076,0.224,0,79.8905516739447
"179","P13501","CCL5","3",11655,4,"AF-P13501-F1-model_v4","P13501-F1",0.141,0.432,1,89.3350500715308
"180","P14151","SELL","3",2164,4,"AF-P14151-F1-model_v4","P14151-F1",0.321,0.67,1,85.3251642397562
"181","P14635","CCNB1","3",32128,8,"AF-P14635-F1-model_v4","P14635-F1",0.078,0.699,1,77.7724150162578
"182","P14653","HOXB1","3",0,1,"AF-P14653-F1-model_v4","P14653-F1",0.116,0.318,0,63.1374185022026
"183","P14780","MMP9","3",3543,5,"AF-P14780-F1-model_v4","P14780-F1",0.191,0.717,2,82.256276634164
"184","P14784","IL2RB","3",0,1,"AF-P14784-F1-model_v4","P14784-F1",0.064,0.528,1,65.8170250231696
"185","P14867","GABRA1","36",0,3,"AF-P14867-F1-model_v4","P14867-F1",0.122,0.772,1,82.5693674698795
"186","P15311","EZR","3",9043,11,"AF-P15311-F1-model_v4","P15311-F1",0.19,0.972,1,88.4196745138178
"187","P15863","PAX1","3",0,1,"AF-P15863-F1-model_v4","P15863-F1",0.407,0.188,0,55.5158778430871
"188","P15924","DSP","3",625,2,"AF-P15924-F3-model_v4","P15924-F3",0.58,0.504,2,77.4571179302046
"189","P15924","DSP","3",625,2,"AF-P15924-F1-model_v4","P15924-F1",0.224,0.581,1,80.1721034363068
"190","P15924","DSP","3",625,2,"AF-P15924-F4-model_v4","P15924-F4",0.471,0.813,1,76.5758148306901
"191","P15924","DSP","3",625,2,"AF-P15924-F7-model_v4","P15924-F7",0.154,0.95,1,78.5653919845316
"192","P15924","DSP","3",625,2,"AF-P15924-F2-model_v4","P15924-F2",0.201,0.279,0,80.8613886260002
"193","P15924","DSP","3",625,2,"AF-P15924-F6-model_v4","P15924-F6",0.165,0.337,0,77.4238286211396
"194","P15924","DSP","3",625,2,"AF-P15924-F8-model_v4","P15924-F8",0.212,0.733,3,80.8030049830931
"195","P15924","DSP","3",625,2,"AF-P15924-F9-model_v4","P15924-F9",0.293,0.89,1,79.7218725811253
"196","P15924","DSP","3",625,2,"AF-P15924-F5-model_v4","P15924-F5",0.4,0.639,1,76.9987516176344
"197","P16104","H2AX","3",23216,14,"AF-P16104-F1-model_v4","P16104-F1",0.328,0.078,0,87.3299156513589
"198","P16157","ANK1","3",4383,6,"AF-P16157-F1-model_v4","P16157-F1",0.092,0.544,1,69.7517586587553
"199","P16403","H1-2","3",625,2,"AF-P16403-F1-model_v4","P16403-F1",0.183,0.426,1,65.0318375499334
"200","P16422","EPCAM","3",900,2,"AF-P16422-F1-model_v4","P16422-F1",0.289,0.252,0,87.506487704918
"201","P16471","PRLR","3",496,2,"AF-P16471-F1-model_v4","P16471-F1",0.166,0.812,1,61.7794438765079
"202","P16619","CCL3L3","3",1483,3,"AF-P16619-F1-model_v4","P16619-F1",0.223,0.335,0,90.1158615819209
"203","P16949","STMN1","47",1,2,"AF-P16949-F1-model_v4","P16949-F1",0.448,0.402,1,88.3355858085809
"204","P17643","TYRP1","3",625,2,"AF-P17643-F1-model_v4","P17643-F1",0.313,0.266,0,91.3425678203929
"205","P17787","CHRNB2","22",0,1,"AF-P17787-F1-model_v4","P17787-F1",0.449,0.691,2,80.7815877367896
"206","P18075","BMP7","3",3112,4,"AF-P18075-F1-model_v4","P18075-F1",0.232,0.814,2,76.7069445242886
"207","P18440","NAT1","55",0,1,"AF-P18440-F1-model_v4","P18440-F1",0.291,0.551,1,98.206051861146
"208","P18505","GABRB1","36",0,3,"AF-P18505-F1-model_v4","P18505-F1",0.349,0.41,1,78.421375425727
"209","P18507","GABRG2","36",0,3,"AF-P18507-F1-model_v4","P18507-F1",0.129,0.898,1,78.5081408745745
"210","P18827","SDC1","3",3707,9,"AF-P18827-F1-model_v4","P18827-F1",0.4,0.203,0,55.993032427695
"211","P19022","CDH2","3",6273,6,"AF-P19022-F1-model_v4","P19022-F1",0.099,0.215,0,79.1765300313123
"212","P20132","SDS","65",0,1,"AF-P20132-F1-model_v4","P20132-F1",0.103,0.828,1,95.7886266447368
"213","P20248","CCNA2","3",25707,7,"AF-P20248-F1-model_v4","P20248-F1",0.256,0.547,2,74.7478724026924
"214","P20591","MX1","3",1987,2,"AF-P20591-F1-model_v4","P20591-F1",0.269,0.885,1,83.3958606403013
"215","P20700","LMNB1","3",218,2,"AF-P20700-F1-model_v4","P20700-F1",0.275,0.754,2,82.6346633684663
"216","P21579","SYT1","3",3734,6,"AF-P21579-F1-model_v4","P21579-F1",0.232,0.309,0,81.1354439461883
"217","P21815","IBSP","3",0,1,"AF-P21815-F1-model_v4","P21815-F1",0.275,0.088,0,50.0554607922393
"218","P21860","ERBB3","3",6480,4,"AF-P21860-F1-model_v4","P21860-F1",0.108,0.502,1,72.8253734800232
"219","P22362","CCL1","3",625,2,"AF-P22362-F1-model_v4","P22362-F1",0.344,0.481,1,86.4007984293194
"220","P22492","H1-6","3",0,1,"AF-P22492-F1-model_v4","P22492-F1",0.068,0.152,0,63.551847051199
"221","P22674","CCNO","3",1248,3,"AF-P22674-F1-model_v4","P22674-F1",0.405,0.838,2,79.7310232383808
"222","P23510","TNFSF4","3",0,1,"AF-P23510-F1-model_v4","P23510-F1",0.246,0.187,0,84.4242645074224
"223","P23527","H2BC17","3",2006,9,"AF-P23527-F1-model_v4","P23527-F1",0.371,0.957,2,88.0009928352098
"224","P23771","GATA3","3",40579,15,"AF-P23771-F1-model_v4","P23771-F1",0.11,0.426,1,58.3175371360665
"225","P24347","MMP11","3",0,1,"AF-P24347-F1-model_v4","P24347-F1",0.41,0.848,1,78.8245550683518
"226","P24385","CCND1","3",992,4,"AF-P24385-F1-model_v4","P24385-F1",0.313,0.616,2,88.5515780518928
"227","P24588","AKAP5","3",1248,2,"AF-P24588-F1-model_v4","P24588-F1",0.32,0.513,1,55.2899423718532
