"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"15","O00257","CBX4","3",0,9,1.69937824800401,"AF-O00257-F1-model_v4","O00257-F1",0.083,0.562,1,54.7085965317919
"16","O00311","CDC7","3",1422,3,1.52980930208088,"AF-O00311-F1-model_v4","O00311-F1",0.307,0.427,1,72.3620397232761
"17","O00444","PLK4","3",1109,3,1.91270787005851,"AF-O00444-F1-model_v4","O00444-F1",0.133,0.199,0,66.9229360313316
"18","O00746","NME4","3",0,2,1.00377435857682,"AF-O00746-F1-model_v4","O00746-F1",0.082,0.839,1,85.5394368131868
"19","O00762","UBE2C","3",543,6,2.7375557254296,"AF-O00762-F1-model_v4","O00762-F1",0.355,0.286,0,89.6987066473989
"20","O14578","CIT","3",0,1,2.03725382050208,"AF-O14578-F1-model_v4","O14578-F1",0.129,0.882,1,70.152782431933
"21","O14625","CXCL11","3",1442,3,1.52325318847131,"AF-O14625-F1-model_v4","O14625-F1",0.353,0.178,0,77.9241944444444
"22","O14745","NHERF1","3",7656,2,2.21665864309998,"AF-O14745-F1-model_v4","O14745-F1",0.202,0.212,0,72.4747214076246
"23","O14756","HSD17B6","22",1,2,1.83637378485115,"AF-O14756-F1-model_v4","O14756-F1",0.374,0.79,1,95.5339114974318
"24","O14757","CHEK1","3",0,6,1.61309328199552,"AF-O14757-F1-model_v4","O14757-F1",0.067,0.732,1,78.1344110733873
"25","O14764","GABRD","18",0,2,1.77623920095956,"AF-O14764-F1-model_v4","O14764-F1",0.442,0.676,3,80.2010523369717
"26","O14777","NDC80","3",841,2,2.35491580914383,"AF-O14777-F1-model_v4","O14777-F1",0.161,0.532,2,78.6095798805165
"27","O14879","IFIT3","3",6386,4,1.01267488017032,"AF-O14879-F1-model_v4","O14879-F1",0.158,0.152,0,75.7469633774161
"28","O14933","UBE2L6","3",2502,3,1.09886142634403,"AF-O14933-F1-model_v4","O14933-F1",0.26,0.451,1,95.981488
"29","O14965","AURKA","3",543,8,2.74644153041924,"AF-O14965-F1-model_v4","O14965-F1",0.139,0.431,1,75.9057868649318
"30","O14975","SLC27A2","26",0,1,2.35114594649622,"AF-O14975-F1-model_v4","O14975-F1",0.206,0.925,1,92.7394009681323
"31","O15116","LSM1","3",0,1,1.30675513664407,"AF-O15116-F1-model_v4","O15116-F1",0.241,0.403,1,88.934606741573
"32","O15232","MATN3","3",0,1,1.65925111677903,"AF-O15232-F1-model_v4","O15232-F1",0.264,0.62,1,78.4606536479523
"33","O15360","FANCA","3",0,2,1.69467659381184,"AF-O15360-F1-model_v4","O15360-F1",0.135,0.707,1,74.565869508254
"34","O15381","NVL","3",0,1,1.43731744670745,"AF-O15381-F1-model_v4","O15381-F1",0.201,0.885,3,72.1711012620192
"35","O15528","CYP27B1","3",0,1,1.06364149607355,"AF-O15528-F1-model_v4","O15528-F1",0.246,0.947,1,86.7373639327815
"36","O43242","PSMD3","3",1623,2,1.25252169036018,"AF-O43242-F1-model_v4","O43242-F1",0.208,0.219,0,73.4898509548207
"37","O43255","SIAH2","3",1990,3,1.86013148571027,"AF-O43255-F1-model_v4","O43255-F1",0.279,0.336,0,85.6233664185277
"38","O43312","MTSS1","3",0,1,1.28407864536052,"AF-O43312-F1-model_v4","O43312-F1",0.166,0.048,0,62.235911927878
"39","O43379","WDR62","3",0,1,2.26628049111667,"AF-O43379-F1-model_v4","O43379-F1",0.088,0.77,2,61.3650231402125
"40","O43435","TBX1","33",0,1,1.48675524833303,"AF-O43435-F1-model_v4","O43435-F1",0.102,0.371,0,70.4012582345191
"41","O43543","XRCC2","3",14,6,1.73535304776509,"AF-O43543-F1-model_v4","O43543-F1",0.516,0.659,1,87.09828125
"42","O43570","CA12","8",0,1,1.80933514919427,"AF-O43570-F1-model_v4","O43570-F1",0.413,0.434,1,88.3933477011494
"43","O43683","BUB1","3",1626,5,2.60937710114886,"AF-O43683-F1-model_v4","O43683-F1",0.138,0.403,1,64.124272589836
"44","O43684","BUB3","3",1232,5,1.264864579207,"AF-O43684-F1-model_v4","O43684-F1",0.521,0.372,0,96.402378585086
"45","O43761","SYNGR3","3",40,2,2.48792513602418,"AF-O43761-F1-model_v4","O43761-F1",0.202,0.389,0,80.7308688147296
"46","O60216","RAD21","3",15042,11,1.41067591478755,"AF-O60216-F1-model_v4","O60216-F1",0.067,0.213,0,61.2961923688394
"47","O60566","BUB1B","3",1313,7,2.54583435239151,"AF-O60566-F1-model_v4","O60566-F1",0.211,0.846,2,64.7205771748185
"48","O60635","TSPAN1","35",0,1,2.07708767214235,"AF-O60635-F1-model_v4","O60635-F1",0.125,0.951,1,88.547891598916
"49","O60663","LMX1B","3",0,1,1.0350261989757,"AF-O60663-F1-model_v4","O60663-F1",0.058,0.921,1,70.7138023664855
"50","O60701","UGDH","20",0,1,1.2710956410965,"AF-O60701-F1-model_v4","O60701-F1",0.201,0.894,1,93.7363977243341
"51","O60779","SLC19A2","35",0,1,1.36568402877638,"AF-O60779-F1-model_v4","O60779-F1",0.108,0.955,1,81.2796728852543
"52","O60814","H2BC12","3",197,14,1.50627417968451,"AF-O60814-F1-model_v4","O60814-F1",0.241,0.937,1,88.0577868852459
"53","O60830","TIMM17B","29",2,3,1.10053224005846,"AF-O60830-F1-model_v4","O60830-F1",0.351,0.728,1,81.5055754276827
"54","O75330","HMMR","3",0,2,2.66250649392105,"AF-O75330-F1-model_v4","O75330-F1",0.192,0.886,2,76.1048990670059
"55","O75335","PPFIA4","3",1614,4,1.38070282680872,"AF-O75335-F1-model_v4","O75335-F1",0.213,0.637,3,66.8916406664544
"56","O75362","ZNF217","3",6258,10,1.0200001579796,"AF-O75362-F1-model_v4","O75362-F1",0.24,0.445,1,50.347349591483
"57","O75367","MACROH2A1","3",9448,5,1.12614607076664,"AF-O75367-F1-model_v4","O75367-F1",0.125,0.58,1,82.9274192390524
"58","O75382","TRIM3","3",0,1,1.01717123419678,"AF-O75382-F1-model_v4","O75382-F1",0.217,0.939,2,84.1281000176087
"59","O75417","POLQ","3",0,1,2.50445798468102,"AF-O75417-F1-model_v4","O75417-F1",0.104,0.717,1,59.4862674012494
"60","O75419","CDC45","3",1625,3,2.28736149788679,"AF-O75419-F1-model_v4","O75419-F1",0.323,0.926,1,92.8874267100977
"61","O75674","TOM1L1","3",0,1,1.3064204739675,"AF-O75674-F1-model_v4","O75674-F1",0.33,0.362,0,67.8945149153453
"62","O75717","WDHD1","3",3633,3,1.47961414259149,"AF-O75717-F1-model_v4","O75717-F1",0.21,0.575,1,74.3476551724138
"63","O94761","RECQL4","3",716,7,2.23895585344845,"AF-O94761-F1-model_v4","O94761-F1",0.125,0.793,1,69.0309568099209
"64","O94810","RGS11","3",0,2,1.36339957136717,"AF-O94810-F1-model_v4","O94810-F1",0.141,0.957,2,86.9344647169305
"65","O94905","ERLIN2","3",0,1,1.00628914535245,"AF-O94905-F1-model_v4","O94905-F1",0.415,0.292,0,85.3924416854778
"66","O94972","TRIM37","3",220,2,1.19860428245317,"AF-O94972-F1-model_v4","O94972-F1",0.12,0.97,1,64.6140289009678
"67","O95049","TJP3","3",1598,3,1.4452143170877,"AF-O95049-F1-model_v4","O95049-F1",0.067,0.88,2,66.5840854341737
"68","O95067","CCNB2","3",3236,5,2.34982062901057,"AF-O95067-F1-model_v4","O95067-F1",0.089,0.073,0,80.3833301857098
"69","O95180","CACNA1H","10",20,3,2.7655371221554,"AF-O95180-F1-model_v4","O95180-F1",0.404,0.873,2,58.8297794480715
"70","O95229","ZWINT","3",1085,3,2.42612197843256,"AF-O95229-F1-model_v4","O95229-F1",0.268,0.32,0,79.4582673942701
"71","O95235","KIF20A","3",3085,9,2.63378479741994,"AF-O95235-F1-model_v4","O95235-F1",0.333,0.814,3,67.3045557924662
"72","O95238","SPDEF","3",543,2,1.29261639685562,"AF-O95238-F1-model_v4","O95238-F1",0.087,0.614,1,71.2215550510783
"73","O95239","KIF4A","3",0,2,2.90887429697267,"AF-O95239-F1-model_v4","O95239-F1",0.244,0.668,3,72.1712231759657
"74","O95563","MPC2","29",0,1,1.04787046132705,"AF-O95563-F1-model_v4","O95563-F1",0.417,0.378,0,89.6087413280476
"75","O95619","YEATS4","3",0,1,1.18447445939704,"AF-O95619-F1-model_v4","O95619-F1",0.414,0.769,2,92.430203535083
"76","O95685","PPP1R3D","3",0,1,1.09858894036034,"AF-O95685-F1-model_v4","O95685-F1",0.139,0.935,1,71.797972027972
"77","O95994","AGR2","3",13380,8,2.48934403735385,"AF-O95994-F1-model_v4","O95994-F1",0.263,0.901,1,87.4194598436389
"78","O95997","PTTG1","3",343,4,2.30246519707978,"AF-O95997-F1-model_v4","O95997-F1",0.339,0.504,1,64.5439896707553
"79","O96020","CCNE2","3",1084,4,2.56612381030402,"AF-O96020-F1-model_v4","O96020-F1",0.296,0.527,1,77.7639902676399
"80","O96028","NSD2","3",543,4,1.19804093746367,"AF-O96028-F1-model_v4","O96028-F1",0.105,0.369,0,66.0472810064783
"81","P00492","HPRT1","3",0,1,1.12908996127072,"AF-P00492-F1-model_v4","P00492-F1",0.403,0.209,0,92.7706604866744
"82","P00748","F12","2",5,2,1.99435189140884,"AF-P00748-F1-model_v4","P00748-F1",0.08,0.51,1,76.2485143097643
"83","P00918","CA2","9",0,1,1.13585718056633,"AF-P00918-F1-model_v4","P00918-F1",0.327,0.193,0,97.4029908345393
"84","P00973","OAS1","3",543,3,1.41281071692857,"AF-P00973-F1-model_v4","P00973-F1",0.31,0.455,1,84.2137788728057
"85","P02144","MB","3",0,1,1.53514102689126,"AF-P02144-F1-model_v4","P02144-F1",0.044,0.279,0,97.1770107349298
"86","P02458","COL2A1","12",0,1,2.52350102043988,"AF-P02458-F1-model_v4","P02458-F1",0.385,0.304,0,53.244126252505
"87","P02751","FN1","3",4185,7,1.57069764623636,"AF-P02751-F1-model_v4","P02751-F1",0.143,0.218,0,70.3327573241422
"88","P02768","ALB","3",3207,5,1.04526315411278,"AF-P02768-F1-model_v4","P02768-F1",0.156,0.318,0,92.6397694524496
"89","P02778","CXCL10","3",1247,4,1.52947688442019,"AF-P02778-F1-model_v4","P02778-F1",0.109,0.23,0,90.0851058201058
"90","P02786","TFRC","3",2088,5,1.05750437576031,"AF-P02786-F1-model_v4","P02786-F1",0.083,0.651,1,86.8098130217028
"91","P02790","HPX","3",543,2,1.66665419335095,"AF-P02790-F1-model_v4","P02790-F1",0.36,0.68,1,88.4948083242059
"92","P03372","ESR1","3",14374,17,2.31174050224525,"AF-P03372-F1-model_v4","P03372-F1",0.294,0.587,1,66.9044640931637
"93","P03956","MMP1","3",0,1,2.1892199859311,"AF-P03956-F1-model_v4","P03956-F1",0.393,0.157,0,91.4729717720857
"94","P04075","ALDOA","3",543,2,1.21467199147711,"AF-P04075-F1-model_v4","P04075-F1",0.388,0.378,0,96.5286255411255
"95","P04155","TFF1","3",1085,3,2.15530499565101,"AF-P04155-F1-model_v4","P04155-F1",0.319,0.341,0,88.4052922590837
"96","P04183","TK1","3",0,2,2.45844188053041,"AF-P04183-F1-model_v4","P04183-F1",0.284,0.554,2,82.3099831460674
"97","P04792","HSPB1","3",0,2,1.43923286910632,"AF-P04792-F1-model_v4","P04792-F1",0.075,0.195,0,67.9757293606456
"98","P04818","TYMS","3",0,2,1.49364411243162,"AF-P04818-F1-model_v4","P04818-F1",0.38,0.529,1,94.1360612082671
"99","P05161","ISG15","3",12793,7,1.702306989557,"AF-P05161-F1-model_v4","P05161-F1",0.503,0.095,0,86.5401352426412
"100","P05783","KRT18","3",0,2,1.57687655232912,"AF-P05783-F1-model_v4","P05783-F1",0.125,0.53,1,80.2997508896797
"101","P05787","KRT8","3",0,1,1.60369649743598,"AF-P05787-F1-model_v4","P05787-F1",0.432,0.721,1,76.3267437533227
"102","P06493","CDK1","3",15730,13,2.34247083905494,"AF-P06493-F1-model_v4","P06493-F1",0.514,0.471,1,89.3155051975052
"103","P06753","TPM3","3",9618,5,1.18547637954938,"AF-P06753-F1-model_v4","P06753-F1",0.348,0.799,1,91.788884064264
"104","P06899","H2BC11","3",3051,14,1.62820678665513,"AF-P06899-F1-model_v4","P06899-F1",0.25,0.87,2,85.698045035824
"105","P07949","RET","3",2181,4,3.34236667466032,"AF-P07949-F1-model_v4","P07949-F1",0.127,0.827,1,79.442057208238
"106","P08069","IGF1R","3",2804,5,1.59231742021117,"AF-P08069-F1-model_v4","P08069-F1",0.15,0.731,1,78.502755985267
"107","P08118","MSMB","3",0,2,5.08923323519214,"AF-P08118-F1-model_v4","P08118-F1",0.314,0.474,1,89.4385890257559
"108","P08247","SYP","3",952,3,2.26981430867759,"AF-P08247-F1-model_v4","P08247-F1",0.39,0.651,2,78.3437139272271
"109","P08476","INHBA","3",0,1,1.41357489652595,"AF-P08476-F1-model_v4","P08476-F1",0.032,0.018,0,76.539286789046
"110","P08574","CYC1","3",1,2,1.06947121669897,"AF-P08574-F1-model_v4","P08574-F1",0.109,0.817,1,86.3844046661303
"111","P08709","F7","2",0,1,2.35816984296321,"AF-P08709-F1-model_v4","P08709-F1",0.316,0.422,1,82.7395737614171
"112","P08727","KRT19","3",0,1,1.50307057240463,"AF-P08727-F1-model_v4","P08727-F1",0.374,0.199,0,81.4000710135571
"113","P09104","ENO2","3",0,1,1.81833908494555,"AF-P09104-F1-model_v4","P09104-F1",0.374,0.498,1,97.1374360517605
"114","P09669","COX6C","3",1623,3,2.45611753667954,"AF-P09669-F1-model_v4","P09669-F1",0.362,0.466,1,94.8665802269044
"115","P09874","PARP1","3",18353,10,1.22377192671623,"AF-P09874-F1-model_v4","P09874-F1",0.074,0.732,2,83.2874471299094
"116","P09914","IFIT1","3",0,1,1.71671811924982,"AF-P09914-F1-model_v4","P09914-F1",0.057,0.93,1,94.1743924993578
"117","P0C0S5","H2AZ1","3",2742,14,1.422020457473,"AF-P0C0S5-F1-model_v4","P0C0S5-F1",0.275,0.222,0,90.8227358490566
"118","P0C0S8","H2AC11","3",2160,4,2.23989172339155,"AF-P0C0S8-F1-model_v4","P0C0S8-F1",0.416,0.234,0,91.3035750251762
"119","P0C2W1","FBXO45","3",0,1,1.0660894043171,"AF-P0C2W1-F1-model_v4","P0C2W1-F1",0.345,0.555,1,91.2152575406032
"120","P10242","MYB","3",0,1,1.20526941415614,"AF-P10242-F1-model_v4","P10242-F1",0.162,0.652,1,59.1985935965429
"121","P10243","MYBL1","3",0,1,2.35030871964245,"AF-P10243-F1-model_v4","P10243-F1",0.245,0.673,1,58.4626727423364
"122","P10244","MYBL2","3",0,1,2.79991865696391,"AF-P10244-F1-model_v4","P10244-F1",0.066,0.633,1,58.4505143475907
"123","P10276","RARA","3",1145,13,1.31115240059631,"AF-P10276-F1-model_v4","P10276-F1",0.362,0.958,1,79.418920518602
"124","P10451","SPP1","3",543,2,1.0138378437101,"AF-P10451-F1-model_v4","P10451-F1",0.312,0.072,0,53.139786977492
"125","P10588","NR2F6","3",0,1,1.19445149246888,"AF-P10588-F1-model_v4","P10588-F1",0.399,0.917,1,79.7500198675497
"126","P11388","TOP2A","3",2661,8,3.411766072641,"AF-P11388-F1-model_v4","P11388-F1",0.045,0.897,1,76.4083174292472
"127","P12004","PCNA","3",13243,18,1.44945404361455,"AF-P12004-F1-model_v4","P12004-F1",0.569,0.642,1,94.3301493280239
"128","P12107","COL11A1","12",0,1,2.72918292822147,"AF-P12107-F1-model_v4","P12107-F1",0.179,0.37,0,52.8854014255502
"129","P13164","IFITM1","3",0,1,1.14468703209841,"AF-P13164-F1-model_v4","P13164-F1",0.062,0.984,1,64.085493387589
"130","P13805","TNNT1","3",0,1,3.6950131737174,"AF-P13805-F1-model_v4","P13805-F1",0.147,0.251,0,74.9739308855292
"131","P13995","MTHFD2","30",0,1,1.31254882120816,"AF-P13995-F1-model_v4","P13995-F1",0.34,0.701,1,89.6790327436959
"132","P14635","CCNB1","3",7724,11,2.41421498256903,"AF-P14635-F1-model_v4","P14635-F1",0.078,0.699,1,77.7724150162578
"133","P15311","EZR","3",6070,8,1.17382118562739,"AF-P15311-F1-model_v4","P15311-F1",0.19,0.972,1,88.4196745138178
"134","P15531","NME1","3",3239,5,1.73861553128177,"AF-P15531-F1-model_v4","P15531-F1",0.154,0.48,1,97.4378524046435
"135","P15559","NQO1","3",0,1,1.13368953516178,"AF-P15559-F1-model_v4","P15559-F1",0.254,0.963,1,98.3285341273477
"136","P16104","H2AX","3",50317,24,1.27197809386122,"AF-P16104-F1-model_v4","P16104-F1",0.328,0.078,0,87.3299156513589
"137","P16157","ANK1","3",1084,2,2.54133932090342,"AF-P16157-F1-model_v4","P16157-F1",0.092,0.544,1,69.7517586587553
"138","P16403","H1-2","3",0,1,1.91243848179832,"AF-P16403-F1-model_v4","P16403-F1",0.183,0.426,1,65.0318375499334
"139","P16422","EPCAM","3",0,1,1.16670502525016,"AF-P16422-F1-model_v4","P16422-F1",0.289,0.252,0,87.506487704918
"140","P16471","PRLR","3",0,1,1.29323313431896,"AF-P16471-F1-model_v4","P16471-F1",0.166,0.812,1,61.7794438765079
"141","P16949","STMN1","3",1085,3,1.34674250562374,"AF-P16949-F1-model_v4","P16949-F1",0.448,0.402,1,88.3355858085809
"142","P17066","HSPA6","3",0,1,1.04501480567844,"AF-P17066-F1-model_v4","P17066-F1",0.274,0.452,1,88.9618646104546
"143","P17302","GJA1","3",1853,3,1.0088660121542,"AF-P17302-F1-model_v4","P17302-F1",0.085,0.955,1,70.9983305839657
"144","P17861","XBP1","30",0,1,1.19500974620385,"AF-P17861-F1-model_v4","P17861-F1",0.38,0.362,0,69.8956420426376
"145","P18031","PTPN1","3",0,1,1.58334817389966,"AF-P18031-F1-model_v4","P18031-F1",0.201,0.379,0,82.0306093394077
"146","P18627","LAG3","3",0,1,1.16273248580419,"AF-P18627-F1-model_v4","P18627-F1",0.331,0.261,0,78.2534908911866
"147","P19022","CDH2","3",7316,5,1.69443413144644,"AF-P19022-F1-model_v4","P19022-F1",0.099,0.215,0,79.1765300313123
"148","P20248","CCNA2","3",32620,9,2.42777449430495,"AF-P20248-F1-model_v4","P20248-F1",0.256,0.547,2,74.7478724026924
"149","P20336","RAB3A","3",1626,5,1.54259252449314,"AF-P20336-F1-model_v4","P20336-F1",0.058,0.861,1,84.0467539863326
"150","P20591","MX1","3",3759,2,1.57742285778774,"AF-P20591-F1-model_v4","P20591-F1",0.269,0.885,1,83.3958606403013
"151","P20700","LMNB1","3",543,3,2.19696103157502,"AF-P20700-F1-model_v4","P20700-F1",0.275,0.754,2,82.6346633684663
"152","P21579","SYT1","3",4965,6,3.09355031205206,"AF-P21579-F1-model_v4","P21579-F1",0.232,0.309,0,81.1354439461883
"153","P21860","ERBB3","3",3028,3,1.03016448588862,"AF-P21860-F1-model_v4","P21860-F1",0.108,0.502,1,72.8253734800232
"154","P22607","FGFR3","3",543,2,2.10494789744606,"AF-P22607-F1-model_v4","P22607-F1",0.127,0.488,1,75.3696381632322
"155","P22674","CCNO","3",831,5,1.91317508491098,"AF-P22674-F1-model_v4","P22674-F1",0.405,0.838,2,79.7310232383808
"156","P23258","TUBG1","3",0,2,1.39660504478463,"AF-P23258-F1-model_v4","P23258-F1",0.266,0.628,1,91.8263361111111
"157","P23510","TNFSF4","37",0,1,1.49794839324108,"AF-P23510-F1-model_v4","P23510-F1",0.246,0.187,0,84.4242645074224
"158","P23769","GATA2","3",0,1,1.28030351003872,"AF-P23769-F1-model_v4","P23769-F1",0.186,0.72,2,57.5465256627186
"159","P23771","GATA3","3",22108,11,1.98272711987944,"AF-P23771-F1-model_v4","P23771-F1",0.11,0.426,1,58.3175371360665
"160","P24385","CCND1","3",3229,5,2.05057733931503,"AF-P24385-F1-model_v4","P24385-F1",0.313,0.616,2,88.5515780518928
"161","P24588","AKAP5","4",0,1,1.53369612785921,"AF-P24588-F1-model_v4","P24588-F1",0.32,0.513,1,55.2899423718532
"162","P24593","IGFBP5","3",0,1,1.1965997946929,"AF-P24593-F1-model_v4","P24593-F1",0.269,0.736,2,75.8640592662277
"163","P24864","CCNE1","3",1684,6,2.06413612590714,"AF-P24864-F1-model_v4","P24864-F1",0.101,0.284,0,79.9765767949106
"164","P25815","S100P","3",0,1,2.54317248604064,"AF-P25815-F1-model_v4","P25815-F1",0.427,0.529,1,87.1975412087912
"165","P26583","HMGB2","21",0,1,1.38855818668483,"AF-P26583-F1-model_v4","P26583-F1",0.416,0.299,0,77.6169395017794
"166","P28472","GABRB3","18",0,2,1.28832871640707,"AF-P28472-F1-model_v4","P28472-F1",0.328,0.978,1,80.5361431567908
"167","P28749","RBL1","3",543,2,1.16293479287249,"AF-P28749-F1-model_v4","P28749-F1",0.272,0.363,0,73.1176266792364
"168","P29033","GJB2","3",0,1,1.67186803286607,"AF-P29033-F1-model_v4","P29033-F1",0.236,0.943,2,86.3863956639566
"169","P29320","EPHA3","17",0,1,1.40309151559967,"AF-P29320-F1-model_v4","P29320-F1",0.08,0.436,1,81.2924320827943
"170","P29373","CRABP2","3",0,1,1.97983710668968,"AF-P29373-F1-model_v4","P29373-F1",0.238,0.254,0,96.7101000909918
"171","P29728","OAS2","3",3239,5,1.53250396796244,"AF-P29728-F1-model_v4","P29728-F1",0.27,0.588,1,87.7412699776594
"172","P30304","CDC25A","3",0,2,1.94540870376962,"AF-P30304-F1-model_v4","P30304-F1",0.261,0.229,0,63.5796743849493
"173","P30307","CDC25C","3",0,1,2.85682775518573,"AF-P30307-F1-model_v4","P30307-F1",0.362,0.777,1,64.1824899598394
"174","P30556","AGTR1","3",1084,2,1.4512224435509,"AF-P30556-F1-model_v4","P30556-F1",0.109,0.89,4,82.0448153261995
"175","P31350","RRM2","3",503,2,2.63787518388228,"AF-P31350-F1-model_v4","P31350-F1",0.276,0.377,0,80.1260056925996
"176","P31948","STIP1","3",1196,4,1.1210184280646,"AF-P31948-F1-model_v4","P31948-F1",0.202,0.534,2,90.010867881549
"177","P32242","OTX1","3",0,1,1.06703865601314,"AF-P32242-F1-model_v4","P32242-F1",0.318,0.48,1,57.5427445755615
"178","P32322","PYCR1","28",1,2,1.77480389776485,"AF-P32322-F1-model_v4","P32322-F1",0.336,0.869,2,90.0678100940975
"179","P33552","CKS2","3",0,1,2.07067069581189,"AF-P33552-F1-model_v4","P33552-F1",0.368,0.194,0,92.8712195121951
"180","P33981","TTK","3",543,3,2.39463261505974,"AF-P33981-F1-model_v4","P33981-F1",0.087,0.956,1,63.954351783879
"181","P33991","MCM4","3",3590,6,1.74553322597179,"AF-P33991-F1-model_v4","P33991-F1",0.217,0.658,3,73.7432969464523
"182","P34820","BMP8B","6",0,1,1.24614950944737,"AF-P34820-F1-model_v4","P34820-F1",0.302,0.346,0,76.5508706704798
"183","P35227","PCGF2","3",1199,13,1.03814996965141,"AF-P35227-F1-model_v4","P35227-F1",0.245,0.21,0,75.7243175803403
"184","P35249","RFC4","3",14043,12,1.20337625215606,"AF-P35249-F1-model_v4","P35249-F1",0.204,0.507,1,82.8306038820992
"185","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F9-model_v4","P35556-F9",0.139,0.88,1,75.0625435504984
"186","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F7-model_v4","P35556-F7",0.286,0.926,1,75.5667598353594
"187","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F1-model_v4","P35556-F1",0.118,0.585,1,70.3207792963071
"188","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F3-model_v4","P35556-F3",0.076,0.662,1,73.4549370886566
"189","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F5-model_v4","P35556-F5",0.107,0.975,1,75.7839261809141
"190","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F2-model_v4","P35556-F2",0.059,0.237,0,72.5115954139137
"191","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F8-model_v4","P35556-F8",0.146,0.448,1,73.4091143347967
"192","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F6-model_v4","P35556-F6",0.177,0.7,2,74.8867280534351
"193","P35556","FBN2","3",0,1,1.11943311699748,"AF-P35556-F4-model_v4","P35556-F4",0.126,0.565,1,75.5920811744387
"194","P36956","SREBF1","3",0,1,1.12163814795869,"AF-P36956-F1-model_v4","P36956-F1",0.292,0.744,2,65.4714095527269
"195","P39748","FEN1","3",543,3,1.59160989265849,"AF-P39748-F1-model_v4","P39748-F1",0.078,0.113,0,90.0350552024088
"196","P40305","IFI27","3",0,1,2.08068403935181,"AF-P40305-F1-model_v4","P40305-F1",0.066,0.942,1,52.1421118012422
"197","P40424","PBX1","3",543,2,1.31611487910629,"AF-P40424-F1-model_v4","P40424-F1",0.346,0.585,2,71.1410195958359
"198","P41002","CCNF","3",0,1,1.6782147457334,"AF-P41002-F1-model_v4","P41002-F1",0.276,0.059,0,72.4470043909579
"199","P42224","STAT1","3",543,2,1.23437993226645,"AF-P42224-F1-model_v4","P42224-F1",0.247,0.581,2,88.260738451529
"200","P46459","NSF","18",0,2,1.20067847695337,"AF-P46459-F1-model_v4","P46459-F1",0.117,0.264,0,85.8744547964113
"201","P47224","RABIF","3",0,1,1.22588002046905,"AF-P47224-F1-model_v4","P47224-F1",0.33,0.348,0,89.0372783505155
"202","P48549","KCNJ3","3",0,1,4.58566485962066,"AF-P48549-F1-model_v4","P48549-F1",0.272,0.905,3,72.6244489179668
"203","P49368","CCT3","3",5329,6,1.07537061607181,"AF-P49368-F1-model_v4","P49368-F1",0.164,0.823,1,89.0905656804734
