Gene,Essential CEG
SPBC800.06,Essential
SPAC6G10.04c,Essential
SPAC1F7.01c,Non-essential
SPCC1442.10c,Essential
SPAC4F8.04,Essential
SPBC646.11,Essential
SPCC895.09c,Non-essential
SPAC19A8.07c,Essential
SPCC188.11,Essential
SPBC4.07c,Essential
SPAC4A8.16c,Essential
SPAC57A7.04c,Non-essential
SPAC926.08c,Essential
SPAC13G7.08c,Essential
SPAC513.01c,Non-essential
SPAPJ698.03c,Essential
SPAC29A4.04c,Essential
SPAC25G10.08,Essential
SPBC16C6.07c,Essential
SPAC32A11.04c,Essential
SPBC4.04c,Essential
SPBC211.04c,Essential
SPBC646.04,Essential
SPBC18H10.12c,Essential
SPAC22E12.13c,Essential
SPAC14C4.02c,Essential
SPCC1620.01c,Essential
SPBC3E7.14,Essential
SPAC3A12.07,Essential
SPAC9G1.12,Non-essential
SPBC3D6.12,Essential
SPAC1250.05,Non-essential
SPAC3H5.12c,Non-essential
SPBC119.15,Essential
SPAC1B2.05,Essential
SPCP1E11.08,Essential
SPCC553.08c,Non-essential
SPAC6F12.16c,Essential
SPBC17D11.06,Essential
SPBC32F12.04,Essential
SPBC13G1.01c,Essential
SPBC15C4.05,Non-essential
SPAC2G11.11c,Essential
SPAPB1E7.03,Essential
SPBC16D10.09,Essential
SPAC6G10.11c,Non-essential
SPBC713.04c,Essential
SPBC244.02c,Essential
SPAC12G12.14c,Essential
SPAC2F7.14c,Essential
SPCC1020.04c,Essential
SPCC63.12c,Essential
SPAC6G9.10c,Non-essential
SPBC1289.07c,Essential
SPBC146.03c,Essential
SPBC119.13c,Essential
SPAC19D5.05c,Essential
SPBC23E6.07c,Essential
SPBP8B7.03c,Essential
SPAC22F8.06,Essential
SPAC4F8.03,Non-essential
SPAC11E3.01c,Non-essential
SPBC17D11.07c,Essential
SPBP22H7.07,Essential
SPBC342.02,Essential
SPCC757.08,Essential
SPBC3B9.08c,Non-essential
SPCC613.06,Non-essential
SPAC22E12.07,Essential
SPAC27F1.09c,Essential
SPBC839.10,Essential
SPAC1F7.05,Essential
SPBC887.03c,Essential
SPBC11C11.10,Non-essential
SPCC1672.07,Essential
SPAC323.02c,Essential
SPBC25H2.02,Essential
SPAC6F6.03c,Non-essential
SPBC776.09,Non-essential
SPBC3B9.11c,Non-essential
SPAC31G5.13,Essential
SPBC11G11.03,Non-essential
SPAC17H9.02,Essential
SPAC17C9.03,Essential
SPCC576.09,Essential
SPAC27D7.14c,Non-essential
SPCC584.04,Essential
SPCC576.10c,Essential
SPBC1709.08,Essential
SPAC1565.08,Essential
SPAC29B12.01,Essential
SPBC15D4.14,Essential
SPAC22A12.05,Essential
SPBC646.02,Non-essential
SPBP22H7.02c,Essential
SPBC106.18,Essential
SPBC1A4.03c,Essential
SPAC10F6.02c,Essential
SPBC776.18c,Essential
SPAC1B3.05,Non-essential
SPBC28E12.05,Essential
SPCC1682.02c,Essential
SPAC13C5.01c,Non-essential
SPAP7G5.02c,Essential
SPBC17G9.09,Non-essential
SPAC6F6.07c,Essential
SPAC4D7.12c,Essential
SPAC23G3.01,Essential
SPBC25H2.12c,Essential
SPAC26F1.13c,Essential
SPAC637.07,Non-essential
SPAC57A7.12,Non-essential
SPBC660.13c,Essential
SPBC25B2.01,Non-essential
SPBC14C8.14c,Essential
SPCC962.04,Non-essential
SPBC4C3.07,Essential
SPCC1450.03,Non-essential
SPAC57A7.06,Essential
SPAC17A5.03,Essential
SPAC23D3.07,Essential
SPAC1D4.12,Essential
SPBC428.12c,Non-essential
SPAC26A3.12c,Essential
SPCC737.08,Essential
SPCC1620.09c,Essential
SPAC2C4.16c,Non-essential
SPBC1711.16,Essential
SPBC211.02c,Essential
SPAC16E8.15,Essential
SPAC17A5.06,Essential
SPAC2F3.03c,Essential
SPAC1D4.10,Essential
SPCC5E4.03c,Essential
SPBC119.11c,Essential
SPBC646.09c,Non-essential
SPCC16C4.18c,Essential
SPBC19G7.15,Essential
SPBC6B1.07,Essential
SPBC1A4.07c,Essential
SPAC24H6.07,Non-essential
SPAC23C11.09,Essential
SPCC1442.06,Essential
SPAC589.10c,Non-essential
SPCC1235.05c,Non-essential
SPBP19A11.03c,Essential
SPAC3F10.17,Non-essential
SPBC3B9.07c,Essential
SPAC12G12.06c,Essential
SPAC20G8.06,Essential
SPBC21C3.13,Non-essential
SPCC550.11,Non-essential
SPBC29A10.04,Essential
SPAC227.12,Essential
SPCC1840.10,Non-essential
SPAC18G6.06,Essential
SPBC776.08c,Essential
SPBP23A10.08,Essential
SPAC29A4.02c,Non-essential
SPAC167.03c,Essential
SPAC3G6.11,Non-essential
SPAC110.02,Non-essential
SPAC1071.01c,Essential
SPBC25H2.13c,Essential
SPAC23A1.09,Non-essential
SPBC17G9.03c,Essential
SPAC3A11.08,Non-essential
SPAC6B12.10c,Essential
SPCC306.03c,Essential
SPBC4F6.04,Non-essential
SPCC576.11,Non-essential
SPBC1703.14c,Non-essential
SPAC1687.13c,Non-essential
SPBC2F12.04,Non-essential
SPAC10F6.09c,Essential
SPCC1795.04c,Essential
SPBC3F6.04c,Essential
SPBP8B7.14c,Essential
SPAC22G7.05,Non-essential
SPAC6G10.07,Essential
SPAC16E8.16,Essential
SPBC1685.02c,Non-essential
SPBP4H10.06c,Essential
SPAC17A2.04c,Essential
SPCC16A11.02,Essential
SPBC18H10.14,Essential
SPAC1B3.13,Essential
SPAC17H9.05,Essential
SPAC20G8.01,Essential
SPAC17H9.10c,Non-essential
SPAC3G6.06c,Non-essential
SPAC3G9.10c,Essential
SPBC1198.13c,Essential
SPAC5D6.01,Non-essential
SPAC24C9.09,Essential
SPBC32H8.04c,Essential
SPBC685.06,Non-essential
SPCC18.14c,Essential
SPCC417.08,Essential
SPAC1F3.01,Essential
SPAC23H3.02c,Essential
SPCC16A11.05c,Essential
SPBC4B4.05,Essential
SPBC1711.07,Essential
SPBC36.05c,Essential
SPBC11C11.07,Non-essential
SPBC30D10.06,Essential
SPCC330.09,Essential
SPBC337.08c,Non-essential
SPBC4B4.09,Essential
SPBC1773.10c,Essential
SPAC23A1.11,Non-essential
SPCC18.05c,Essential
SPAC22A12.12c,Essential
SPCC613.05c,Essential
SPAC1250.01,Essential
SPAC1751.03,Essential
SPAC1093.05,Essential
SPBC4F6.14,Essential
SPCC1682.10,Essential
SPBC32F12.05c,Non-essential
SPAC20H4.01,Essential
SPAC19B12.01,Essential
SPAC14C4.06c,Non-essential
SPBC26H8.10,Essential
SPCC18B5.08c,Essential
SPAC1B9.03c,Essential
SPAC19A8.08,Non-essential
SPAC31G5.03,Non-essential
SPBC1773.07c,Essential
SPBC18H10.03,Essential
SPBC16A3.15c,Essential
SPAC6F12.14,Essential
SPBC12D12.08c,Essential
SPBC27B12.13,Essential
SPAC20G8.08c,Non-essential
SPAC22F8.09,Non-essential
SPAC3H5.10,Non-essential
SPAC23C4.18c,Essential
SPAC17A5.14,Non-essential
SPAC27F1.04c,Essential
SPAC3F10.03,Essential
SPBC336.02,Essential
SPBC365.13c,Non-essential
SPAC644.05c,Essential
SPBC119.01,Essential
SPCC18.12c,Essential
SPAC29A4.20,Non-essential
SPAC644.12,Essential
SPCC1795.11,Essential
SPAC17G6.14c,Essential
SPCC5E4.07,Non-essential
SPAPB8E5.06c,Non-essential
SPBC1306.01c,Essential
SPACUNK4.06c,Essential
SPBC29A3.16,Essential
SPAC222.03c,Essential
SPAC26A3.07c,Non-essential
SPCC1393.06c,Essential
SPBC336.04,Essential
SPBC18H10.13,Non-essential
SPBC13E7.10c,Essential
SPBC28F2.12,Essential
SPBC17G9.02c,Non-essential
SPAC4G9.16c,Non-essential
SPCC1827.05c,Essential
SPAC959.03c,Essential
SPAPB8E5.07c,Essential
SPBC839.04,Non-essential
SPBC31F10.11c,Essential
SPAC17C9.01c,Essential
SPBC577.10,Non-essential
SPBC12C2.06,Essential
SPBC31F10.12,Non-essential
SPAC2E1P5.05,Essential
SPAC23D3.09,Non-essential
SPBP8B7.11,Non-essential
SPAC1783.05,Non-essential
SPAPB1E7.12,Non-essential
SPAC26H5.10c,Non-essential
SPAC1687.11,Essential
SPBC13A2.02,Non-essential
SPAC23C11.02c,Non-essential
SPAC13G6.07c,Non-essential
SPBC16D10.11c,Non-essential
SPAC31A2.07c,Essential
SPCC1620.10,Essential
SPBC20F10.06,Non-essential
SPCC550.06c,Essential
SPAC3C7.08c,Non-essential
SPAC10F6.03c,Essential
SPBC211.01,Essential
SPCC613.08,Non-essential
SPCC188.13c,Non-essential
SPAC4C5.04,Non-essential
SPAC1006.07,Essential
SPAC16E8.11c,Essential
SPCC364.03,Non-essential
SPBC29A3.12,Non-essential
SPBC1921.03c,Non-essential
SPCC5E4.06,Essential
SPAC1F7.13c,Non-essential
SPBC2G5.07c,Essential
SPCC285.12,Essential
SPAC56F8.03,Essential
SPAC16C9.04c,Non-essential
SPBP4H10.13,Non-essential
SPAC16E8.06c,Non-essential
SPAC521.05,Non-essential
SPBC20F10.01,Essential
SPCC1840.11,Non-essential
SPAC23A1.12c,Essential
SPBC17D11.05,Essential
SPAC1071.07c,Non-essential
SPBC1703.01c,Essential
SPCC74.05,Non-essential
SPAC31A2.02,Non-essential
SPBC577.07,Essential
SPAC144.11,Non-essential
SPAC8C9.15c,Essential
SPBC11C11.03,Essential
SPAC26A3.06,Non-essential
SPAPB17E12.13,Non-essential
SPBC691.04,Non-essential
SPCC613.07,Non-essential
SPAC4D7.13,Essential
SPCC1259.01c,Non-essential
SPBC1604.06c,Essential
SPCC188.03,Essential
SPCC895.03c,Essential
SPAC19A8.13,Essential
SPAC27E2.10c,Essential
SPBC428.01c,Essential
SPBP8B7.21,Non-essential
SPAC2F7.05c,Essential
SPCC550.03c,Non-essential
SPBC4B4.03,Non-essential
SPAC3H1.01c,Essential
SPBC1709.02c,Essential
SPBC776.17,Non-essential
SPBC354.02c,Essential
SPAC10F6.10,Essential
SPAC15F9.03c,Essential
SPBC30B4.07c,Essential
SPBP8B7.19,Essential
SPCC1223.07c,Non-essential
SPAC19B12.05c,Essential
SPCC1753.01c,Essential
SPBC365.04c,Non-essential
SPCP1E11.11,Non-essential
SPCC16A11.17,Essential
SPBC16D10.04c,Essential
SPBC428.20c,Essential
SPBP8B7.15c,Essential
SPAC12G12.13c,Non-essential
SPAC25G10.06,Non-essential
SPBC1289.03c,Essential
SPBC337.14,Essential
SPBC216.06c,Non-essential
SPBC25B2.09c,Essential
SPBC16C6.11,Non-essential
SPBC4F6.07c,Essential
SPBC19F5.02c,Essential
SPCC550.12,Non-essential
SPBC1861.08c,Essential
SPAC17H9.20,Essential
SPAC9.03c,Essential
SPBC56F2.02,Non-essential
SPCC1672.10,Essential
SPBC115.01c,Essential
SPBC31E1.03,Essential
SPAC1805.12c,Non-essential
SPAC4G9.17c,Essential
SPAC3H8.07c,Non-essential
SPBC3D6.04c,Non-essential
SPBC8D2.10c,Non-essential
SPAC328.01c,Non-essential
SPCC132.01c,Non-essential
SPBC1778.01c,Non-essential
SPAC3H5.06c,Essential
SPAPJ698.02c,Non-essential
SPCC830.09c,Essential
SPAC26A3.04,Non-essential
SPAC23C11.11,Essential
SPBC800.08,Non-essential
SPAC1F7.02c,Essential
SPAC8C9.08,Non-essential
SPBC14F5.06,Essential
SPBC83.15,Essential
SPBC3B9.03,Essential
SPAC9E9.13,Non-essential
SPCC290.03c,Essential
SPCP25A2.02c,Non-essential
SPAC11E3.04c,Non-essential
SPBC29A3.09c,Non-essential
SPAC227.02c,Essential
SPBC713.06,Non-essential
SPCC645.10,Essential
SPAC1783.08c,Non-essential
SPAC3F10.16c,Non-essential
SPBC3B9.19,Essential
SPBC19F8.07,Essential
SPBC1861.04c,Essential
SPAC637.12c,Essential
SPBC3B8.09,Essential
SPCC737.07c,Non-essential
SPBC146.07,Essential
SPCC16A11.09c,Essential
SPCC16C4.08c,Essential
SPBC106.14c,Essential
SPCC576.06c,Essential
SPBC4B4.07c,Non-essential
SPBC18E5.04,Non-essential
SPAC4A8.08c,Essential
SPAC664.03,Non-essential
SPAC30D11.12,Non-essential
SPBC1105.17,Essential
SPCC1672.05c,Essential
SPAC890.07c,Non-essential
SPBC947.07,Essential
SPAC30C2.02,Non-essential
SPBC11B10.09,Essential
SPBC11G11.06c,Essential
SPBC1709.15c,Essential
SPAC13F5.02c,Essential
SPAC3A11.13,Non-essential
SPBC28F2.02,Non-essential
SPAC4D7.04c,Essential
SPCC320.11c,Essential
SPAC22A12.04c,Non-essential
SPBC19C2.03,Essential
SPCC70.07c,Essential
SPBC9B6.07,Non-essential
SPCC576.08c,Essential
SPAC1805.04,Non-essential
SPCC962.03c,Essential
SPBC577.02,Non-essential
SPCC31H12.04c,Non-essential
SPAC6G9.02c,Essential
SPCC1494.05c,Non-essential
SPBC13E7.01,Essential
SPBC1198.05,Essential
SPCC338.07c,Non-essential
SPAC25G10.07c,Essential
SPBC215.02,Non-essential
SPBC16E9.12c,Non-essential
SPBC83.02c,Non-essential
SPCC1183.08c,Essential
SPCC18B5.06,Non-essential
SPAC821.08c,Essential
SPAC20G8.09c,Non-essential
SPCC330.14c,Non-essential
SPBC25H2.05,Non-essential
SPBC354.06,Essential
SPAC328.05,Non-essential
SPAC6B12.15,Non-essential
SPAC29B12.02c,Non-essential
SPBC2G2.12,Essential
SPBP35G2.10,Non-essential
SPAC1002.15c,Non-essential
SPAC2C4.07c,Non-essential
SPAC2F7.08c,Non-essential
SPAC1782.06c,Non-essential
SPCC825.01,Non-essential
SPAC26H5.12,Essential
SPAC23G3.11,Essential
SPAC1782.10c,Essential
SPAPB1A10.06c,Essential
SPAC664.04c,Non-essential
SPAC31G5.17c,Non-essential
SPAC15F9.02,Non-essential
SPBC16H5.08c,Non-essential
SPBC6B1.10,Non-essential
SPBC11B10.10c,Non-essential
SPBC13A2.01c,Essential
SPAC13G6.02c,Non-essential
SPBC211.08c,Essential
SPBC582.07c,Essential
SPCC1322.12c,Non-essential
SPAC3H5.05c,Non-essential
SPAC11H11.06,Essential
SPAC19B12.11c,Non-essential
SPBC9B6.05c,Essential
SPCC553.11c,Essential
SPAC2F3.04c,Essential
SPAC1B3.08,Non-essential
SPCC14G10.02,Essential
SPAC31A2.03,Essential
SPBC577.15c,Non-essential
SPCC576.05,Essential
SPBC25H2.07,Essential
SPAC4G9.04c,Essential
SPCC1620.14c,Non-essential
SPAP8A3.09c,Essential
SPAC9G1.13c,Essential
SPBC365.03c,Non-essential
SPAC25B8.06c,Non-essential
SPAC1556.01c,Non-essential
SPBC17G9.07,Non-essential
SPAC144.05,Non-essential
SPCC1322.11,Essential
SPAC17G6.10,Essential
SPAC17G8.01c,Essential
SPAC926.04c,Essential
SPBC23E6.05,Non-essential
SPAC23H4.09,Non-essential
SPBC1198.12,Non-essential
SPAC27E2.05,Essential
SPBC3B9.21,Essential
SPCC1450.02,Non-essential
SPAC1565.07c,Non-essential
SPBC216.05,Non-essential
SPAC18B11.06,Essential
SPBC1604.08c,Non-essential
SPCC24B10.21,Non-essential
SPAC31A2.04c,Essential
SPBP22H7.05c,Non-essential
SPBC18E5.06,Essential
SPCC16C4.15,Essential
SPCC622.18,Non-essential
SPBC646.14c,Essential
SPAC25A8.01c,Non-essential
SPAP8A3.06,Essential
SPCC1393.03,Non-essential
SPCP31B10.08c,Essential
SPAC6F12.11c,Essential
SPBC29A3.06,Essential
SPBC31F10.13c,Non-essential
SPAC23H4.18c,Essential
SPBC216.07c,Essential
SPAC23C11.16,Essential
SPBC2D10.12,Non-essential
SPBC1734.03,Essential
SPAC144.13c,Non-essential
SPBC215.06c,Non-essential
SPAC6G9.09c,Non-essential
SPAPB17E12.05,Non-essential
SPBP22H7.08,Non-essential
SPCC290.02,Essential
SPCC645.08c,Non-essential
SPAC637.11,Non-essential
SPCC1450.04,Essential
SPCC1739.03,Non-essential
SPCC1682.14,Non-essential
SPBC28F2.04c,Essential
SPAC806.02c,Essential
SPAC24H6.12c,Essential
SPAC17G6.12,Essential
SPAC1687.06c,Non-essential
SPAC1610.02c,Non-essential
SPAC644.14c,Non-essential
SPBC17D11.04c,Non-essential
SPAC3G9.04,Non-essential
SPAC25H1.08c,Essential
SPBC119.14,Non-essential
SPAC1002.05c,Non-essential
SPCC576.14,Non-essential
SPAC4G8.02c,Essential
SPAC631.02,Non-essential
SPBC13G1.13,Non-essential
SPAC1687.05,Non-essential
SPBC660.15,Essential
SPBC4B4.04,Non-essential
SPAC4D7.09,Essential
SPAC644.17c,Essential
SPAC1142.04,Essential
SPAC29E6.02,Essential
SPAC12G12.04,Essential
SPBC146.14c,Essential
SPBC1271.04c,Essential
SPBC17D1.06,Non-essential
SPAC890.08,Essential
SPBC16G5.01,Essential
SPAC4F8.12c,Essential
SPAC31G5.19,Non-essential
SPAC4F10.03c,Essential
SPAC140.02,Non-essential
SPAC959.08,Non-essential
SPBC1289.12,Essential
SPBC13E7.02,Essential
SPCC962.02c,Essential
SPCC1795.01c,Non-essential
SPBC1685.10,Non-essential
SPAC57A7.10c,Essential
SPAC13G6.08,Non-essential
SPAC694.05c,Non-essential
SPAC16A10.02,Non-essential
SPAC4H3.09,Essential
SPBC713.02c,Non-essential
SPAC24C9.11,Essential
SPCP1E11.07c,Non-essential
SPBC17D1.02,Non-essential
SPAC644.04,Essential
SPAC24H6.03,Non-essential
SPBC25D12.04,Essential
SPBC776.12c,Essential
SPBC887.05c,Non-essential
SPAC30D11.10,Non-essential
SPBP23A10.09,Essential
SPBC32H8.12c,Essential
SPCC1682.07,Non-essential
SPBC2G2.03c,Non-essential
SPBP8B7.09c,Non-essential
SPBC11C11.09c,Non-essential
SPBC1105.07c,Essential
SPBC839.05c,Non-essential
SPCC16C4.13c,Non-essential
SPAC17A5.02c,Non-essential
SPCC16A11.14,Essential
SPCC18.13,Non-essential
SPBC336.06c,Non-essential
SPAC26F1.03,Essential
SPBC1734.15,Non-essential
SPAC227.09,Essential
SPBC1105.03c,Essential
SPAC16E8.10c,Essential
SPAC17D4.04,Non-essential
SPCC24B10.09,Non-essential
SPAC1805.17,Essential
SPCC18B5.04,Essential
SPAC688.09,Essential
SPCC1620.04c,Non-essential
SPAC13G6.11c,Essential
SPBC83.14c,Essential
SPBC1711.05,Non-essential
SPCC645.14c,Non-essential
SPAC890.06,Non-essential
SPAC110.04c,Essential
SPAC31A2.05c,Essential
SPCC663.12,Non-essential
SPBC29A3.07c,Non-essential
SPCC1322.01,Non-essential
SPAC3G6.01,Non-essential
SPAC1420.03,Non-essential
SPBC354.01,Non-essential
SPBC3B9.14c,Essential
SPAC29E6.06c,Essential
SPCC285.08,Essential
SPAC22H12.04c,Non-essential
SPAC3C7.03c,Non-essential
SPAC17H9.16,Essential
SPBC428.15,Non-essential
SPBC543.03c,Non-essential
SPAC27F1.06c,Non-essential
SPBC12C2.11,Essential
SPCC126.01c,Non-essential
SPAC12G12.02,Essential
SPAC328.10c,Non-essential
SPBC365.15,Essential
SPAC3H1.12c,Non-essential
SPAC2C4.06c,Non-essential
SPBC8D2.16c,Non-essential
SPCC970.01,Non-essential
SPCC1223.05c,Non-essential
SPAC4H3.10c,Essential
SPBC1604.10,Essential
SPAC13G7.03,Non-essential
SPBC21H7.05,Essential
SPBC16H5.11c,Non-essential
SPCC188.06c,Essential
SPAC26A3.15c,Essential
SPCC645.05c,Essential
SPAC4F10.09c,Essential
SPAC22H12.02,Non-essential
SPAC1142.02c,Non-essential
SPBC21C3.16c,Non-essential
SPCC74.09,Non-essential
SPAC18B11.07c,Non-essential
SPBC776.02c,Non-essential
SPCC1919.10c,Non-essential
SPBC14F5.04c,Essential
SPCC285.15c,Non-essential
SPBC685.09,Essential
SPBC16D10.01c,Non-essential
SPBC30D10.10c,Non-essential
SPBC18H10.04c,Non-essential
SPAC21E11.06,Non-essential
SPAC20H4.10,Non-essential
SPBC17G9.10,Non-essential
SPBC1347.12,Non-essential
SPAC19G12.07c,Essential
SPBP16F5.03c,Non-essential
SPCC16C4.12,Non-essential
SPAC23C4.17,Non-essential
SPAC17G6.06,Non-essential
SPBP19A11.06,Essential
SPBC800.04c,Non-essential
SPBC3H7.15,Non-essential
SPCC825.05c,Non-essential
SPAC19G12.01c,Essential
SPAC57A10.09c,Non-essential
SPAC222.06,Essential
SPAC637.09,Non-essential
SPAC23G3.12c,Non-essential
SPBC1826.01c,Essential
SPBC11G11.07,Essential
SPBC887.07,Essential
SPAC8E11.03c,Non-essential
SPCC1259.03,Non-essential
SPAC15E1.08,Essential
SPAC1952.06c,Non-essential
SPAC926.09c,Non-essential
SPAC806.03c,Non-essential
SPAC23G3.10c,Non-essential
SPBC776.01,Non-essential
SPBC3B9.13c,Non-essential
SPCC1020.08,Non-essential
SPBC1604.20c,Non-essential
SPAC13C5.07,Non-essential
SPAC17H9.04c,Non-essential
SPAC23H4.15,Essential
SPBC685.07c,Non-essential
SPBC1734.02c,Essential
SPAC12B10.04,Non-essential
SPCC553.09c,Essential
SPBC365.10,Non-essential
SPBC29A3.15c,Essential
SPAC23H3.05c,Non-essential
SPAC2F7.11,Non-essential
SPAC6F12.15c,Essential
SPAC9.05,Non-essential
SPAC323.06c,Essential
SPAC4F8.05c,Essential
SPAC16.02c,Essential
SPAC11G7.02,Non-essential
SPCC16A11.12c,Non-essential
SPCC285.17,Non-essential
SPAC1805.13,Non-essential
SPAC1A6.02,Essential
SPAC664.08c,Essential
SPAC23H4.17c,Non-essential
SPBC29A10.10c,Non-essential
SPBC8D2.18c,Non-essential
SPBC409.06,Non-essential
SPBC4C3.10c,Essential
SPBC2G5.02c,Non-essential
SPBC29B5.03c,Non-essential
SPAC22G7.09c,Essential
SPAC222.09,Essential
SPAC227.05,Non-essential
SPBC32F12.02,Non-essential
SPAC1486.07c,Essential
SPBC17A3.01c,Essential
SPCC1259.13,Non-essential
SPBC725.08,Essential
SPAC6G9.08,Non-essential
SPCC622.09,Essential
SPBC15D4.03,Non-essential
SPBC25H2.11c,Non-essential
SPBC14F5.08,Essential
SPAC6F12.10c,Non-essential
SPBC582.05c,Non-essential
SPCC1919.08c,Essential
SPBC16A3.18,Non-essential
SPAP8A3.11c,Essential
SPBC14F5.03c,Non-essential
SPBC839.13c,Non-essential
SPCC645.09,Essential
SPCC569.08c,Non-essential
SPCC1795.07,Essential
SPAC31G5.01,Essential
SPAC26A3.16,Non-essential
SPAC19B12.04,Non-essential
SPBC1709.05,Non-essential
SPAP19A11.05c,Essential
SPAC12G12.03,Non-essential
SPAC17C9.06,Essential
SPBC776.11,Non-essential
SPAC644.16,Essential
SPBC19G7.17,Non-essential
SPAC1093.04c,Essential
SPAC2C4.12c,Essential
SPCC4B3.05c,Non-essential
SPBC23E6.01c,Non-essential
SPAC3A12.10,Non-essential
SPBC1703.15c,Non-essential
SPAC29A4.18,Non-essential
SPBC1E8.02,Non-essential
SPBC25B2.05,Essential
SPCC31H12.05c,Non-essential
SPBC18H10.06c,Non-essential
SPBC19C2.08,Essential
SPAC1093.06c,Non-essential
SPCC24B10.22,Non-essential
SPBC1289.02c,Essential
SPAC26F1.12c,Non-essential
SPBC23G7.07c,Non-essential
SPBC3H7.03c,Non-essential
SPBC902.04,Non-essential
SPCC965.04c,Non-essential
SPCC1322.06,Non-essential
SPAC16E8.17c,Non-essential
SPCC16C4.09,Non-essential
SPAC26H5.03,Non-essential
SPBC3E7.11c,Non-essential
SPBC530.13,Non-essential
SPBC13G1.10c,Non-essential
SPBC582.10c,Non-essential
SPCC970.05,Non-essential
SPBP35G2.13c,Non-essential
SPCC965.03,Essential
SPAC227.08c,Essential
SPAC589.11,Non-essential
SPAC13A11.04c,Non-essential
SPAC29E6.08,Essential
SPBC20F10.05,Non-essential
SPCC1494.02c,Essential
SPBC2G2.15c,Non-essential
SPCC330.10,Essential
SPBC28F2.09,Essential
SPCC550.13,Essential
SPCC1682.04,Essential
SPBC1539.09c,Essential
SPBC16C6.05,Non-essential
SPBC23E6.09,Non-essential
SPAC1486.09,Essential
SPAC23C4.09c,Non-essential
SPAC22G7.04,Non-essential
SPBC19G7.01c,Non-essential
SPBC23G7.05,Essential
SPBC1604.09c,Non-essential
SPBC1734.11,Non-essential
SPCC830.03,Essential
SPAC22F3.08c,Non-essential
SPCC23B6.03c,Non-essential
SPAC27F1.07,Essential
SPCC306.07c,Non-essential
SPBC1921.01c,Non-essential
SPCC1322.15,Non-essential
SPBC16C6.12c,Essential
SPAC18G6.14c,Essential
SPAC23C11.15,Non-essential
SPBC691.02c,Essential
SPBC1A4.09,Non-essential
SPCC18.11c,Non-essential
SPAC664.15,Non-essential
SPBC1604.21c,Essential
SPCC338.17c,Essential
SPBC405.07,Non-essential
SPAC4G9.02,Non-essential
SPACUNK4.14,Non-essential
SPAC13C5.02,Non-essential
SPAC694.02,Non-essential
SPBP8B7.06,Non-essential
SPAC4G8.09,Essential
SPAC227.07c,Non-essential
SPCC70.06,Non-essential
SPCC1259.15c,Essential
SPBC2F12.14c,Essential
SPAC3A12.04c,Essential
SPAC458.02c,Non-essential
SPAC1D4.08,Essential
SPCC736.08,Non-essential
SPBC25H2.15,Non-essential
SPCC1494.04c,Non-essential
SPAC644.07,Non-essential
SPCC663.05c,Essential
SPBC19C7.07c,Essential
SPBP4H10.21c,Essential
SPBC3D6.08c,Non-essential
SPAC57A7.11,Essential
SPBC30B4.06c,Non-essential
SPBC3D6.06c,Non-essential
SPAC17G8.03c,Essential
SPCC736.06,Non-essential
SPCC663.13c,Non-essential
SPBC19C2.07,Essential
SPAC13D6.02c,Non-essential
SPBC4.03c,Essential
SPCC1183.02,Non-essential
SPAC1F5.06,Essential
