Gene,Essential CEG,Essential OEG
ENSMUSG00000013415,Non-essential,NA
ENSMUSG00000058440,Essential,NA
ENSMUSG00000028010,Essential,Non-essential
ENSMUSG00000030847,Non-essential,Essential
ENSMUSG00000040274,Essential,Non-essential
ENSMUSG00000024975,Non-essential,NA
ENSMUSG00000027177,Non-essential,Non-essential
ENSMUSG00000030867,Essential,Essential
ENSMUSG00000005610,NA,Essential
ENSMUSG00000021549,Non-essential,Essential
ENSMUSG00000029202,Non-essential,NA
ENSMUSG00000041235,Non-essential,Essential
ENSMUSG00000055670,Non-essential,Non-essential
ENSMUSG00000031885,Non-essential,Essential
ENSMUSG00000002748,Essential,Essential
ENSMUSG00000020897,Essential,Essential
ENSMUSG00000027330,Non-essential,NA
ENSMUSG00000026672,Non-essential,NA
ENSMUSG00000020608,Essential,Essential
ENSMUSG00000005566,Essential,Essential
ENSMUSG00000025917,Non-essential,Essential
ENSMUSG00000009741,Non-essential,Essential
ENSMUSG00000025369,Non-essential,NA
ENSMUSG00000004934,Non-essential,NA
ENSMUSG00000014668,Non-essential,NA
ENSMUSG00000022191,Essential,NA
ENSMUSG00000040728,Non-essential,Essential
ENSMUSG00000024833,Essential,Essential
ENSMUSG00000018736,Non-essential,Essential
ENSMUSG00000021318,Non-essential,Essential
ENSMUSG00000017999,Essential,NA
ENSMUSG00000017485,Non-essential,NA
ENSMUSG00000025757,Non-essential,Non-essential
ENSMUSG00000031446,Non-essential,NA
ENSMUSG00000041133,Non-essential,Non-essential
ENSMUSG00000021738,Non-essential,NA
ENSMUSG00000024560,Essential,Essential
ENSMUSG00000031865,Non-essential,Essential
ENSMUSG00000021266,Essential,Essential
ENSMUSG00000048878,Essential,Essential
ENSMUSG00000024382,Non-essential,Essential
ENSMUSG00000040752,Non-essential,Essential
ENSMUSG00000000282,Essential,NA
ENSMUSG00000031681,Non-essential,Essential
ENSMUSG00000003923,Non-essential,Essential
ENSMUSG00000024660,Essential,Essential
ENSMUSG00000024002,Non-essential,Essential
ENSMUSG00000024163,Non-essential,Essential
ENSMUSG00000060373,NA,Essential
ENSMUSG00000025982,Essential,Essential
ENSMUSG00000032555,Essential,Essential
ENSMUSG00000078427,Essential,Non-essential
ENSMUSG00000021892,Non-essential,Non-essential
ENSMUSG00000027353,Essential,NA
ENSMUSG00000032030,Non-essential,Essential
ENSMUSG00000064127,Essential,Non-essential
ENSMUSG00000005442,Non-essential,NA
ENSMUSG00000035478,Non-essential,NA
ENSMUSG00000046876,Non-essential,NA
ENSMUSG00000024831,Non-essential,Essential
ENSMUSG00000003435,Essential,Essential
ENSMUSG00000071337,Non-essential,NA
ENSMUSG00000017697,Non-essential,Essential
ENSMUSG00000054309,Essential,Essential
ENSMUSG00000030779,Essential,Essential
ENSMUSG00000015971,Non-essential,Essential
ENSMUSG00000027490,Non-essential,NA
ENSMUSG00000048154,Non-essential,NA
ENSMUSG00000079614,NA,Essential
ENSMUSG00000040731,Non-essential,Essential
ENSMUSG00000033712,Non-essential,Non-essential
ENSMUSG00000033411,Non-essential,Essential
ENSMUSG00000012443,Essential,NA
ENSMUSG00000020185,Non-essential,Non-essential
ENSMUSG00000034994,Essential,NA
ENSMUSG00000040084,Non-essential,Essential
ENSMUSG00000025907,NA,Essential
ENSMUSG00000037894,Non-essential,Essential
ENSMUSG00000070780,Non-essential,NA
ENSMUSG00000038482,Non-essential,Essential
ENSMUSG00000026361,Essential,NA
ENSMUSG00000031986,Essential,NA
ENSMUSG00000030254,Non-essential,Non-essential
ENSMUSG00000027660,Non-essential,NA
ENSMUSG00000000184,Non-essential,NA
ENSMUSG00000018830,Non-essential,Essential
ENSMUSG00000039224,Non-essential,NA
ENSMUSG00000029687,Essential,Essential
ENSMUSG00000009073,Essential,Essential
ENSMUSG00000028693,Non-essential,Essential
ENSMUSG00000040945,Non-essential,Non-essential
ENSMUSG00000059263,Non-essential,Non-essential
ENSMUSG00000043241,Non-essential,Essential
ENSMUSG00000021929,Non-essential,Non-essential
ENSMUSG00000054051,Non-essential,Non-essential
ENSMUSG00000027998,Essential,Essential
ENSMUSG00000026082,Essential,NA
ENSMUSG00000015120,NA,Essential
ENSMUSG00000017716,Essential,Essential
ENSMUSG00000003660,Essential,Essential
ENSMUSG00000020936,Essential,NA
ENSMUSG00000022346,Non-essential,Essential
ENSMUSG00000028156,Essential,NA
ENSMUSG00000024260,Essential,NA
ENSMUSG00000039086,Non-essential,NA
ENSMUSG00000053754,Essential,Essential
ENSMUSG00000044308,Non-essential,Essential
ENSMUSG00000002129,Essential,NA
ENSMUSG00000020745,Essential,Essential
ENSMUSG00000027104,Non-essential,NA
ENSMUSG00000038683,Essential,Essential
ENSMUSG00000024054,Non-essential,NA
ENSMUSG00000029726,Essential,Essential
ENSMUSG00000012535,Essential,NA
ENSMUSG00000050213,Essential,NA
ENSMUSG00000021178,Essential,Essential
ENSMUSG00000028044,Non-essential,Non-essential
ENSMUSG00000037992,Non-essential,NA
ENSMUSG00000021758,Non-essential,NA
ENSMUSG00000029439,Essential,Non-essential
ENSMUSG00000020755,Essential,Non-essential
ENSMUSG00000052812,Non-essential,Non-essential
ENSMUSG00000031661,Non-essential,Non-essential
ENSMUSG00000068117,Non-essential,NA
ENSMUSG00000029554,Non-essential,Essential
ENSMUSG00000030138,Essential,Essential
ENSMUSG00000029686,Essential,Essential
ENSMUSG00000029594,Essential,NA
ENSMUSG00000022914,Non-essential,NA
ENSMUSG00000014195,Non-essential,Non-essential
ENSMUSG00000022387,Non-essential,Essential
ENSMUSG00000039630,Essential,NA
ENSMUSG00000035954,Non-essential,NA
ENSMUSG00000041870,Non-essential,Non-essential
ENSMUSG00000038845,Essential,Essential
ENSMUSG00000020716,Non-essential,Essential
ENSMUSG00000028894,Non-essential,NA
ENSMUSG00000011751,Non-essential,NA
ENSMUSG00000030811,Non-essential,Non-essential
ENSMUSG00000020038,NA,Non-essential
ENSMUSG00000023852,NA,Essential
ENSMUSG00000028639,Non-essential,Essential
ENSMUSG00000021061,Non-essential,NA
ENSMUSG00000021048,Essential,Essential
ENSMUSG00000018765,Non-essential,NA
ENSMUSG00000022255,Non-essential,Non-essential
ENSMUSG00000035632,Essential,Essential
ENSMUSG00000026484,Essential,Essential
ENSMUSG00000024140,Non-essential,Essential
ENSMUSG00000024045,Non-essential,Non-essential
ENSMUSG00000031585,NA,Essential
ENSMUSG00000037426,Non-essential,Essential
ENSMUSG00000024290,Non-essential,NA
ENSMUSG00000035476,Non-essential,Non-essential
ENSMUSG00000027752,Essential,Essential
ENSMUSG00000020458,Non-essential,Essential
ENSMUSG00000000902,Essential,Essential
ENSMUSG00000057133,Non-essential,Non-essential
ENSMUSG00000068742,Non-essential,Non-essential
ENSMUSG00000039959,Non-essential,NA
ENSMUSG00000054199,Non-essential,Non-essential
ENSMUSG00000006586,Non-essential,Essential
ENSMUSG00000016526,Non-essential,Non-essential
ENSMUSG00000049327,Non-essential,Essential
ENSMUSG00000020601,Non-essential,NA
ENSMUSG00000039219,Non-essential,Essential
ENSMUSG00000021188,Non-essential,NA
ENSMUSG00000026341,Non-essential,NA
ENSMUSG00000027668,NA,Essential
ENSMUSG00000053175,Non-essential,Non-essential
ENSMUSG00000003778,Non-essential,Essential
ENSMUSG00000041298,Essential,NA
ENSMUSG00000029145,Essential,Essential
ENSMUSG00000017146,Essential,Essential
ENSMUSG00000021179,Essential,Essential
ENSMUSG00000030603,Essential,Essential
ENSMUSG00000034329,Essential,Non-essential
ENSMUSG00000032481,Essential,Essential
ENSMUSG00000040033,Non-essential,Non-essential
ENSMUSG00000028654,Non-essential,Non-essential
ENSMUSG00000021767,Non-essential,NA
ENSMUSG00000066568,Non-essential,NA
ENSMUSG00000048490,Non-essential,NA
ENSMUSG00000040661,Essential,NA
ENSMUSG00000031960,Essential,NA
ENSMUSG00000017119,NA,Non-essential
ENSMUSG00000040389,Non-essential,Non-essential
ENSMUSG00000060743,Essential,NA
ENSMUSG00000030554,Non-essential,Non-essential
ENSMUSG00000046861,Non-essential,Non-essential
ENSMUSG00000004069,Essential,Essential
ENSMUSG00000021645,Essential,Essential
ENSMUSG00000017264,Essential,Non-essential
ENSMUSG00000027379,Essential,Essential
ENSMUSG00000033237,Non-essential,Essential
ENSMUSG00000035198,Essential,Essential
ENSMUSG00000029313,Non-essential,NA
ENSMUSG00000024742,Essential,Essential
ENSMUSG00000002221,Non-essential,Essential
ENSMUSG00000030655,Essential,Essential
ENSMUSG00000040782,Non-essential,NA
ENSMUSG00000029465,Essential,Essential
ENSMUSG00000002307,NA,Essential
ENSMUSG00000057113,Essential,Essential
ENSMUSG00000037712,Non-essential,Essential
ENSMUSG00000025586,Non-essential,NA
ENSMUSG00000006920,Non-essential,NA
ENSMUSG00000026790,Non-essential,NA
ENSMUSG00000093661,Non-essential,Non-essential
ENSMUSG00000019802,Non-essential,Essential
ENSMUSG00000039536,Essential,Non-essential
ENSMUSG00000054582,Essential,NA
ENSMUSG00000031103,Non-essential,Non-essential
ENSMUSG00000024525,Non-essential,Non-essential
ENSMUSG00000027018,Non-essential,NA
ENSMUSG00000020656,Non-essential,Non-essential
ENSMUSG00000025758,Non-essential,Essential
ENSMUSG00000044201,Non-essential,Non-essential
ENSMUSG00000022096,Non-essential,NA
ENSMUSG00000015217,Non-essential,Non-essential
ENSMUSG00000071072,NA,Essential
ENSMUSG00000038369,Non-essential,Essential
ENSMUSG00000020430,Essential,Essential
ENSMUSG00000021635,Non-essential,Essential
ENSMUSG00000023990,Non-essential,Essential
ENSMUSG00000000731,Non-essential,Essential
ENSMUSG00000001151,Non-essential,NA
ENSMUSG00000028991,Essential,Essential
ENSMUSG00000030451,Non-essential,NA
ENSMUSG00000022994,Non-essential,Non-essential
ENSMUSG00000021270,Non-essential,NA
ENSMUSG00000026074,Non-essential,Essential
ENSMUSG00000023938,Non-essential,Essential
ENSMUSG00000052299,Non-essential,NA
ENSMUSG00000035342,NA,Non-essential
ENSMUSG00000025220,Non-essential,NA
ENSMUSG00000029405,Non-essential,Essential
ENSMUSG00000078619,Non-essential,NA
ENSMUSG00000020075,Essential,NA
ENSMUSG00000041530,Non-essential,NA
ENSMUSG00000023075,Non-essential,Non-essential
ENSMUSG00000016477,Essential,Essential
ENSMUSG00000040407,Non-essential,NA
ENSMUSG00000027425,Non-essential,Essential
ENSMUSG00000024913,Essential,NA
ENSMUSG00000091971,Non-essential,Non-essential
ENSMUSG00000031972,Non-essential,NA
ENSMUSG00000016255,Non-essential,Non-essential
ENSMUSG00000039067,Essential,NA
ENSMUSG00000022105,Non-essential,Essential
ENSMUSG00000020079,Essential,Essential
ENSMUSG00000021466,Non-essential,Essential
ENSMUSG00000027509,Essential,Essential
ENSMUSG00000023118,Essential,NA
ENSMUSG00000002486,Non-essential,Non-essential
ENSMUSG00000063550,Essential,Essential
ENSMUSG00000001761,Non-essential,Essential
ENSMUSG00000018547,Non-essential,NA
ENSMUSG00000020593,Non-essential,NA
ENSMUSG00000032715,Non-essential,Non-essential
ENSMUSG00000068206,Non-essential,NA
ENSMUSG00000007279,Non-essential,Non-essential
ENSMUSG00000058318,Essential,Essential
ENSMUSG00000026031,Non-essential,Essential
ENSMUSG00000055065,Non-essential,NA
ENSMUSG00000001542,Non-essential,Non-essential
ENSMUSG00000029657,Non-essential,Non-essential
ENSMUSG00000020349,Essential,Essential
ENSMUSG00000006445,Non-essential,Non-essential
ENSMUSG00000008855,Non-essential,Non-essential
ENSMUSG00000037896,Non-essential,NA
ENSMUSG00000033813,Non-essential,Essential
ENSMUSG00000021277,Non-essential,NA
ENSMUSG00000026496,Non-essential,NA
ENSMUSG00000037876,Non-essential,NA
ENSMUSG00000053289,Essential,Non-essential
ENSMUSG00000027968,Non-essential,Essential
ENSMUSG00000003031,Non-essential,NA
ENSMUSG00000029026,Non-essential,NA
ENSMUSG00000020530,Non-essential,Essential
ENSMUSG00000030595,Non-essential,Non-essential
ENSMUSG00000028820,Essential,NA
ENSMUSG00000018166,Non-essential,Essential
ENSMUSG00000029364,Non-essential,NA
ENSMUSG00000032178,Non-essential,Essential
ENSMUSG00000024188,Non-essential,Non-essential
ENSMUSG00000028992,Non-essential,Essential
ENSMUSG00000057110,Non-essential,Non-essential
ENSMUSG00000039652,Non-essential,Non-essential
ENSMUSG00000027582,Non-essential,Non-essential
ENSMUSG00000022142,Essential,Essential
ENSMUSG00000021694,Non-essential,Non-essential
ENSMUSG00000034165,Non-essential,Non-essential
ENSMUSG00000043410,Non-essential,NA
ENSMUSG00000017550,Essential,Essential
ENSMUSG00000038615,NA,Essential
ENSMUSG00000036057,Essential,Essential
ENSMUSG00000034118,Non-essential,Non-essential
ENSMUSG00000020929,Essential,Essential
ENSMUSG00000024943,Essential,Essential
ENSMUSG00000029730,Essential,NA
ENSMUSG00000026048,Non-essential,Essential
ENSMUSG00000001156,Non-essential,Non-essential
ENSMUSG00000021640,Non-essential,Non-essential
ENSMUSG00000035152,Non-essential,NA
ENSMUSG00000037754,Non-essential,Non-essential
ENSMUSG00000006307,Essential,Essential
ENSMUSG00000022018,Non-essential,NA
ENSMUSG00000028309,Essential,Essential
ENSMUSG00000030850,Non-essential,Essential
ENSMUSG00000036580,Non-essential,NA
ENSMUSG00000034801,Non-essential,Non-essential
ENSMUSG00000071054,Essential,NA
ENSMUSG00000031666,Non-essential,Essential
ENSMUSG00000030224,Non-essential,NA
ENSMUSG00000028341,Non-essential,Essential
ENSMUSG00000022895,Non-essential,Essential
ENSMUSG00000032382,Non-essential,Non-essential
ENSMUSG00000028271,Essential,Essential
ENSMUSG00000037815,Non-essential,NA
ENSMUSG00000034667,Non-essential,NA
ENSMUSG00000006567,Non-essential,NA
ENSMUSG00000060126,Essential,Essential
ENSMUSG00000061436,Non-essential,NA
ENSMUSG00000007080,Essential,NA
ENSMUSG00000028960,NA,Essential
ENSMUSG00000037364,Non-essential,Essential
ENSMUSG00000025056,Essential,NA
ENSMUSG00000018476,Non-essential,Essential
ENSMUSG00000021636,Non-essential,Non-essential
ENSMUSG00000090100,Non-essential,NA
ENSMUSG00000033902,Non-essential,Non-essential
ENSMUSG00000021377,Non-essential,Non-essential
ENSMUSG00000015837,Non-essential,NA
ENSMUSG00000021668,Non-essential,Non-essential
ENSMUSG00000059060,Non-essential,Essential
ENSMUSG00000039781,Non-essential,NA
ENSMUSG00000032113,Essential,Essential
ENSMUSG00000027304,Essential,Essential
ENSMUSG00000044976,Non-essential,Non-essential
ENSMUSG00000032171,Non-essential,Non-essential
ENSMUSG00000031197,Essential,Non-essential
ENSMUSG00000004263,Non-essential,NA
ENSMUSG00000029253,Non-essential,NA
ENSMUSG00000033170,Non-essential,Essential
ENSMUSG00000041890,Non-essential,Non-essential
ENSMUSG00000020412,Non-essential,Essential
ENSMUSG00000027620,Essential,NA
ENSMUSG00000029176,Non-essential,Essential
ENSMUSG00000028560,Non-essential,NA
ENSMUSG00000015937,Non-essential,Non-essential
ENSMUSG00000020366,Non-essential,Non-essential
ENSMUSG00000024120,Non-essential,Essential
ENSMUSG00000038344,Essential,Non-essential
ENSMUSG00000025959,Non-essential,Essential
ENSMUSG00000042548,Non-essential,NA
ENSMUSG00000026289,Non-essential,Essential
ENSMUSG00000042010,NA,Non-essential
ENSMUSG00000027593,Non-essential,Non-essential
ENSMUSG00000017210,Non-essential,NA
ENSMUSG00000018848,Essential,NA
ENSMUSG00000024079,Non-essential,Non-essential
ENSMUSG00000031537,Non-essential,Essential
ENSMUSG00000058239,Non-essential,NA
ENSMUSG00000039168,Non-essential,Non-essential
ENSMUSG00000028683,Essential,Essential
ENSMUSG00000046865,Essential,NA
ENSMUSG00000020962,Non-essential,Essential
ENSMUSG00000034290,Non-essential,Essential
ENSMUSG00000050310,Non-essential,Essential
ENSMUSG00000029552,Non-essential,Non-essential
ENSMUSG00000017548,Non-essential,Essential
ENSMUSG00000024921,Non-essential,NA
ENSMUSG00000038331,Non-essential,Essential
ENSMUSG00000028322,Essential,NA
ENSMUSG00000025764,Non-essential,NA
ENSMUSG00000003226,NA,Essential
ENSMUSG00000028059,NA,Non-essential
ENSMUSG00000066900,Essential,Essential
ENSMUSG00000033983,Non-essential,Non-essential
ENSMUSG00000042508,Non-essential,NA
ENSMUSG00000062444,Non-essential,Non-essential
ENSMUSG00000028252,Non-essential,NA
ENSMUSG00000032571,Essential,Essential
ENSMUSG00000021103,Essential,Essential
ENSMUSG00000042487,Essential,Essential
ENSMUSG00000034187,Essential,Essential
ENSMUSG00000044167,Non-essential,Essential
ENSMUSG00000000915,Non-essential,Non-essential
ENSMUSG00000039842,Non-essential,NA
ENSMUSG00000032009,Non-essential,Non-essential
ENSMUSG00000041058,Non-essential,Non-essential
ENSMUSG00000055866,Non-essential,NA
ENSMUSG00000027715,Essential,Essential
ENSMUSG00000021258,Essential,NA
ENSMUSG00000074656,Non-essential,Essential
ENSMUSG00000029777,Essential,Essential
ENSMUSG00000030536,Non-essential,Non-essential
ENSMUSG00000005371,Non-essential,Essential
ENSMUSG00000026761,Essential,Non-essential
ENSMUSG00000000567,Non-essential,Essential
ENSMUSG00000028411,Non-essential,Non-essential
ENSMUSG00000029062,Essential,Essential
ENSMUSG00000042903,Non-essential,Non-essential
ENSMUSG00000021488,Non-essential,Essential
ENSMUSG00000025025,Non-essential,NA
ENSMUSG00000025577,Non-essential,Essential
ENSMUSG00000021870,Non-essential,NA
ENSMUSG00000008958,Essential,Essential
ENSMUSG00000020718,Essential,Essential
ENSMUSG00000022048,Non-essential,Non-essential
ENSMUSG00000028126,Non-essential,NA
ENSMUSG00000056917,Non-essential,Non-essential
ENSMUSG00000028587,Non-essential,Essential
ENSMUSG00000059995,Essential,Essential
ENSMUSG00000023944,Non-essential,NA
ENSMUSG00000021823,Non-essential,Essential
ENSMUSG00000039981,Non-essential,Non-essential
ENSMUSG00000029863,Non-essential,Non-essential
ENSMUSG00000059363,Essential,Essential
ENSMUSG00000023947,Non-essential,Non-essential
ENSMUSG00000001855,Essential,NA
ENSMUSG00000033276,Non-essential,NA
ENSMUSG00000033166,Essential,Essential
ENSMUSG00000025793,Non-essential,Essential
ENSMUSG00000027678,Essential,NA
ENSMUSG00000019982,Non-essential,Essential
ENSMUSG00000009079,NA,Essential
ENSMUSG00000034781,NA,Non-essential
ENSMUSG00000059436,Essential,Essential
ENSMUSG00000028163,Non-essential,NA
ENSMUSG00000036442,Essential,Essential
ENSMUSG00000006273,NA,Essential
ENSMUSG00000024999,Essential,NA
ENSMUSG00000029166,Non-essential,Non-essential
ENSMUSG00000000934,Non-essential,Non-essential
ENSMUSG00000031066,Non-essential,Non-essential
ENSMUSG00000063646,Non-essential,Non-essential
ENSMUSG00000034601,Non-essential,Essential
ENSMUSG00000031714,Non-essential,Essential
ENSMUSG00000014771,Essential,Essential
ENSMUSG00000038765,Non-essential,Essential
ENSMUSG00000026932,Non-essential,Non-essential
ENSMUSG00000048138,Non-essential,Essential
ENSMUSG00000031229,Non-essential,NA
ENSMUSG00000035354,Non-essential,Non-essential
ENSMUSG00000063663,Non-essential,Non-essential
ENSMUSG00000013236,Non-essential,Essential
ENSMUSG00000024513,Non-essential,Non-essential
ENSMUSG00000070348,Non-essential,NA
ENSMUSG00000045193,Essential,Non-essential
ENSMUSG00000034906,Essential,NA
ENSMUSG00000019820,Non-essential,Non-essential
ENSMUSG00000096727,Non-essential,Non-essential
ENSMUSG00000027342,Essential,Essential
ENSMUSG00000038970,Non-essential,Essential
ENSMUSG00000020538,Non-essential,Essential
ENSMUSG00000022139,Non-essential,NA
ENSMUSG00000031207,Non-essential,Non-essential
ENSMUSG00000023079,Non-essential,NA
ENSMUSG00000038774,Essential,Non-essential
ENSMUSG00000028943,Non-essential,Non-essential
ENSMUSG00000045817,Non-essential,NA
ENSMUSG00000029478,Non-essential,Essential
ENSMUSG00000027714,Essential,NA
ENSMUSG00000028681,Non-essential,Non-essential
ENSMUSG00000058355,NA,Essential
ENSMUSG00000087166,Essential,Non-essential
ENSMUSG00000019947,Essential,NA
ENSMUSG00000052917,Non-essential,Non-essential
ENSMUSG00000026208,Non-essential,NA
ENSMUSG00000018068,Essential,Essential
ENSMUSG00000056608,Non-essential,Non-essential
ENSMUSG00000032741,Non-essential,Non-essential
ENSMUSG00000005682,Non-essential,NA
ENSMUSG00000036427,Non-essential,NA
ENSMUSG00000037316,Non-essential,Non-essential
