Gene,Essential CEG,Essential OEG
FBgn0037573,Essential,NA
FBgn0011244,Non-essential,NA
FBgn0025582,Essential,NA
FBgn0039120,Essential,NA
FBgn0031631,Non-essential,NA
FBgn0010412,Essential,NA
FBgn0261014,Essential,NA
FBgn0037624,Non-essential,NA
FBgn0029999,Essential,NA
FBgn0010417,Essential,NA
FBgn0038090,Non-essential,NA
FBgn0023513,Essential,NA
FBgn0003449,Essential,NA
FBgn0032906,Essential,NA
FBgn0033859,Essential,NA
FBgn0040273,Non-essential,NA
FBgn0017457,Non-essential,NA
FBgn0031149,Non-essential,NA
FBgn0033351,Non-essential,NA
FBgn0027525,Non-essential,NA
FBgn0027091,Essential,NA
FBgn0010747,Essential,NA
FBgn0003479,Non-essential,NA
FBgn0029714,Essential,NA
FBgn0039558,Non-essential,NA
FBgn0040227,Non-essential,NA
FBgn0005674,Non-essential,NA
FBgn0025571,Non-essential,NA
FBgn0037051,Essential,Essential
FBgn0030354,Essential,NA
FBgn0004915,Essential,NA
FBgn0261396,Essential,NA
FBgn0040290,Non-essential,NA
FBgn0011638,Essential,NA
FBgn0011569,Non-essential,NA
FBgn0026207,Non-essential,NA
FBgn0033062,Essential,NA
FBgn0011703,Essential,NA
FBgn0036188,Non-essential,NA
FBgn0028360,Non-essential,Essential
FBgn0036514,Non-essential,NA
FBgn0261286,Non-essential,NA
FBgn0029629,Essential,NA
FBgn0027338,Essential,NA
FBgn0039713,Essential,NA
FBgn0037371,Non-essential,NA
FBgn0033210,Essential,NA
FBgn0051368,Essential,NA
FBgn0039016,Non-essential,NA
FBgn0029992,Essential,NA
FBgn0053158,Non-essential,NA
FBgn0027080,Essential,NA
FBgn0037742,Non-essential,NA
FBgn0004901,Essential,NA
FBgn0033902,Non-essential,NA
FBgn0002707,Non-essential,NA
FBgn0033380,Non-essential,NA
FBgn0026722,Non-essential,NA
FBgn0025457,Essential,NA
FBgn0038344,Non-essential,NA
FBgn0035842,Non-essential,NA
FBgn0015245,Non-essential,NA
FBgn0025621,Non-essential,NA
FBgn0031769,Non-essential,NA
FBgn0037478,Essential,NA
FBgn0031875,Non-essential,NA
FBgn0011692,Essential,NA
FBgn0261479,Essential,NA
FBgn0035942,Non-essential,NA
FBgn0028697,Essential,NA
FBgn0086694,Essential,NA
FBgn0037202,Essential,NA
FBgn0032016,Non-essential,Non-essential
FBgn0032408,Essential,NA
FBgn0004913,Essential,NA
FBgn0001565,Essential,NA
FBgn0032596,Essential,NA
FBgn0034572,Non-essential,NA
FBgn0037093,Essential,Essential
FBgn0032690,Non-essential,NA
FBgn0034641,Essential,NA
FBgn0261385,Non-essential,NA
FBgn0028686,Essential,NA
FBgn0039857,Essential,NA
FBgn0035336,Non-essential,NA
FBgn0036018,Essential,NA
FBgn0020306,NA,Essential
FBgn0035145,Essential,NA
FBgn0037369,Essential,NA
FBgn0034258,Non-essential,NA
FBgn0028554,Essential,NA
FBgn0001995,Essential,NA
FBgn0015075,Non-essential,NA
FBgn0039302,Essential,NA
FBgn0024956,Non-essential,NA
FBgn0038861,Non-essential,NA
FBgn0011762,Non-essential,NA
FBgn0039227,Non-essential,NA
FBgn0014340,Non-essential,NA
FBgn0035878,Essential,NA
FBgn0250843,Essential,NA
FBgn0023529,Non-essential,NA
FBgn0038578,Non-essential,NA
FBgn0030789,Essential,NA
FBgn0024352,Non-essential,NA
FBgn0013756,Essential,NA
FBgn0051251,Non-essential,NA
FBgn0024227,Non-essential,NA
FBgn0086613,Essential,NA
FBgn0034879,Non-essential,NA
FBgn0028693,Essential,NA
FBgn0039407,Essential,NA
FBgn0036224,Non-essential,NA
FBgn0000617,Essential,NA
FBgn0003204,Essential,NA
FBgn0034237,Essential,NA
FBgn0086706,Essential,NA
FBgn0004367,Non-essential,NA
FBgn0003687,Non-essential,NA
FBgn0032813,Non-essential,NA
FBgn0035987,Essential,NA
FBgn0037121,Essential,NA
FBgn0000239,Essential,NA
FBgn0036104,Non-essential,NA
FBgn0031601,Non-essential,NA
FBgn0030122,Non-essential,NA
FBgn0036974,Essential,NA
FBgn0034964,Non-essential,NA
FBgn0028837,Non-essential,NA
FBgn0038796,Non-essential,NA
FBgn0022288,Essential,NA
FBgn0051453,Essential,NA
FBgn0032698,Non-essential,NA
FBgn0000147,Essential,NA
FBgn0028737,Non-essential,NA
FBgn0028974,Essential,NA
FBgn0028692,Essential,NA
FBgn0035644,Non-essential,NA
FBgn0002783,Non-essential,NA
FBgn0031851,Non-essential,NA
FBgn0010355,Essential,NA
FBgn0000629,Non-essential,NA
FBgn0039125,Essential,NA
FBgn0004406,Non-essential,NA
FBgn0086908,Non-essential,NA
FBgn0032467,Non-essential,NA
FBgn0026259,Non-essential,NA
FBgn0001215,Non-essential,NA
FBgn0014024,Essential,NA
FBgn0030943,Non-essential,NA
FBgn0012058,Essential,NA
FBgn0000283,Non-essential,NA
FBgn0032882,Non-essential,NA
FBgn0035121,Non-essential,NA
FBgn0003124,Essential,NA
FBgn0011272,Essential,NA
FBgn0051155,Non-essential,NA
FBgn0003189,Essential,NA
FBgn0027057,Essential,NA
FBgn0040208,Non-essential,NA
FBgn0033316,Non-essential,NA
FBgn0036038,Essential,NA
FBgn0027093,Non-essential,NA
FBgn0017545,Essential,NA
FBgn0052438,Essential,NA
FBgn0014026,Essential,NA
FBgn0035630,Non-essential,NA
FBgn0086130,Essential,NA
FBgn0015949,Essential,NA
FBgn0038585,Essential,NA
FBgn0029176,Essential,NA
FBgn0015271,Essential,NA
FBgn0010770,Essential,NA
FBgn0011606,Essential,NA
FBgn0027055,Non-essential,NA
FBgn0039301,Non-essential,NA
FBgn0025832,Essential,NA
FBgn0086356,Non-essential,NA
FBgn0038189,Non-essential,NA
FBgn0040372,Non-essential,NA
FBgn0037644,Non-essential,NA
FBgn0023509,Non-essential,NA
FBgn0029079,Non-essential,NA
FBgn0037550,Essential,NA
FBgn0029977,Non-essential,NA
FBgn0250850,Non-essential,NA
FBgn0038274,Essential,NA
FBgn0033029,Essential,NA
FBgn0015664,Non-essential,Essential
FBgn0250746,Essential,NA
FBgn0021796,Essential,NA
FBgn0002626,Essential,NA
FBgn0028688,Essential,NA
FBgn0027053,Essential,NA
FBgn0043865,Non-essential,NA
FBgn0010488,Essential,NA
FBgn0020497,Essential,NA
FBgn0028685,Essential,NA
FBgn0034743,Essential,NA
FBgn0026418,Essential,NA
FBgn0033900,Essential,NA
FBgn0024987,Non-essential,NA
FBgn0039828,Non-essential,NA
FBgn0031607,Non-essential,NA
FBgn0260634,Non-essential,NA
FBgn0015546,Non-essential,NA
FBgn0034299,Essential,NA
FBgn0037073,Essential,NA
FBgn0003480,Essential,NA
FBgn0003517,Essential,NA
FBgn0039175,Non-essential,NA
FBgn0036888,Non-essential,NA
FBgn0039233,Essential,NA
FBgn0037899,Non-essential,NA
FBgn0030738,Non-essential,NA
FBgn0028473,Non-essential,NA
FBgn0002914,NA,Essential
FBgn0029113,Essential,NA
FBgn0027378,Essential,NA
FBgn0028694,Essential,NA
FBgn0037135,Non-essential,NA
FBgn0033454,Non-essential,NA
FBgn0260639,Essential,NA
FBgn0037504,Non-essential,NA
FBgn0086710,Essential,NA
FBgn0042177,Non-essential,NA
FBgn0029861,Essential,NA
FBgn0037608,Non-essential,NA
FBgn0025463,Non-essential,NA
FBgn0034792,Essential,NA
FBgn0013717,Non-essential,NA
FBgn0034962,Non-essential,NA
FBgn0041164,Non-essential,NA
FBgn0002579,Essential,NA
FBgn0261535,Essential,NA
FBgn0033473,Non-essential,NA
FBgn0002031,Non-essential,NA
FBgn0030959,Non-essential,NA
FBgn0003257,Non-essential,NA
FBgn0002878,Non-essential,NA
FBgn0036334,Essential,NA
FBgn0000557,Non-essential,NA
FBgn0243511,Non-essential,NA
FBgn0026015,Non-essential,NA
FBgn0037741,Non-essential,NA
FBgn0023512,Non-essential,NA
FBgn0043456,Non-essential,NA
FBgn0031318,Non-essential,NA
FBgn0038307,Essential,NA
FBgn0037376,Essential,NA
FBgn0038306,Non-essential,NA
FBgn0019936,Essential,NA
FBgn0037770,Non-essential,NA
FBgn0024887,Essential,NA
FBgn0004237,Non-essential,NA
FBgn0032634,Essential,NA
FBgn0035443,Non-essential,NA
FBgn0031592,Non-essential,NA
FBgn0033169,Non-essential,NA
FBgn0017556,Non-essential,NA
FBgn0036916,Essential,NA
FBgn0031321,Non-essential,NA
FBgn0032517,Essential,NA
FBgn0031868,Non-essential,NA
FBgn0015268,Non-essential,NA
FBgn0036568,Non-essential,NA
FBgn0024542,Non-essential,NA
FBgn0037554,Non-essential,NA
FBgn0010097,Non-essential,NA
FBgn0015828,Non-essential,NA
FBgn0031456,Non-essential,NA
FBgn0015527,Non-essential,NA
FBgn0011704,Essential,NA
FBgn0034728,Essential,Non-essential
FBgn0016685,Essential,NA
FBgn0039300,Essential,NA
FBgn0037081,Non-essential,NA
FBgn0020660,Non-essential,NA
FBgn0031759,Essential,NA
FBgn0014023,Non-essential,NA
FBgn0261270,Essential,NA
FBgn0000100,Essential,NA
FBgn0011290,Non-essential,NA
FBgn0037657,Essential,NA
FBgn0000053,Essential,NA
FBgn0038345,Non-essential,NA
FBgn0261109,Non-essential,NA
FBgn0032298,Non-essential,NA
FBgn0015270,Non-essential,NA
FBgn0004867,Essential,NA
FBgn0003891,Essential,NA
FBgn0039846,Non-essential,NA
FBgn0040339,Non-essential,NA
FBgn0026250,Essential,NA
FBgn0035872,Essential,NA
FBgn0002284,Essential,NA
FBgn0021768,Non-essential,NA
FBgn0051156,Non-essential,Non-essential
FBgn0030061,Non-essential,NA
FBgn0031643,Non-essential,NA
FBgn0013347,Essential,NA
FBgn0038118,Non-essential,NA
FBgn0028687,Essential,NA
FBgn0027620,Non-essential,NA
FBgn0038145,Essential,NA
FBgn0004400,Non-essential,NA
FBgn0042092,Essential,NA
FBgn0035124,Non-essential,NA
FBgn0035150,Essential,NA
FBgn0030007,Non-essential,NA
FBgn0032050,Non-essential,NA
FBgn0010317,Non-essential,Non-essential
FBgn0005696,Non-essential,NA
FBgn0001197,Essential,NA
FBgn0040346,Non-essential,NA
FBgn0024992,Non-essential,NA
FBgn0033636,Essential,NA
FBgn0035111,Essential,NA
FBgn0260944,Non-essential,NA
FBgn0031252,Non-essential,NA
FBgn0035900,Essential,NA
FBgn0019990,Non-essential,NA
FBgn0023180,Essential,Non-essential
FBgn0027903,Non-essential,NA
FBgn0250906,Non-essential,Essential
FBgn0001086,Essential,NA
FBgn0259935,Non-essential,NA
FBgn0029785,Essential,NA
FBgn0034422,Non-essential,NA
FBgn0034703,Non-essential,NA
FBgn0032640,Non-essential,NA
FBgn0023514,Essential,NA
FBgn0035064,Essential,NA
FBgn0029755,Non-essential,NA
FBgn0026566,Non-essential,NA
FBgn0027490,Non-essential,NA
FBgn0011211,Essential,NA
FBgn0015553,Non-essential,NA
FBgn0002622,Essential,NA
FBgn0011763,Essential,Essential
FBgn0034915,Essential,NA
FBgn0004587,Essential,NA
FBgn0031606,Non-essential,NA
FBgn0030858,Essential,NA
FBgn0030366,Essential,NA
FBgn0086451,NA,NA
FBgn0003607,Non-essential,NA
FBgn0038805,NA,Essential
FBgn0260439,Essential,NA
FBgn0038429,Essential,NA
FBgn0010551,Essential,NA
FBgn0031604,Essential,NA
FBgn0004378,Essential,NA
FBgn0053506,Non-essential,NA
FBgn0052707,Non-essential,NA
FBgn0031020,Non-essential,NA
FBgn0022943,Essential,NA
FBgn0033615,Non-essential,NA
FBgn0033155,Essential,Essential
FBgn0001216,Non-essential,NA
FBgn0002525,Non-essential,Essential
FBgn0005649,Essential,NA
FBgn0030720,Non-essential,NA
FBgn0261112,Essential,NA
FBgn0015805,Essential,NA
FBgn0086357,Essential,NA
FBgn0030686,Non-essential,NA
FBgn0000404,Essential,Essential
FBgn0031145,Essential,NA
FBgn0001220,Non-essential,NA
FBgn0086895,NA,NA
FBgn0039651,Non-essential,NA
FBgn0036486,Non-essential,NA
FBgn0023177,Essential,NA
FBgn0027054,Essential,NA
FBgn0030630,Non-essential,NA
FBgn0032691,Non-essential,NA
FBgn0002774,Non-essential,NA
FBgn0003268,Essential,NA
FBgn0038951,Non-essential,NA
FBgn0042085,Non-essential,NA
FBgn0038723,Non-essential,NA
FBgn0004404,Essential,NA
FBgn0015282,Essential,NA
FBgn0086447,Essential,NA
FBgn0039743,Non-essential,NA
FBgn0010812,Essential,NA
FBgn0000042,Non-essential,NA
FBgn0041775,Essential,NA
FBgn0030096,Essential,NA
FBgn0010078,Essential,NA
FBgn0034646,Essential,NA
FBgn0036825,Essential,NA
FBgn0026380,Essential,NA
FBgn0017579,Essential,NA
FBgn0010421,Essential,NA
FBgn0010282,Non-essential,NA
FBgn0010520,Essential,NA
FBgn0037549,Non-essential,NA
FBgn0036853,Essential,NA
FBgn0023143,Non-essential,NA
FBgn0022724,Essential,NA
FBgn0011741,Essential,NA
FBgn0034937,Non-essential,NA
FBgn0027495,Non-essential,NA
FBgn0039306,NA,Essential
FBgn0025638,Essential,NA
FBgn0030170,Non-essential,NA
FBgn0031728,Non-essential,NA
FBgn0032397,Non-essential,NA
FBgn0003885,Essential,NA
FBgn0051272,Non-essential,NA
FBgn0014342,Non-essential,NA
FBgn0033378,Essential,Essential
FBgn0027512,Non-essential,NA
FBgn0020369,Non-essential,NA
FBgn0003886,Essential,NA
FBgn0037232,Essential,NA
FBgn0010590,Essential,NA
FBgn0051184,Essential,NA
FBgn0026371,Non-essential,NA
FBgn0035800,Non-essential,Non-essential
FBgn0036915,Non-essential,NA
FBgn0010258,Non-essential,NA
FBgn0040345,Non-essential,NA
FBgn0004391,Essential,NA
FBgn0023441,Non-essential,NA
FBgn0027085,Essential,NA
FBgn0031696,Non-essential,NA
FBgn0031947,Non-essential,NA
FBgn0038390,Non-essential,NA
FBgn0036004,Non-essential,Essential
FBgn0015509,Essential,NA
FBgn0035854,Essential,NA
FBgn0036462,Essential,NA
FBgn0260985,Non-essential,NA
FBgn0042112,Non-essential,NA
FBgn0005386,Non-essential,NA
FBgn0002906,Non-essential,NA
FBgn0033929,Essential,Essential
FBgn0015778,Essential,NA
FBgn0038188,Non-essential,NA
FBgn0035627,Essential,NA
FBgn0038869,Non-essential,NA
FBgn0035371,Non-essential,NA
FBgn0029512,Essential,NA
FBgn0026079,Non-essential,NA
FBgn0020616,Non-essential,NA
FBgn0036356,Essential,NA
FBgn0025674,Essential,NA
FBgn0086904,Essential,NA
FBgn0004379,Essential,NA
FBgn0002989,Non-essential,NA
FBgn0031050,Non-essential,NA
FBgn0037529,Essential,NA
FBgn0034976,Non-essential,NA
FBgn0002787,Essential,NA
FBgn0015283,Essential,NA
FBgn0040291,Non-essential,NA
FBgn0250837,Essential,NA
FBgn0025366,Essential,NA
FBgn0000045,Non-essential,NA
FBgn0016131,Essential,NA
FBgn0016687,Essential,NA
FBgn0015625,Non-essential,NA
FBgn0039338,Essential,Essential
FBgn0045843,Non-essential,NA
FBgn0001179,Non-essential,NA
FBgn0034246,Essential,NA
FBgn0040237,Essential,NA
FBgn0020910,Essential,NA
FBgn0036973,Essential,NA
FBgn0036254,Non-essential,NA
FBgn0004066,Essential,NA
FBgn0023174,Essential,Essential
FBgn0031736,Non-essential,NA
FBgn0086695,Non-essential,NA
FBgn0034243,Essential,NA
FBgn0037882,Non-essential,NA
FBgn0033235,Non-essential,NA
FBgn0010280,Essential,NA
FBgn0039562,Non-essential,NA
FBgn0031462,Non-essential,NA
FBgn0030672,Non-essential,NA
FBgn0010602,Essential,NA
FBgn0033074,Non-essential,NA
FBgn0052104,Non-essential,NA
FBgn0001233,Essential,NA
FBgn0016696,Essential,NA
FBgn0086355,Non-essential,NA
FBgn0002899,Non-essential,NA
FBgn0038810,Non-essential,NA
FBgn0044510,Essential,NA
FBgn0033889,Essential,NA
FBgn0028471,Non-essential,NA
FBgn0010339,Non-essential,NA
FBgn0011824,Non-essential,NA
FBgn0002887,Non-essential,NA
FBgn0038565,Non-essential,NA
FBgn0037613,Essential,NA
FBgn0032509,Essential,NA
FBgn0003612,Non-essential,Essential
FBgn0034735,Non-essential,NA
FBgn0033754,Essential,NA
FBgn0045035,Non-essential,NA
FBgn0010328,Essential,Essential
FBgn0032525,Non-essential,NA
FBgn0025630,Non-essential,NA
FBgn0037170,Non-essential,NA
FBgn0020388,Non-essential,NA
FBgn0038277,Non-essential,NA
FBgn0035026,Non-essential,NA
FBgn0000146,Non-essential,NA
FBgn0020270,Non-essential,NA
FBgn0038609,Essential,NA
FBgn0027083,Non-essential,NA
FBgn0031540,Non-essential,NA
FBgn0016041,Essential,NA
FBgn0031655,Non-essential,NA
FBgn0010314,Essential,NA
FBgn0010438,Essential,NA
FBgn0026430,Non-essential,NA
FBgn0002905,Non-essential,NA
FBgn0036661,Essential,NA
FBgn0036990,Essential,NA
FBgn0030049,Essential,NA
FBgn0032247,Non-essential,NA
FBgn0037526,Non-essential,NA
FBgn0087040,Non-essential,NA
FBgn0050085,NA,NA
FBgn0037531,Non-essential,NA
FBgn0002924,Non-essential,NA
FBgn0036882,Non-essential,NA
FBgn0028474,Essential,NA
FBgn0032961,Non-essential,NA
FBgn0024921,Non-essential,NA
FBgn0003714,Non-essential,NA
FBgn0030660,Non-essential,NA
FBgn0005278,Essential,NA
FBgn0027504,Non-essential,NA
FBgn0034214,Non-essential,NA
FBgn0000618,Essential,NA
FBgn0011573,Non-essential,NA
FBgn0022764,Essential,NA
FBgn0086445,Essential,NA
FBgn0011742,Essential,NA
FBgn0041588,Non-essential,NA
FBgn0027524,Non-essential,NA
FBgn0002590,Essential,NA
FBgn0038016,Non-essential,Essential
FBgn0259876,Essential,NA
FBgn0040234,Non-essential,NA
FBgn0031431,Non-essential,NA
FBgn0260399,Essential,NA
FBgn0038300,Non-essential,NA
FBgn0035271,Essential,NA
FBgn0024556,Non-essential,NA
FBgn0031107,Non-essential,NA
FBgn0037255,Non-essential,NA
FBgn0029763,Non-essential,NA
FBgn0004362,Essential,NA
FBgn0031296,Non-essential,NA
FBgn0044030,Essential,NA
FBgn0003074,Non-essential,NA
FBgn0030891,Non-essential,NA
FBgn0036272,Non-essential,NA
FBgn0036282,Non-essential,NA
FBgn0027603,Non-essential,NA
FBgn0038471,Non-essential,NA
FBgn0039585,Non-essential,NA
FBgn0004855,Non-essential,NA
FBgn0086472,Essential,NA
FBgn0051450,Non-essential,NA
FBgn0019686,Non-essential,NA
FBgn0032518,Essential,NA
FBgn0030507,Non-essential,NA
FBgn0004654,Essential,NA
FBgn0036918,Essential,NA
FBgn0032195,Essential,NA
FBgn0033918,Non-essential,NA
FBgn0033865,Non-essential,NA
FBgn0004107,Essential,NA
FBgn0037270,Essential,NA
FBgn0011586,Non-essential,NA
FBgn0011659,Non-essential,NA
FBgn0034921,Essential,NA
FBgn0030370,Non-essential,NA
FBgn0039868,Non-essential,NA
FBgn0033890,Essential,NA
FBgn0004177,Non-essential,NA
FBgn0030786,Non-essential,NA
FBgn0086134,Essential,NA
FBgn0036212,Non-essential,Non-essential
FBgn0033352,Non-essential,NA
FBgn0027375,Non-essential,NA
FBgn0261383,Essential,NA
FBgn0000043,Essential,NA
FBgn0004373,Non-essential,NA
FBgn0036030,Essential,NA
FBgn0010398,Non-essential,NA
FBgn0039241,Non-essential,NA
FBgn0035689,Non-essential,NA
FBgn0036184,Essential,NA
FBgn0039139,Non-essential,NA
FBgn0042712,Non-essential,NA
FBgn0038055,Non-essential,NA
FBgn0022786,Non-essential,NA
FBgn0039790,Non-essential,NA
FBgn0261439,Non-essential,NA
FBgn0030406,Essential,NA
FBgn0017567,Non-essential,NA
FBgn0030854,Non-essential,NA
FBgn0036913,Non-essential,Non-essential
FBgn0036691,Essential,NA
FBgn0033081,Essential,NA
FBgn0036451,Non-essential,NA
FBgn0011660,Non-essential,NA
FBgn0002542,Essential,NA
FBgn0032198,Non-essential,NA
FBgn0013276,Non-essential,NA
FBgn0026326,Essential,NA
FBgn0030305,Essential,NA
FBgn0037728,Non-essential,NA
FBgn0031764,Non-essential,NA
FBgn0000046,Non-essential,NA
FBgn0261394,NA,NA
FBgn0033540,Non-essential,NA
FBgn0025629,Non-essential,NA
FBgn0022338,Non-essential,NA
FBgn0011774,Non-essential,Essential
FBgn0027508,Non-essential,NA
FBgn0038826,Non-essential,NA
FBgn0003275,Non-essential,NA
FBgn0004597,Non-essential,NA
FBgn0027359,Non-essential,NA
FBgn0032818,Essential,NA
FBgn0039588,Non-essential,NA
FBgn0053554,Essential,NA
FBgn0030655,Non-essential,NA
FBgn0261278,Essential,NA
FBgn0010217,Essential,NA
FBgn0260987,Essential,NA
FBgn0037543,Non-essential,NA
FBgn0032293,Non-essential,NA
FBgn0010287,Non-essential,Essential
FBgn0039580,Non-essential,NA
FBgn0004924,Non-essential,NA
FBgn0034495,Non-essential,NA
FBgn0032956,Non-essential,NA
FBgn0034282,Non-essential,NA
FBgn0038683,Essential,NA
FBgn0001218,Essential,NA
FBgn0027496,Non-essential,NA
FBgn0034727,Essential,NA
FBgn0022959,Non-essential,NA
FBgn0030468,Non-essential,NA
FBgn0000405,Non-essential,NA
FBgn0050410,Non-essential,Non-essential
FBgn0030969,Essential,NA
FBgn0029812,Non-essential,NA
FBgn0038200,Non-essential,NA
FBgn0039163,Non-essential,NA
FBgn0020909,Essential,NA
FBgn0000117,Non-essential,NA
FBgn0039251,Non-essential,NA
FBgn0036569,Essential,NA
FBgn0029897,Essential,NA
FBgn0013279,Non-essential,NA
FBgn0036497,Non-essential,Non-essential
FBgn0003888,Non-essential,NA
FBgn0033527,Non-essential,NA
FBgn0052318,Non-essential,NA
FBgn0028836,Essential,NA
FBgn0033389,Non-essential,NA
FBgn0260648,Non-essential,NA
FBgn0010422,Essential,NA
FBgn0260749,Non-essential,NA
FBgn0032677,Non-essential,NA
FBgn0042083,Non-essential,NA
FBgn0031309,Essential,NA
FBgn0038678,Essential,NA
FBgn0011566,Non-essential,NA
FBgn0026666,Essential,NA
