Gene,Essential OEG
WBGene00004503,Essential
WBGene00018849,Essential
WBGene00004705,Non-essential
WBGene00004874,Essential
WBGene00018776,Non-essential
WBGene00018174,Non-essential
WBGene00000379,Essential
WBGene00013808,Essential
WBGene00011538,Non-essential
WBGene00013924,Non-essential
WBGene00018898,Essential
WBGene00004895,Non-essential
WBGene00019323,Essential
WBGene00003073,Essential
WBGene00000369,Non-essential
WBGene00009368,Essential
WBGene00004304,Essential
WBGene00004469,Essential
WBGene00004204,Non-essential
WBGene00020269,Essential
WBGene00011275,Essential
WBGene00000875,Essential
WBGene00001161,Non-essential
WBGene00001599,Non-essential
WBGene00015232,Non-essential
WBGene00010845,Non-essential
WBGene00005014,Non-essential
WBGene00016408,Non-essential
WBGene00019983,Non-essential
WBGene00010627,Essential
WBGene00007413,Essential
WBGene00019259,Non-essential
WBGene00015486,Non-essential
WBGene00009966,Essential
WBGene00011142,Essential
WBGene00022792,Non-essential
WBGene00008457,Non-essential
WBGene00020718,Non-essential
WBGene00007050,Non-essential
WBGene00016140,Essential
WBGene00004408,Essential
WBGene00001513,Essential
WBGene00006497,Non-essential
WBGene00004478,Essential
WBGene00017993,Non-essential
WBGene00012528,Essential
WBGene00007277,Non-essential
WBGene00008361,Essential
WBGene00010562,Essential
WBGene00004315,Non-essential
WBGene00004466,Non-essential
WBGene00009124,Non-essential
WBGene00010476,Essential
WBGene00003020,Non-essential
WBGene00010231,Non-essential
WBGene00017482,Non-essential
WBGene00003803,Essential
WBGene00017951,Non-essential
WBGene00004312,Essential
WBGene00006386,Essential
WBGene00003134,Essential
WBGene00009320,Non-essential
WBGene00006447,Non-essential
WBGene00001094,Essential
WBGene00004242,Non-essential
WBGene00009784,Non-essential
WBGene00004471,Essential
WBGene00007355,Non-essential
WBGene00012316,Essential
WBGene00007628,Non-essential
WBGene00009507,Non-essential
WBGene00020781,Non-essential
WBGene00012730,Non-essential
WBGene00019692,Non-essential
WBGene00044072,Non-essential
WBGene00000197,Essential
WBGene00004427,Essential
WBGene00019821,Essential
WBGene00010839,Non-essential
WBGene00016113,Non-essential
WBGene00001234,Non-essential
WBGene00021074,Non-essential
WBGene00006739,Non-essential
WBGene00018625,Essential
WBGene00003130,Non-essential
WBGene00011559,Non-essential
WBGene00022852,Essential
WBGene00004338,Non-essential
WBGene00013144,Essential
WBGene00018391,Non-essential
WBGene00008386,Essential
WBGene00004680,Non-essential
WBGene00000098,Essential
WBGene00001001,Essential
WBGene00013917,Non-essential
WBGene00003949,Essential
WBGene00001998,Non-essential
WBGene00017046,Non-essential
WBGene00016811,Non-essential
WBGene00010551,Non-essential
WBGene00012978,Non-essential
WBGene00003504,Non-essential
WBGene00001090,Non-essential
WBGene00017683,Non-essential
WBGene00015296,Non-essential
WBGene00000803,Non-essential
WBGene00004340,Essential
WBGene00013606,Non-essential
WBGene00020600,Essential
WBGene00004461,Non-essential
WBGene00000229,Essential
WBGene00001226,Essential
WBGene00016508,Non-essential
WBGene00001598,Non-essential
WBGene00004919,Essential
WBGene00000065,Essential
WBGene00020296,Non-essential
WBGene00013038,Essential
WBGene00012244,Non-essential
WBGene00010620,Non-essential
WBGene00017855,Non-essential
WBGene00020999,Non-essential
WBGene00000144,Non-essential
WBGene00003835,Non-essential
WBGene00002005,Essential
WBGene00000378,Essential
WBGene00003423,Non-essential
WBGene00007500,Non-essential
WBGene00000836,Essential
WBGene00016250,Essential
WBGene00003078,Non-essential
WBGene00004915,Essential
WBGene00020185,Non-essential
WBGene00012192,Non-essential
WBGene00006724,Non-essential
WBGene00005010,Non-essential
WBGene00008729,Non-essential
WBGene00006391,Essential
WBGene00009452,Non-essential
WBGene00016156,Non-essential
WBGene00044069,Non-essential
WBGene00017738,Non-essential
WBGene00007617,Essential
WBGene00000939,Non-essential
WBGene00020742,Non-essential
WBGene00001167,Essential
WBGene00001002,Essential
WBGene00012205,Non-essential
WBGene00011944,Essential
WBGene00011035,Non-essential
WBGene00001974,Essential
WBGene00004426,Essential
WBGene00020717,Non-essential
WBGene00004416,Essential
WBGene00004388,Non-essential
WBGene00015916,Essential
WBGene00001281,Essential
WBGene00001259,Essential
WBGene00002229,Essential
WBGene00015461,Non-essential
WBGene00004420,Essential
WBGene00000817,Essential
WBGene00009731,Non-essential
WBGene00018997,Essential
WBGene00022046,Non-essential
WBGene00011730,Non-essential
WBGene00011662,Non-essential
WBGene00004485,Essential
WBGene00020068,Essential
WBGene00003405,Non-essential
WBGene00004187,Essential
WBGene00000200,Essential
WBGene00000377,Essential
WBGene00016995,Non-essential
WBGene00013189,Non-essential
WBGene00017989,Non-essential
WBGene00012097,Non-essential
WBGene00004319,Non-essential
WBGene00007352,Essential
WBGene00012030,Essential
WBGene00019400,Essential
WBGene00014034,Non-essential
WBGene00009668,Non-essential
WBGene00001585,Non-essential
WBGene00010989,Non-essential
WBGene00004487,Essential
WBGene00006964,Essential
WBGene00008455,Essential
WBGene00009711,Non-essential
WBGene00001835,Non-essential
WBGene00003052,Essential
WBGene00007974,Non-essential
WBGene00006395,Non-essential
WBGene00003777,Essential
WBGene00010280,Non-essential
WBGene00004243,Non-essential
WBGene00010230,Non-essential
WBGene00006473,Non-essential
WBGene00000474,Non-essential
WBGene00017210,Non-essential
WBGene00000410,Essential
WBGene00009553,Non-essential
WBGene00004458,Essential
WBGene00020964,Non-essential
WBGene00003036,Essential
WBGene00008887,Non-essential
WBGene00017245,Essential
WBGene00000121,Non-essential
WBGene00020036,Non-essential
WBGene00006059,Non-essential
WBGene00017916,Essential
WBGene00010676,Non-essential
WBGene00004259,Essential
WBGene00007645,Non-essential
WBGene00017605,Essential
WBGene00019823,Essential
WBGene00020932,Non-essential
WBGene00009084,Essential
WBGene00006536,Essential
WBGene00021073,Essential
WBGene00010478,Non-essential
WBGene00000249,Non-essential
WBGene00001743,Non-essential
WBGene00011068,Non-essential
WBGene00000472,Non-essential
WBGene00002986,Non-essential
WBGene00009012,Non-essential
WBGene00001030,Essential
WBGene00020287,Non-essential
WBGene00016566,Non-essential
WBGene00001740,Non-essential
WBGene00004413,Essential
WBGene00009246,Essential
WBGene00003076,Non-essential
WBGene00022854,Essential
WBGene00006940,Essential
WBGene00010890,Essential
WBGene00017237,Essential
WBGene00001973,Non-essential
WBGene00009089,Non-essential
WBGene00013188,Non-essential
WBGene00015101,Non-essential
WBGene00004391,Essential
WBGene00006935,Essential
WBGene00014066,Essential
WBGene00003926,Essential
WBGene00018857,Non-essential
WBGene00017997,Essential
WBGene00017797,Essential
WBGene00018836,Non-essential
WBGene00010537,Non-essential
WBGene00003950,Essential
WBGene00001683,Non-essential
WBGene00015813,Non-essential
WBGene00020112,Essential
WBGene00004015,Essential
WBGene00015160,Non-essential
WBGene00003123,Essential
WBGene00012733,Non-essential
WBGene00002064,Essential
WBGene00019862,Non-essential
WBGene00009011,Non-essential
WBGene00009035,Non-essential
WBGene00017776,Non-essential
WBGene00005663,Essential
WBGene00005006,Non-essential
WBGene00001602,Non-essential
WBGene00003793,Essential
WBGene00009521,Essential
WBGene00010702,Non-essential
WBGene00008664,Non-essential
WBGene00016060,Non-essential
WBGene00004320,Essential
WBGene00017004,Non-essential
WBGene00004341,Non-essential
WBGene00003224,Non-essential
WBGene00019163,Non-essential
WBGene00018721,Non-essential
WBGene00012126,Non-essential
WBGene00008400,Non-essential
WBGene00006706,Essential
WBGene00006626,Non-essential
WBGene00004417,Essential
WBGene00004339,Essential
WBGene00014205,Non-essential
WBGene00009372,Non-essential
WBGene00018514,Non-essential
WBGene00012187,Essential
WBGene00004444,Non-essential
WBGene00020919,Non-essential
WBGene00001033,Non-essential
WBGene00014250,Non-essential
WBGene00001019,Non-essential
WBGene00018023,Non-essential
WBGene00019498,Non-essential
WBGene00010685,Non-essential
WBGene00020679,Essential
WBGene00002026,Non-essential
WBGene00007433,Essential
WBGene00021058,Non-essential
WBGene00002889,Non-essential
WBGene00016391,Non-essential
WBGene00003901,Essential
WBGene00010061,Non-essential
WBGene00008398,Non-essential
WBGene00000865,Non-essential
WBGene00019677,Non-essential
WBGene00004460,Essential
WBGene00015974,Non-essential
WBGene00012802,Non-essential
WBGene00000473,Non-essential
WBGene00017770,Non-essential
WBGene00004875,Non-essential
WBGene00004322,Non-essential
WBGene00004435,Essential
WBGene00000392,Non-essential
WBGene00011758,Essential
WBGene00017759,Non-essential
WBGene00014221,Non-essential
WBGene00011391,Non-essential
WBGene00004505,Essential
WBGene00016844,Non-essential
WBGene00018955,Non-essential
WBGene00006531,Non-essential
WBGene00011109,Essential
WBGene00014243,Non-essential
WBGene00016374,Non-essential
WBGene00006540,Essential
WBGene00008921,Non-essential
WBGene00001971,Non-essential
WBGene00009006,Essential
WBGene00006492,Non-essential
WBGene00013128,Essential
WBGene00004483,Essential
WBGene00003882,Non-essential
WBGene00000500,Non-essential
WBGene00011507,Non-essential
WBGene00000840,Non-essential
WBGene00006647,Essential
WBGene00000151,Non-essential
WBGene00004298,Non-essential
WBGene00020231,Non-essential
WBGene00022850,Non-essential
WBGene00008099,Non-essential
WBGene00015810,Essential
WBGene00004699,Non-essential
WBGene00020498,Non-essential
WBGene00017642,Essential
WBGene00019767,Non-essential
WBGene00003801,Non-essential
WBGene00011368,Non-essential
WBGene00009370,Non-essential
WBGene00003177,Non-essential
WBGene00004438,Non-essential
WBGene00012867,Non-essential
WBGene00006311,Essential
WBGene00021063,Non-essential
WBGene00020647,Non-essential
WBGene00013766,Non-essential
WBGene00009128,Non-essential
WBGene00011614,Non-essential
WBGene00019432,Essential
WBGene00019842,Non-essential
WBGene00006994,Essential
WBGene00004917,Essential
WBGene00013204,Non-essential
WBGene00007971,Essential
WBGene00017620,Non-essential
WBGene00017269,Non-essential
WBGene00020375,Non-essential
WBGene00003598,Non-essential
WBGene00003804,Non-essential
WBGene00009701,Essential
WBGene00019275,Non-essential
WBGene00020839,Non-essential
WBGene00007697,Non-essential
WBGene00016249,Essential
WBGene00004706,Non-essential
WBGene00003418,Non-essential
WBGene00020953,Non-essential
WBGene00017895,Essential
WBGene00019061,Non-essential
WBGene00000206,Essential
WBGene00009366,Non-essential
WBGene00002202,Non-essential
WBGene00006534,Non-essential
WBGene00009341,Non-essential
WBGene00003952,Essential
WBGene00004178,Non-essential
WBGene00012148,Non-essential
WBGene00016493,Non-essential
WBGene00014011,Non-essential
WBGene00003821,Essential
WBGene00000479,Essential
WBGene00011743,Non-essential
WBGene00000090,Non-essential
WBGene00019628,Non-essential
WBGene00017119,Essential
WBGene00003068,Non-essential
WBGene00007194,Non-essential
WBGene00000244,Non-essential
WBGene00004474,Essential
WBGene00017830,Essential
WBGene00008053,Non-essential
WBGene00007108,Essential
WBGene00001979,Essential
WBGene00006535,Non-essential
WBGene00004422,Essential
WBGene00010734,Non-essential
WBGene00004985,Non-essential
WBGene00013129,Non-essential
WBGene00006704,Non-essential
WBGene00011985,Non-essential
WBGene00006512,Non-essential
WBGene00006963,Non-essential
WBGene00003373,Non-essential
WBGene00004737,Non-essential
WBGene00018793,Essential
WBGene00004486,Essential
WBGene00018007,Essential
WBGene00018761,Non-essential
WBGene00001235,Essential
WBGene00000235,Essential
WBGene00001838,Non-essential
WBGene00004450,Essential
WBGene00017121,Essential
WBGene00016421,Non-essential
WBGene00006740,Non-essential
WBGene00007927,Essential
WBGene00013998,Non-essential
WBGene00003927,Essential
WBGene00022762,Non-essential
WBGene00009460,Non-essential
WBGene00022794,Non-essential
WBGene00010811,Non-essential
WBGene00006538,Non-essential
WBGene00019883,Non-essential
WBGene00012209,Non-essential
WBGene00012879,Non-essential
WBGene00001051,Essential
WBGene00011814,Essential
WBGene00017534,Non-essential
WBGene00010420,Non-essential
WBGene00008979,Non-essential
WBGene00006474,Non-essential
WBGene00007029,Non-essential
WBGene00013880,Non-essential
WBGene00007237,Non-essential
WBGene00003081,Essential
WBGene00006537,Essential
WBGene00002010,Essential
WBGene00020687,Essential
WBGene00014012,Non-essential
WBGene00018072,Non-essential
WBGene00019380,Essential
WBGene00019510,Non-essential
WBGene00003034,Non-essential
WBGene00012964,Non-essential
WBGene00018740,Non-essential
WBGene00019824,Non-essential
WBGene00019004,Non-essential
WBGene00021377,Non-essential
WBGene00012756,Non-essential
WBGene00004385,Non-essential
WBGene00020796,Essential
WBGene00015842,Non-essential
WBGene00004044,Non-essential
WBGene00005662,Non-essential
WBGene00013029,Essential
WBGene00004241,Non-essential
WBGene00020284,Non-essential
WBGene00016405,Non-essential
WBGene00011032,Non-essential
WBGene00006528,Essential
WBGene00013237,Non-essential
WBGene00003063,Essential
WBGene00012017,Non-essential
WBGene00019971,Non-essential
WBGene00004492,Essential
WBGene00000550,Non-essential
WBGene00010054,Essential
WBGene00016188,Non-essential
WBGene00021655,Non-essential
WBGene00001609,Essential
WBGene00011945,Non-essential
WBGene00009287,Essential
WBGene00006465,Non-essential
WBGene00000063,Essential
WBGene00004472,Essential
WBGene00013074,Non-essential
WBGene00014083,Non-essential
WBGene00006721,Non-essential
WBGene00021391,Non-essential
WBGene00007429,Non-essential
WBGene00015146,Essential
WBGene00015162,Non-essential
WBGene00022739,Essential
WBGene00002073,Essential
WBGene00019993,Non-essential
WBGene00018976,Non-essential
WBGene00015064,Non-essential
WBGene00019893,Non-essential
WBGene00008414,Non-essential
WBGene00001827,Non-essential
WBGene00017442,Non-essential
WBGene00018366,Non-essential
WBGene00013026,Non-essential
WBGene00001431,Non-essential
WBGene00001214,Essential
WBGene00009769,Non-essential
WBGene00013073,Non-essential
WBGene00016740,Essential
WBGene00020423,Essential
WBGene00018412,Non-essential
WBGene00020628,Non-essential
WBGene00012644,Non-essential
WBGene00001037,Non-essential
WBGene00008860,Non-essential
WBGene00009732,Non-essential
WBGene00008140,Non-essential
WBGene00004499,Non-essential
WBGene00016373,Non-essential
WBGene00018612,Non-essential
WBGene00011612,Non-essential
WBGene00000064,Essential
WBGene00000549,Essential
WBGene00006731,Non-essential
WBGene00007001,Non-essential
WBGene00004430,Essential
WBGene00007150,Non-essential
WBGene00000591,Non-essential
WBGene00009505,Non-essential
WBGene00017733,Non-essential
WBGene00011306,Non-essential
WBGene00001834,Essential
WBGene00011451,Non-essential
WBGene00001837,Non-essential
WBGene00021133,Essential
WBGene00001831,Essential
WBGene00015116,Non-essential
WBGene00004467,Essential
WBGene00008877,Non-essential
WBGene00020266,Non-essential
WBGene00016326,Non-essential
WBGene00010560,Essential
WBGene00015310,Non-essential
WBGene00000080,Non-essential
WBGene00009367,Non-essential
WBGene00020683,Essential
WBGene00012556,Essential
WBGene00014120,Non-essential
WBGene00004914,Essential
WBGene00006387,Non-essential
WBGene00004440,Essential
WBGene00004888,Essential
WBGene00003931,Essential
WBGene00003059,Non-essential
WBGene00004490,Essential
WBGene00001029,Non-essential
WBGene00003948,Essential
WBGene00004050,Non-essential
WBGene00016158,Non-essential
WBGene00002060,Non-essential
WBGene00021021,Essential
WBGene00001112,Non-essential
WBGene00004723,Essential
WBGene00019961,Non-essential
WBGene00002214,Non-essential
WBGene00001520,Essential
WBGene00015391,Non-essential
WBGene00008456,Non-essential
WBGene00019658,Non-essential
WBGene00011043,Non-essential
WBGene00001662,Essential
WBGene00016173,Non-essential
WBGene00016192,Non-essential
WBGene00021112,Non-essential
WBGene00003617,Non-essential
WBGene00002007,Non-essential
WBGene00006529,Essential
WBGene00000067,Essential
WBGene00003601,Non-essential
WBGene00010889,Non-essential
WBGene00015104,Non-essential
WBGene00002276,Non-essential
WBGene00001509,Non-essential
WBGene00003898,Non-essential
WBGene00018474,Non-essential
WBGene00003148,Non-essential
WBGene00001595,Essential
WBGene00008218,Non-essential
WBGene00008506,Essential
WBGene00000120,Non-essential
WBGene00017686,Non-essential
WBGene00021292,Essential
WBGene00018175,Non-essential
WBGene00012845,Non-essential
WBGene00004501,Essential
WBGene00000371,Essential
WBGene00011334,Non-essential
WBGene00016395,Non-essential
WBGene00016944,Essential
WBGene00009448,Non-essential
WBGene00019595,Non-essential
WBGene00018076,Non-essential
WBGene00006889,Essential
WBGene00016674,Non-essential
WBGene00001747,Essential
WBGene00009007,Non-essential
WBGene00014015,Non-essential
WBGene00004418,Essential
WBGene00017044,Essential
WBGene00001684,Non-essential
WBGene00017774,Non-essential
WBGene00016194,Non-essential
WBGene00017984,Non-essential
WBGene00004302,Essential
WBGene00000962,Essential
WBGene00020412,Non-essential
WBGene00004195,Non-essential
WBGene00001230,Essential
WBGene00017140,Non-essential
WBGene00004463,Essential
WBGene00011145,Non-essential
WBGene00016803,Non-essential
WBGene00015915,Non-essential
WBGene00009658,Non-essential
WBGene00016808,Non-essential
WBGene00000866,Non-essential
WBGene00012234,Non-essential
WBGene00004931,Non-essential
WBGene00021155,Non-essential
WBGene00011679,Non-essential
WBGene00006388,Non-essential
WBGene00018959,Non-essential
WBGene00008685,Non-essential
WBGene00003798,Non-essential
WBGene00007012,Non-essential
WBGene00003788,Essential
WBGene00001262,Essential
WBGene00003962,Non-essential
WBGene00007686,Essential
WBGene00000833,Essential
WBGene00004454,Essential
WBGene00008316,Non-essential
WBGene00018678,Non-essential
WBGene00006781,Essential
WBGene00009082,Essential
WBGene00000885,Non-essential
WBGene00018846,Essential
WBGene00003618,Non-essential
WBGene00011908,Non-essential
WBGene00003421,Non-essential
WBGene00002249,Non-essential
WBGene00001035,Non-essential
WBGene00008402,Non-essential
WBGene00020383,Essential
WBGene00010349,Non-essential
WBGene00007581,Non-essential
WBGene00020588,Non-essential
WBGene00019362,Non-essential
WBGene00007434,Essential
WBGene00015407,Non-essential
WBGene00017347,Non-essential
WBGene00017319,Essential
WBGene00001647,Essential
WBGene00000797,Non-essential
WBGene00015811,Essential
WBGene00004451,Essential
WBGene00012000,Non-essential
WBGene00012156,Non-essential
WBGene00009692,Non-essential
WBGene00016565,Non-essential
WBGene00000409,Non-essential
WBGene00013196,Non-essential
WBGene00001855,Non-essential
WBGene00007668,Non-essential
WBGene00018659,Non-essential
WBGene00000137,Non-essential
WBGene00008746,Non-essential
WBGene00007350,Non-essential
WBGene00002234,Non-essential
WBGene00016166,Non-essential
WBGene00004480,Essential
WBGene00006530,Non-essential
WBGene00012393,Non-essential
WBGene00008665,Non-essential
WBGene00011268,Non-essential
WBGene00012020,Non-essential
WBGene00004488,Non-essential
WBGene00019087,Non-essential
WBGene00020761,Essential
WBGene00004392,Essential
WBGene00006933,Essential
WBGene00002080,Non-essential
WBGene00001040,Essential
WBGene00019673,Non-essential
WBGene00001498,Essential
WBGene00002004,Non-essential
WBGene00016375,Non-essential
WBGene00009267,Non-essential
WBGene00004258,Non-essential
WBGene00017769,Essential
WBGene00013541,Non-essential
WBGene00002052,Non-essential
WBGene00012830,Non-essential
WBGene00010303,Non-essential
WBGene00006701,Non-essential
WBGene00002008,Essential
WBGene00010364,Non-essential
WBGene00004415,Essential
WBGene00020254,Non-essential
WBGene00000207,Non-essential
WBGene00009563,Non-essential
WBGene00010983,Non-essential
WBGene00016793,Essential
WBGene00012359,Non-essential
WBGene00007623,Non-essential
WBGene00004089,Non-essential
WBGene00017983,Non-essential
WBGene00012652,Non-essential
WBGene00020994,Non-essential
WBGene00012198,Non-essential
WBGene00003133,Non-essential
WBGene00000405,Essential
WBGene00019005,Essential
WBGene00021061,Essential
WBGene00014115,Non-essential
WBGene00001047,Non-essential
WBGene00006467,Non-essential
WBGene00007106,Non-essential
WBGene00004244,Non-essential
WBGene00009064,Non-essential
WBGene00018014,Non-essential
WBGene00004918,Essential
WBGene00000929,Non-essential
WBGene00000155,Non-essential
WBGene00017606,Non-essential
WBGene00011501,Non-essential
WBGene00006807,Non-essential
WBGene00010842,Non-essential
WBGene00022534,Non-essential
WBGene00010582,Non-essential
WBGene00010875,Non-essential
WBGene00006996,Essential
WBGene00016981,Non-essential
WBGene00007236,Non-essential
WBGene00018446,Non-essential
WBGene00019792,Non-essential
WBGene00010465,Non-essential
WBGene00018762,Non-essential
WBGene00012351,Non-essential
WBGene00016583,Essential
WBGene00011807,Non-essential
WBGene00015975,Non-essential
WBGene00001412,Non-essential
WBGene00011747,Essential
WBGene00009552,Non-essential
WBGene00002042,Non-essential
WBGene00000386,Non-essential
WBGene00006793,Non-essential
WBGene00001929,Essential
WBGene00021056,Non-essential
WBGene00000387,Essential
WBGene00000761,Non-essential
WBGene00016392,Non-essential
WBGene00006437,Non-essential
WBGene00007703,Essential
WBGene00001945,Essential
WBGene00008722,Essential
WBGene00010990,Non-essential
WBGene00007980,Non-essential
WBGene00009944,Non-essential
WBGene00007514,Non-essential
WBGene00019082,Non-essential
WBGene00008422,Non-essential
WBGene00018963,Essential
WBGene00010805,Non-essential
WBGene00016145,Non-essential
WBGene00021192,Non-essential
WBGene00019678,Essential
WBGene00020557,Non-essential
WBGene00009671,Essential
WBGene00004386,Non-essential
WBGene00004265,Non-essential
WBGene00008452,Essential
WBGene00011867,Essential
WBGene00007625,Non-essential
WBGene00004465,Essential
WBGene00002225,Essential
WBGene00013709,Essential
WBGene00006730,Non-essential
WBGene00004323,Non-essential
WBGene00020286,Non-essential
WBGene00001746,Essential
WBGene00019608,Essential
WBGene00001686,Non-essential
WBGene00000475,Non-essential
WBGene00010000,Non-essential
WBGene00004106,Non-essential
WBGene00011604,Non-essential
WBGene00017735,Non-essential
WBGene00018853,Non-essential
WBGene00009289,Non-essential
WBGene00020633,Non-essential
WBGene00003395,Essential
WBGene00007603,Non-essential
WBGene00020757,Non-essential
WBGene00012550,Essential
WBGene00008766,Non-essential
WBGene00019079,Non-essential
WBGene00007111,Non-essential
WBGene00011105,Non-essential
WBGene00010044,Essential
WBGene00003149,Non-essential
WBGene00015849,Non-essential
WBGene00011637,Essential
WBGene00012484,Essential
WBGene00020842,Non-essential
WBGene00008415,Non-essential
WBGene00017643,Essential
WBGene00000210,Non-essential
WBGene00011638,Essential
WBGene00012375,Non-essential
WBGene00008354,Non-essential
WBGene00009993,Non-essential
WBGene00017259,Non-essential
WBGene00003829,Essential
WBGene00019898,Non-essential
WBGene00008641,Non-essential
WBGene00001661,Essential
WBGene00015927,Essential
WBGene00019590,Non-essential
WBGene00010941,Essential
WBGene00010263,Non-essential
WBGene00016112,Non-essential
WBGene00010882,Non-essential
WBGene00003920,Essential
WBGene00012037,Non-essential
WBGene00001527,Non-essential
WBGene00006518,Non-essential
WBGene00016245,Essential
WBGene00002601,Non-essential
WBGene00017986,Non-essential
WBGene00022737,Non-essential
WBGene00003953,Essential
WBGene00007698,Non-essential
WBGene00007099,Non-essential
WBGene00000887,Non-essential
WBGene00012361,Non-essential
WBGene00007813,Non-essential
WBGene00018016,Essential
WBGene00007130,Non-essential
WBGene00019828,Non-essential
WBGene00019490,Non-essential
WBGene00003925,Essential
WBGene00001041,Non-essential
WBGene00003576,Non-essential
WBGene00022598,Non-essential
WBGene00001580,Essential
WBGene00000476,Non-essential
WBGene00018806,Non-essential
WBGene00014078,Non-essential
WBGene00020601,Non-essential
WBGene00015233,Non-essential
WBGene00017742,Non-essential
WBGene00001005,Essential
WBGene00008441,Non-essential
WBGene00000937,Non-essential
WBGene00008683,Essential
WBGene00004684,Non-essential
WBGene00009010,Non-essential
WBGene00003923,Non-essential
WBGene00011615,Non-essential
WBGene00007912,Non-essential
WBGene00017423,Non-essential
WBGene00009286,Non-essential
WBGene00012193,Non-essential
WBGene00001368,Non-essential
WBGene00011729,Essential
WBGene00012188,Non-essential
WBGene00002045,Essential
WBGene00007528,Non-essential
WBGene00009834,Non-essential
WBGene00017928,Non-essential
WBGene00007965,Essential
WBGene00008764,Non-essential
WBGene00013025,Essential
WBGene00001878,Essential
WBGene00011892,Non-essential
WBGene00015091,Essential
WBGene00004754,Essential
WBGene00017690,Non-essential
WBGene00001499,Non-essential
WBGene00005078,Non-essential
WBGene00001168,Non-essential
WBGene00012385,Non-essential
WBGene00007217,Essential
WBGene00010708,Non-essential
WBGene00014081,Non-essential
WBGene00000798,Non-essential
WBGene00021046,Non-essential
WBGene00017195,Non-essential
WBGene00020441,Essential
WBGene00020392,Essential
WBGene00001918,Essential
WBGene00013225,Non-essential
WBGene00013958,Non-essential
WBGene00004756,Essential
WBGene00002335,Non-essential
WBGene00007396,Non-essential
WBGene00014177,Non-essential
WBGene00009739,Essential
WBGene00018961,Essential
WBGene00009054,Non-essential
WBGene00017268,Essential
WBGene00004481,Essential
WBGene00002226,Essential
WBGene00004447,Essential
WBGene00010409,Non-essential
WBGene00008151,Non-essential
WBGene00004482,Essential
WBGene00019162,Essential
WBGene00000248,Non-essential
WBGene00006944,Non-essential
WBGene00000298,Non-essential
WBGene00007059,Non-essential
WBGene00004825,Non-essential
WBGene00010089,Non-essential
WBGene00017217,Non-essential
WBGene00019002,Non-essential
WBGene00004470,Essential
WBGene00006491,Non-essential
WBGene00021040,Non-essential
WBGene00003410,Non-essential
WBGene00014124,Non-essential
WBGene00018964,Non-essential
WBGene00018847,Non-essential
WBGene00015143,Non-essential
WBGene00018146,Non-essential
WBGene00018357,Non-essential
WBGene00001685,Non-essential
WBGene00022862,Non-essential
WBGene00003559,Non-essential
WBGene00013544,Non-essential
WBGene00012031,Non-essential
WBGene00020604,Essential
WBGene00015746,Non-essential
WBGene00001058,Non-essential
WBGene00002879,Essential
WBGene00003951,Essential
WBGene00008371,Non-essential
WBGene00011926,Non-essential
WBGene00012040,Non-essential
