MCODE App Results
Date: Aug 14, 2024, 4:02:08 AM

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
11	8	8	28	PNLIPRP1, PNLIP, PNPLA3, CEL, LIPF, PNPLA2, LIPG, PNLIPRP3
12	7.714	8	27	DLD, PDK3, PDK1, DLAT, PDHA1, PDHB, PDHX, PDK2
13	7.397	64	233	V9GYH0_HUMAN, BMP2, HOXA7, CCRL2, ADRB2, AHSP, HOXB4, CANX, CCL7, DNAJB11, SMAD6, EPO, STAT5A, ACVR2B, BMPR2, CXCL17, ARRB2, HOXB6, CCL25, SPRY1, HBEGF, HBG1, CCL20, CCT8, TCP1, ACVR2A, CCL27, HOXC6, CX3CL1, HBG2, HOXD4, HBQ1, HBD, HBZ, BMPR1A, CCL3, HOXA5, DNAAF2, SMAD5, CCL24, HBE1, DVL2, HOXA6, HOXB5, PTGES3, XCR1, HOXB7, HGS, HSPB8, SMAD1, CLTCL1, BMPR1B, NEDD4L, CYB5R3, HOXC4, HBM, HBB, CCL4L2, ACKR2, HOXC5, EREG, CHRM2, CCR4, CCL19
14	6.933	16	52	APH1A, PSENEN, KCNIP4, DPP6, PSEN1, GSAP, KCNIP3, KCNIP1, PSEN2, KCND3, KCNIP2, KCND1, APH1B, NCSTN, KCNAB2, KCND2
15	6.431	131	418	SSTR3, KDR, MYBBP1A, BBS5, TTC8, STAT5B, BBS7, SMAD3, TGFBR2, MTA1, EHMT2, CDCA5, PEX10, TFDP1, AMFR, TNFRSF13C, BBIP1, LMAN2L, PEX5, GATA1, NDC80, KLK8, HNRNPH1, MAPK8, HGF, SPDL1, COL4A5, LYL1, PARK7, TFDP2, MIS12, DSN1, ENY2, DERL1, PEX2, IRS2, OS9, E2F5, BBS4, ORC4, RNF5, PMF1, PEX14, ZFPM1, SKA3, TIAL1, TAL1, TRAF3, HSP90B1, TMED10, MAU2, TGFBR1, MYB, LMO1, TNFRSF1B, PLAT, CTSB, JAK3, ZWINT, MCM10, CD40, PDGFRB, PCID2, GATA2, LTBR, SKA1, BBS2, PEX12, NSL1, MCM3AP, HNRNPA1, RBFOX2, BRCA1, TCF3, MYD88, NUF2, PDS5A, TNFSF13B, RELA, BUB1, HNRNPF, ARL6, PEX13, BBS1, SPC24, BOD1L2, BECN1, ERBB2, ATG14, BOD1, CETN3, SERPINB6, BOD1L1, VTN, SKA2, TOPBP1, SERPINA1, WRN, BBS9, NIPBL, CD40LG, SERPINE1, SPC25, CASP1, CSTA, CENPF, SEL1L, LDB1, LMO2, UFD1, SGF29, TRAF5, PTPN6, SMAD2, PDS5B, MTA2, ESRP1, RBL1, NELFB, WAPL, SRSF1, DDX21, TRIM25, SMAD9, SP1, NELFA, TCF12, MAD1L1, SERPINA5, PRKN, CARD16
16	6	6	15	DHRS11, HSD17B8, HSD17B7, HSD17B6, HSD17B2, HSD17B1
17	5	5	10	ATP5MC2, ATP5MC1, LIM2, CNST, ATP5MC3
18	5	5	10	CALML6, CALML4, CALML3, CALML5, CALM3
19	5	11	25	CSNK1E, CEP89, DVL3, CEP83, NIN, CSNK1D, NOXA1, SCLT1, CEP164, FBF1, DVL1
20	5	5	10	GPT2, GOT1L1, GOT1, GOT2, GPT
21	4.914	106	258	SPTAN1, B2M, ADM, COL4A4, NODAL, CD63, RHOA, RGMB, CTBP2, BDNF, UBE2D1, LIN9, SLC17A8, OTOL1, TJP2, PLA2G12A, SIAH2, CALCRL, SRI, DNAJA1, MAPT, DNAJA4, PMCH, SUMO2, COL4A6, PLA2G2A, NEO1, PSMA1, NTRK2, DCC, SMARCC1, ACVR1B, RDX, PLA2G2F, BSN, PCLO, LIN54, SDCBP, NTRK3, ARHGDIA, CRKL, CAV3, CD9, PLA2G1B, RAMP2, CTF1, OTUB1, TRIM28, OSM, ACVR1C, RAMP1, CDKN2A, NMU, COL4A3, UBE2D2, FOXO3, OSMR, LEFTY2, CD81, PLA2G10, NTN1, GRM1, LEFTY1, RGMA, SYP, CFC1, COL4A1, PRKACB, LILRB4, ANXA1, FOXO1, NMS, RNF4, OTOF, MECP2, BRD4, CD19, MYC, PRKACA, DNAJA2, TDGF1, PLA2G3, PSMB3, LIN52, PRKACG, GDF5, LILRB2, NTF3, UBE2D3, KNG1, PSMD4, IGF1R, CALCA, CALCR, RAMP3, PDGFA, CCL23, PLA2G2E, IAPP, EPB41L3, PSMA6, PLA2G5, TWF1, AGT, GPR156, PLA2G2D
22	4.857	8	17	ISL2, LHX3, ISL1, LHX9, SSBP3, LMO3, LHX2, SSBP4
23	4.8	6	12	NMNAT1, ENPP2, NMNAT2, NUDT12, ENPP1, ENPP3
24	4.636	45	102	IL7R, ATG12, TUBB4B, ELOVL6, TUBB, SCD5, HACD1, ATG5, RNF139, SYVN1, TECR, FGL2, FADS1, PLEC, TSPAN33, TUBA1C, SCARB2, BAK1, CD4, HSD17B12, HACD3, CFTR, FGL1, VCP, GET4, C8A, SNCA, KLRC1, ATG3, SGTA, COL1A2, COL1A1, HAUS6, ELANE, HACD2, HACD4, BAX, ELOVL2, SERPINF2, BAG6, HSPB1, TLR4, HM13, HSPD1, SCD
25	4.545	23	50	CEP135, PLK4, INVS, NEK7, NPHP4, EPB41, CEP192, SASS6, STIL, CENPJ, CA2, NEK6, CEP152, CA7, CA3, CEP85, CEP290, SLC4A1, CA1, NPHP1, NEK9, RPGRIP1L, CA13
26	4.526	20	43	LGALS9C, DNAJC11, NECTIN1, LGALS9B, APOOL, CHCHD3, CD276, SAMM50, TNFRSF9, TNFRSF14, TIGIT, TNFSF4, IMMT, PVR, TNFRSF4, CD226, NECTIN3, NECTIN2, ACKR1, GCGR
27	4.5	5	9	MAB21L1, MEIS1, MEIS2, PBX2, FAM222A
28	4.391	47	101	CFB, MAG, RAB8A, HSP90AA1, SHANK2, SERPING1, C4B, PRKDC, PRNP, EWSR1, PPP1CC, PPP1CA, CDC5L, MYOM2, PPP2R2B, NCBP2, C2, RBM22, DDX5, PPP2R2A, CHM, GRM5, MUC1, TARDBP, DDX17, C4A, NLGN1, SNRPF, TFIP11, C1R, DHX15, C1S, LINGO1, RABGGTB, RABGGTA, RTN4, PPP2R2D, SDE2, CD55, SNRPD3, PPP4R1, TSG101, CHML, RAB5A, OMG, PPP2R2C, PPP1CB
29	4.381	22	46	AKTIP, HOOK1, ANLN, HOOK2, SEPTIN7, RHOC, SEPTIN6, AKT1, CARMIL1, RAC3, PDLIM1, PDLIM7, FAM160A2, IQGAP1, DIAPH3, SEPTIN9, HOOK3, RHOQ, RHOB, SEPTIN11, DPYSL3, SEPTIN8
30	4.333	37	78	BRCA2, HNRNPC, ATXN3, PCBP1, RUNX2, AHR, NIPSNAP2, ARNT2, DNAJB6, PARP1, ATXN3L, CDKN1A, SMAD7, PCBP2, STIP1, PRKCA, MAP1LC3A, DDX58, AHRR, ENSP00000490530, NIPSNAP1, HMGA2, SRSF11, MCM5, ARNTL2, STUB1, CDC45, CLSPN, NOD2, ARNT, CALCOCO2, CTNNB1, ARNTL, HNRNPK, AHRR-2, CDT1, NBR1
31	4.25	9	17	GDF9, BMP15, INHA, FST, INHBE, INHBB, INHBC, IGF1, INHBA
32	4.222	10	19	CD300C, ATG16L1, ATG7, MAP1LC3B, ATG4D, BNIP3, WDFY3, ATG4C, FUNDC1, BNIP3L
33	4.133	16	31	MUC2, CYP1A2, CYP3A4, BTN3A1, MUC5AC, MUC6, CLEC10A, MUC5B, GAPDH, AGR2, POR, BTN3A2, CYB5B, CYP2E1, XDH, BTN3A3
34	4.125	49	99	GDF2, IL6, E2F1, IL6R, WWTR1, IRS1, CNTFR, LIF, PRKCD, CCNB2, IL27, HOMER1, RB1, CDK3, GJA3, IL11, CHRM1, MDFI, IL12A, F2R, IL27RA, TP73, NGF, IL11RA, ASPH, ENG, CRLF1, BMP10, GJC1, LPAR6, IL6ST, GJD3, CAV1, GJA8, GMNN, YAP1, TRPV1, CKS2, CDC6, FKBP1B, TRPV4, GJB4, ACVR1, GJA5, GJB2, BMP4, RYR1, LPAR4, CLCF1
35	4	4	6	COL25A1, COL23A1, COL13A1, COL17A1
36	4	4	6	BLOC1S4, BLOC1S6, DTNBP1, BLOC1S3
37	4	4	6	RBM15, WTAP, METTL14, METTL3
38	4	4	6	FKBP1A, FABP5, ENO3, TAGLN
39	4	5	8	CD274, LGALS9, LAG3, BTLA, PDCD1
40	4	4	6	SLC16A3, SLC16A7, EMB, SLC16A8
41	4	4	6	TARS3, TARS1, EIF4E, TARS2
42	4	4	6	IFT122, TULP3, IFT140, WDR19
43	3.697	34	61	FHL2, HMMR, SERP1, STAB2, CYCS, SFN, GJA1, GET3, GET1, A2M, CP, KCNJ8, HYAL2, ALDH3A2, ABCC9, CYB5A, PLN, KCNA6, KCNB1, ALB, HPX, KCNA2, YWHAQ, CASP9, DAB2, CHP1, KCNAB3, KCNA4, CAMLG, LRP2, KCNAB1, ABCC8, BSG, ATP1B1
44	3.6	6	9	LHX6, IDI2, SSBP2, LMO4, LHX4, LMX1B
45	3.5	5	7	DLG4, CNTNAP2, ADAM22, DLG2, SIPA1L1
46	3.4	11	17	JAG2, JAG1, NFATC2, LEF1, DLL1, MEF2B, SMAD4, MEF2A, MYF6, TCF4, DLL4
47	3.333	4	5	SH3KBP1, VPS37B, MVB12A, VPS28
48	3.333	4	5	ITPR3, ITPR1, ERN1, VDAC1
49	3.333	4	5	WDR45, ATG2B, TALDO1, ATG2A
50	3.333	7	10	AOC2, MAOA, AOC3, ALDH1A3, ALDH1A2, MAOB, AOX1
51	3.111	10	14	IFNA4, IFNA1, IGF2, IFNA6, IFNA5, LIFR, LEP, SPP1, IFNA14, CNTF
52	3	3	3	HAO2, HAO1, CAT
53	3	9	12	LOC102723996, CAMP, ICOSLG, PDCD1LG2, HAVCR2, HMGB1, TNFRSF13B, PRTN3, CTSG
54	3	3	3	CACNB3, PDE4D, CACNB1
55	3	3	3	CASP6, CAPNS2, CAPNS1
56	3	5	6	ADD2, CAPG, ANK2, ANK3, MTPN
57	3	3	3	SSTR5, SSTR1, SSTR4
58	3	3	3	SNRPN, SNRPC, PRPF3
59	3	3	3	ADD3, ADD1, ANK1
60	3	3	3	SDF4, LYZL1, LYZ
61	3	3	3	UCN3, UCN2, CRHR2
62	3	3	3	HTR1A, HTR2A, HTR1B
63	3	3	3	NPY, GAL, SST
64	3	3	3	CNOT10, BTG2, CNOT3
65	3	3	3	CD1C, CD1B, CD1A
66	3	3	3	CRHBP, CRH, UCN
67	3	3	3	RIMBP3C, RIMBP3, RIMBP3B
68	3	3	3	ADIPOQ, ADIPOR2, APPL1
69	3	3	3	MUC13, MUC12, MUC15
70	3	3	3	KNTC1, ZWILCH, ZW10
71	3	3	3	SNX27, SNX1, SNX6
72	3	3	3	NDUFAF1, NDUFB5, ECSIT
73	3	3	3	C16orf71, PKNOX2, PBX3
74	3	3	3	LAMP3, LAMP1, CD68
75	3	3	3	CPT1C, CPT1B, CPT1A
76	3	3	3	EDARADD, EDAR, EDA
77	3	3	3	GRAMD1B, GRAMD2B, GRAMD1C
78	2.8	21	28	CIDEA, CD5, LGALS1, CA9, CTSS, CA12, CD2, S100Z, ALCAM, AHSG, S100P, BTN2A2, S100B, CD6, MFGE8, CTSL, FAM20C, CA14, CST3, CA4, BTN2A1
79	2.769	14	18	ESRRB, ID2, TEAD4, GATA4, NANOG, NKX2-5, MYOD1, SOD1, PRDM1, ID4, TCF7, YWHAE, TBX5, HSP90AB1
80	2.545	12	14	ANP32A, SREBF2, CDK5, H1-1, S100A4, S100A1, SET, NFYB, CCNL2, NFYA, MDM2, TNFSF13
