"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets","struct_score"
"341","PERP","Q96FX8",2,439,4,0.129,0.705,1,82.3515537848606
"234","FOXM1","Q08050",2,321,4,0.173,0.701,1,51.0762881727687
"357","CRB3","Q9BUF7",13,0,1,0.297,0.7,1,70.3484105960265
"100","CCNB1","P14635",2,15642,14,0.078,0.699,1,77.7724150162578
"31","CSPG5","O95196",2,0,1,0.081,0.686,1,52.8866974869606
"255","NCAPH","Q15003",23,0,1,0.198,0.683,1,60.7197876747799
"295","SKA3","Q8IX90",2,1434,3,0.354,0.683,1,64.7586888273315
"383","RAB6B","Q9NRW1",2,0,1,0.239,0.683,1,86.024744835966
"181","COMP","P49747",2,0,1,0.18,0.681,2,88.5665641202904
"408","USP18","Q9UMW8",2,0,1,0.065,0.678,1,84.0559308510638
"259","TRIP13","Q15645",2,321,2,0.249,0.677,2,86.9794004094765
"298","ASPM","Q8IZT6",2,470,3,0.448,0.675,3,63.9280011713521
"351","PKMYT1","Q99640",2,1016,4,0.142,0.674,1,75.590281030445
"306","ASPM","Q8IZT6",2,470,3,0.197,0.67,3,66.2575664052618
"256","DLGAP5","Q15398",2,640,2,0.128,0.669,1,56.3710199490026
"332","RAD54L","Q92698",2,0,1,0.171,0.669,1,80.5122278481013
"34","KIF4A","O95239",2,1080,2,0.244,0.668,3,72.1712231759657
"396","CHD7","Q9P2D1",2,0,1,0.141,0.668,1,74.055763275304
"162","CAPG","P40121",2,321,2,0.313,0.665,1,86.7052873986735
"105","FOLR1","P15328",2,0,1,0.09,0.662,1,91.1136580706781
"129","COX5A","P20674",2,3461,7,0.376,0.66,1,88.1096183206107
"159","MCM4","P33991",2,1094,4,0.217,0.658,3,73.7432969464523
"185","NEK2","P51955",2,0,2,0.136,0.658,2,78.7481933351694
"407","TPX2","Q9ULW0",2,321,2,0.402,0.656,1,64.2385140295534
"355","NCAPG","Q9BPX3",23,0,1,0.163,0.655,1,82.5022967581047
"53","HLA-DRA","P01903",2,945,2,0.277,0.653,1,89.585865479723
"275","RNF43","Q68DV7",20,0,1,0.124,0.651,1,54.6022126389119
"362","PARD6B","Q9BYG5",13,1,2,0.345,0.647,1,71.2440158566012
"189","AQP5","P55064",2,0,1,0.392,0.643,1,93.5050600600601
"235","DMTN","Q08495",2,0,1,0.221,0.641,1,64.6346295717412
"289","CDR2L","Q86X02",2,0,1,0.434,0.641,2,74.2011666666667
"231","RAD51","Q06609",2,912,5,0.282,0.64,1,91.5906682116647
"111","DSP","P15924",2,0,1,0.4,0.639,1,76.9987516176344
"220","CLDN10","P78369",2,2044,7,0.4,0.636,1,79.6963308095515
"195","EPPK1","P58107",2,949,2,0.182,0.634,2,80.5469190528634
"84","MYBL2","P10244",2,0,1,0.066,0.633,1,58.4505143475907
"140","CD24","P25063",2,0,1,0.228,0.632,1,63.8901060070671
"15","CLDN3","O15551",2,316,4,0.271,0.631,1,81.4275857843137
"155","L1CAM","P32004",2,962,4,0.068,0.631,1,79.3527939240506
"46","PLAU","P00749",18,0,1,0.414,0.626,1,82.3034746760895
"94","CCL4","P13236",2,1276,3,0.27,0.626,1,88.9764185393258
"230","KRT17","Q04695",2,160,2,0.276,0.626,1,79.6090828138914
"363","NUF2","Q9BZD4",2,0,1,0.317,0.622,2,89.4283280839895
"271","CRB2","Q5IJ48",2,0,2,0.11,0.62,1,77.5833023603546
"57","C1QC","P02747",2,0,1,0.29,0.619,1,81.1674174008811
"335","MAL2","Q969L2",2,0,1,0.336,0.619,1,84.150243902439
"36","SLC34A2","O95436",2,0,1,0.04,0.616,3,72.9698965387509
"138","CCND1","P24385",2,1570,4,0.313,0.616,2,88.5515780518928
"320","CKAP2","Q8WWK9",10,0,1,0.332,0.615,2,59.5370678783383
"343","CENPN","Q96H22",2,0,1,0.3,0.612,1,86.2099712952996
"153","IL2RG","P31785",2,0,2,0.234,0.609,1,76.8157961783439
"60","CD74","P04233",2,641,3,0.198,0.605,1,70.6713779863481
"278","ESRP1","Q6NXG1",15,0,1,0.187,0.604,1,78.0681606168892
"287","IQGAP3","Q86VI3",2,0,1,0.181,0.604,2,79.626746793641
"226","DSC2","Q02487",2,250,2,0.275,0.6,1,76.5627940128297
"403","APOBEC3B","Q9UH17",2,0,1,0.283,0.593,1,88.3310271437384
"147","OAS2","P29728",10,2,3,0.27,0.588,1,87.7412699776594
"217","CXCR4","P61073",2,0,1,0.122,0.585,1,82.8083891660727
"285","NRARP","Q7Z6K4",2,0,1,0.142,0.584,1,82.9288041002278
"367","RACGAP1","Q9H0H5",2,634,5,0.133,0.584,2,69.8631812700965
"368","BCL11A","Q9H165",2,0,1,0.176,0.584,3,52.4647473008919
"114","DSP","P15924",2,0,1,0.224,0.581,1,80.1721034363068
"265","CA9","Q16790",7,0,1,0.253,0.58,2,76.9837717546362
"1","HLA-DRA","A0A0G2JMH6",2,945,2,0.196,0.578,1,89.9354104846687
"89","FCGR1A","P12314",2,0,1,0.35,0.568,2,84.9618617021277
"76","MRPL3","P09001",21,0,1,0.309,0.566,1,87.3616685001834
"192","CLDN6","P56747",2,248,6,0.114,0.566,1,80.7301104294478
"309","MARVELD2","Q8N4S9",2,1275,4,0.305,0.564,1,67.2056255526083
"257","RPS6KA1","Q15418",2,826,3,0.06,0.562,3,77.4625317324185
"352","KIF2C","Q99661",2,855,4,0.07,0.558,2,74.6576222300387
"59","TK1","P04183",2,316,3,0.284,0.554,2,82.3099831460674
"264","UBE2S","Q16763",2,20387,9,0.168,0.552,1,81.850285884455
"143","HLA-DMB","P28068",2,0,1,0.451,0.541,1,89.0459577603143
"347","CITED4","Q96RK1",9,1,2,0.279,0.537,1,61.0645731707317
"375","ECT2","Q9H8V3",2,0,3,0.116,0.537,1,71.662188876652
"52","IGKV2D-28","P01615",2,2371,8,0.087,0.535,1,90.5837073707371
"318","THEM6","Q8WUY1",30,0,1,0.187,0.534,1,94.9329089827484
"10","NDC80","O14777",2,2233,4,0.161,0.532,2,78.6095798805165
"290","LSR","Q86X29",2,0,2,0.029,0.531,2,57.3279613776628
"66","KRT18","P05783",2,2520,5,0.125,0.53,1,80.2997508896797
"210","EPPK1","P58107",2,949,2,0.206,0.53,2,83.0886545454545
"64","TYMS","P04818",2,0,2,0.38,0.529,1,94.1360612082671
"173","CENPF","P49454",2,768,3,0.399,0.524,2,72.4119894505495
"353","RBBP8","Q99708",2,321,3,0.355,0.524,1,53.5079089635854
"150","TM4SF1","P30408",2,0,1,0.246,0.523,1,81.2796222664016
"180","MCM2","P49736",2,0,2,0.139,0.522,3,76.522590572108
"223","CDK5","Q00535",2,0,2,0.253,0.522,1,91.4416410912191
"142","S100A4","P26447",2,621,2,0.313,0.516,1,85.1867277167277
"384","CENPM","Q9NSP4",2,0,1,0.181,0.514,1,89.7646820809249
"388","DTL","Q9NZJ0",2,0,1,0.101,0.511,2,63.439316223977
"45","PNP","P00491",25,0,1,0.189,0.507,1,94.0517988480284
"146","PTPN6","P29350",2,4961,4,0.243,0.507,1,86.4121643202353
"299","ASPM","Q8IZT6",2,470,3,0.281,0.507,2,68.9559601294939
"321","MUC16","Q8WXI7",2,321,2,0.129,0.507,3,61.6742145922747
"116","ITGB4","P16144",2,960,4,0.154,0.505,1,69.9773278781038
"44","PTTG1","O95997",2,0,4,0.339,0.504,1,64.5439896707553
"113","DSP","P15924",2,0,1,0.58,0.504,2,77.4571179302046
"164","CDKN2A","P42771",2,0,2,0.396,0.503,2,75.5943706896552
"401","LPAR3","Q9UBY5",2,0,1,0.018,0.503,1,81.8925825932504
"132","ERBB3","P21860",2,3078,6,0.108,0.502,1,72.8253734800232
"190","CDH6","P55285",2,4752,2,0.178,0.502,1,78.7635931222883
"202","EPPK1","P58107",2,949,2,0.114,0.501,1,79.2517849639171
"79","CXCL1","P09341",2,959,5,0.207,0.499,1,82.2711421319797
"334","EVPL","Q92817",2,0,1,0.174,0.499,1,73.1754180499201
"225","KIF23","Q02241",2,1639,4,0.314,0.498,1,73.073534214619
"376","RHOF","Q9HBH0",2,3427,3,0.216,0.497,1,92.2032789855072
"201","EPPK1","P58107",2,949,2,0.112,0.491,2,82.3916662015071
"90","ANXA3","P12429",2,0,1,0.484,0.487,1,96.3413213448006
"176","CENPF","P49454",2,768,3,0.437,0.484,2,70.995527633697
"269","CDCA8","Q53HL2",2,641,5,0.388,0.483,1,68.7891859936335
"405","LEF1","Q9UJU2",2,657,4,0.14,0.477,1,57.8391961414791
"69","CDK1","P06493",2,8984,11,0.514,0.471,1,89.3155051975052
"6","NDUFS8","O00217",2,0,1,0.547,0.47,1,89.1910072376357
"319","DEPDC1B","Q8WUY9",2,0,1,0.107,0.469,1,77.3635097813579
"205","EPPK1","P58107",2,949,2,0.303,0.465,1,81.4640277389928
"212","EPPK1","P58107",2,949,2,0.325,0.465,1,80.0846162351424
"208","EPPK1","P58107",2,949,2,0.164,0.464,1,78.6968298068077
"329","MUC16","Q8WXI7",2,321,2,0.089,0.463,1,74.6556522545927
"379","SPON1","Q9HCB6",4,0,1,0.074,0.461,1,77.4239362876518
"371","FAM83D","Q9H4H8",2,0,2,0.14,0.459,1,64.4271687279152
"49","OAS1","P00973",10,0,2,0.31,0.455,1,84.2137788728057
"386","CLIC5","Q9NZA1",2,0,1,0.184,0.454,1,68.2100824679291
"179","CEBPA","P49715",2,960,4,0.467,0.453,1,63.6736830188679
"135","S100A1","P23297",2,321,2,0.469,0.452,2,82.7868783783784
"178","CENPF","P49454",2,768,3,0.416,0.452,1,70.5056078431373
"35","NDUFC2","O95298",2,318,2,0.321,0.45,2,90.9661791044776
"266","DOK7","Q18PE1",2,0,1,0.15,0.45,1,66.4231492897347
"204","EPPK1","P58107",2,949,2,0.164,0.448,1,81.3117876073844
"272","DEPDC1","Q5TB30",2,0,1,0.111,0.445,1,61.0503570881226
"125","PI3","P19957",2,321,2,0.417,0.443,1,71.7690610328638
"284","MYH14","Q7Z406",2,0,1,0.245,0.442,1,74.6509746345121
"218","PPP1CA","P62136",2,934,5,0.206,0.44,1,91.5526896813354
"291","KIF18B","Q86Y91",2,0,3,0.2,0.437,1,62.7438713629403
"97","CCL5","P13501",2,6784,5,0.141,0.432,1,89.3350500715308
"406","MYO5B","Q9ULV0",22,0,1,0.304,0.432,1,75.5039842865703
"11","AURKA","O14965",2,0,5,0.139,0.431,1,75.9057868649318
"4","SMKR1","H3BMG3",2,0,1,0.229,0.43,1,70.6435470941884
"262","STXBP2","Q15833",2,321,2,0.122,0.43,1,90.5337283051211
"203","EPPK1","P58107",2,949,2,0.32,0.425,1,79.7166317818783
"216","CKS1B","P61024",2,1862,3,0.172,0.423,1,92.1724926686217
"251","PLS1","Q14651",2,0,1,0.067,0.423,1,87.84443273906
"242","TUBB3","Q13509",2,0,1,0.202,0.422,1,91.4775007068137
"99","MIF","P14174",2,640,3,0.417,0.418,1,98.5943085714286
"70","C2","P06681",6,0,1,0.079,0.417,1,88.4958757062147
"198","EPPK1","P58107",2,949,2,0.175,0.414,2,81.0833869468204
"62","GAPDH","P04406",2,3136,3,0.345,0.413,1,98.1707061143984
"263","CDKN3","Q16667",2,0,1,0.472,0.413,1,91.0594891826923
"416","OAS3","Q9Y6K5",10,0,2,0.107,0.413,2,86.8156041251611
"191","TPD52","P55327",2,321,4,0.35,0.412,1,68.1763684210526
"227","RASSF7","Q02833",2,0,1,0.307,0.409,1,74.5704462691896
"221","CCL20","P78556",2,321,2,0.403,0.405,1,89.3848865153538
"17","BUB1","O43683",2,641,3,0.138,0.403,1,64.124272589836
"325","MUC16","Q8WXI7",2,321,2,0.196,0.403,1,73.854410041841
"279","MRPL14","Q6P1L8",21,0,1,0.335,0.4,1,86.2202680965147
"415","TACC3","Q9Y6A5",2,0,1,0.259,0.4,1,58.3400047378395
"55","HLA-DRB1","P01911",2,0,2,0.309,0.398,0,89.1249692089057
"350","SORT1","Q99523",2,321,4,0.176,0.394,0,83.496135101789
"260","OASL","Q15646",2,0,1,0.34,0.392,0,92.2869968892079
"194","EPPK1","P58107",2,949,2,0.229,0.391,0,80.8731772140136
"96","CCL2","P13500",2,1585,3,0.274,0.389,0,87.5629350649351
"151","SLC7A1","P30825",2,321,2,0.129,0.387,0,81.6264296233958
"268","CEP55","Q53EZ4",2,321,3,0.284,0.386,0,82.7930478192328
"177","CENPF","P49454",2,768,3,0.219,0.384,0,70.8340929025329
"366","KRT23","Q9C075",2,634,3,0.182,0.382,0,78.4309623926562
"77","MMP7","P09237",2,640,3,0.296,0.381,0,87.5878133971292
"54","HLA-DQA1","P01909",2,321,3,0.385,0.38,0,88.7141500765697
"152","RRM2","P31350",2,0,1,0.276,0.377,0,80.1260056925996
"340","CDCA5","Q96FF9",2,0,1,0.258,0.376,0,63.5050515995872
"237","KIF1A","Q12756",2,1410,6,0.106,0.373,0,71.0182512847248
"311","SPC24","Q8NBT2",2,0,1,0.345,0.372,0,91.3933649588868
"206","EPPK1","P58107",2,949,2,0.118,0.37,0,82.671392666229
"19","TYROBP","O43914",2,0,1,0.285,0.361,0,64.5492966002345
"8","CLDN4","O14493",2,0,4,0.511,0.36,0,84.5215399610136
"236","CD47","Q08722",2,6884,5,0.24,0.36,0,86.5745961227787
"250","GRB7","Q14451",2,0,1,0.214,0.36,0,78.8887791527844
"304","ASPM","Q8IZT6",2,470,3,0.161,0.36,0,63.085167830403
"302","ASPM","Q8IZT6",2,470,3,0.271,0.359,0,70.4000076936228
"137","COX7B","P24311",2,323,4,0.404,0.355,0,90.2763777089783
"270","CENPW","Q5EE01",2,0,1,0.31,0.353,0,89.6991914893617
"292","MISP","Q8IVT2",2,347,2,0.227,0.353,0,54.6958236179015
"359","KIFC1","Q9BW19",2,577,3,0.202,0.353,0,77.8832572975063
"246","RUNX3","Q13761",2,972,3,0.403,0.35,0,62.2155708787684
"358","VAMP8","Q9BV40",2,957,4,0.286,0.35,0,90.4586815920398
"141","CTSS","P25774",2,0,1,0.287,0.348,0,94.5417363221885
"385","ASF1B","Q9NVP2",2,0,1,0.391,0.346,0,85.6471954314721
"322","MUC16","Q8WXI7",2,321,2,0.102,0.344,0,76.3068718298868
"73","FCGR3A","P08637",2,699,2,0.351,0.341,0,85.6387159533074
"51","JCHAIN","P01591",2,0,1,0.32,0.338,0,87.0708458498024
"109","DSP","P15924",2,0,1,0.165,0.337,0,77.4238286211396
"50","SERPINA1","P01009",2,1439,5,0.431,0.336,0,89.0052049802612
"175","CENPF","P49454",2,768,3,0.173,0.336,0,71.950278588485
"211","EPPK1","P58107",2,949,2,0.491,0.336,0,81.5679687645254
"124","TNNI3","P19429",2,481,3,0.175,0.334,0,78.1710985748219
"209","EPPK1","P58107",2,949,2,0.203,0.333,0,82.9678756035217
"207","EPPK1","P58107",2,949,2,0.151,0.33,0,82.028489201965
"267","HLA-DRB5","Q30154",2,3,3,0.385,0.33,0,88.2778386031147
"22","SDC3","O75056",2,0,1,0.322,0.329,0,53.0157990012484
"91","CKMT1A","P12532",11,0,1,0.049,0.325,0,90.0594288304624
"92","CKMT1B","P12532",11,0,1,0.049,0.325,0,90.0594288304624
"32","ZWINT","O95229",2,0,1,0.268,0.32,0,79.4582673942701
"38","CLDN9","O95484",2,191,6,0.387,0.32,0,81.1808573216521
"196","EPPK1","P58107",2,949,2,0.246,0.315,0,79.7224021252796
"389","CHD7","Q9P2D1",2,0,1,0.065,0.308,0,70.1700842031401
"326","MUC16","Q8WXI7",2,321,2,0.065,0.305,0,75.3993635103926
"345","NOL4L","Q96MY1",2,0,1,0.262,0.302,0,62.4597637079673
"30","REC8","O95072",2,160,3,0.349,0.297,0,64.693306122449
"224","E2F1","Q01094",2,1297,5,0.159,0.295,0,63.7350409463148
"81","TACSTD2","P09758",2,0,1,0.332,0.294,0,82.2203
"280","CXCL17","Q6UXB2",2,2189,5,0.06,0.292,0,59.5331502590674
"254","GINS1","Q14691",2,464,3,0.241,0.287,0,93.3026906385617
"7","UBE2C","O00762",2,15543,8,0.355,0.286,0,89.6987066473989
"402","PPP1R1B","Q9UD71",2,0,1,0.401,0.285,0,66.0413842333954
"139","CCNE1","P24864",2,300,3,0.101,0.284,0,79.9765767949106
"233","CXCL9","Q07325",2,0,2,0.304,0.283,0,87.9239755351682
"145","S100A2","P29034",2,0,1,0.329,0.282,0,87.0577677419355
"108","DSP","P15924",2,0,1,0.201,0.279,0,80.8613886260002
"333","TFAP2C","Q92754",9,0,1,0.181,0.278,0,66.8880300838878
"131","EPHA1","P21709",2,0,3,0.216,0.277,0,80.6423741765481
"241","MSLN","Q13421",2,0,1,0.171,0.275,0,79.0873356686586
"120","SPI1","P17947",2,0,1,0.383,0.269,0,65.9968795620438
"418","AP1M2","Q9Y6Q5",2,6563,12,0.188,0.268,0,93.091293078056
"248","IL18","Q14116",2,321,2,0.438,0.267,0,89.070800256082
"222","LCN2","P80188",2,0,1,0.14,0.259,0,91.9916917293233
"312","STXBP6","Q8NFX7",29,0,1,0.123,0.254,0,87.121392251816
"117","EPCAM","P16422",2,0,1,0.289,0.252,0,87.506487704918
"98","TNNT1","P13805",2,0,2,0.147,0.251,0,74.9739308855292
"75","KRT7","P08729",2,0,1,0.442,0.249,0,75.6942096505824
"83","CCL3","P10147",2,0,1,0.305,0.249,0,89.8919487908962
"249","TRIM29","Q14134",2,0,1,0.011,0.247,0,62.3691121697705
"412","CLDN16","Q9Y5I7",2,0,5,0.14,0.247,0,69.1026422250316
"157","S100A5","P33763",2,0,1,0.42,0.246,0,93.6318983957219
"13","UBD","O15205",2,0,1,0.376,0.245,0,85.7650658404338
"171","CENPF","P49454",2,768,3,0.328,0.243,0,70.3329779477147
"337","RAD51AP1","Q96B01",2,0,1,0.122,0.242,0,58.7984421364985
"310","FAM181A","Q8N9Y4",2,0,1,0.33,0.241,0,60.5045831803158
"314","LILRB4","Q8NHJ6",2,2232,2,0.423,0.24,0,66.7008059873345
"390","CHD7","Q9P2D1",2,0,1,0.138,0.239,0,61.1611983433871
"354","VGLL1","Q99990",2,0,1,0.305,0.237,0,58.2235029644269
"39","NTN1","O95631",24,0,1,0.246,0.236,0,88.7174857384323
"369","CDT1","Q9H211",2,1678,4,0.393,0.234,0,74.9077927289896
"47","CFB","P00751",6,0,1,0.09,0.232,0,85.8838985024958
"40","CLDN1","O95832",2,5435,6,0.392,0.231,0,84.7003894472362
"58","CXCL10","P02778",2,9126,5,0.109,0.23,0,90.0851058201058
"18","SYNGR2","O43760",27,0,1,0.192,0.229,0,81.6683229107447
"63","HLA-DPB1","P04440",2,0,2,0.168,0.229,0,87.1375744265495
"93","CDH1","P12830",2,18603,8,0.076,0.224,0,79.8905516739447
"261","MPPED2","Q15777",2,0,1,0.12,0.222,0,95.3671483050847
"228","TNFAIP2","Q03169",29,0,1,0.238,0.221,0,85.9486219702893
"349","UHRF1","Q96T88",2,479,5,0.21,0.221,0,81.267136731777
"324","MUC16","Q8WXI7",2,321,2,0.085,0.22,0,75.5409531293335
"78","CD48","P09326",2,640,2,0.445,0.219,0,83.7272325102881
"197","EPPK1","P58107",2,949,2,0.118,0.219,0,79.6151993752297
"238","CDC20","Q12834",2,3055,5,0.319,0.217,0,84.8543494038362
"277","KRT80","Q6KB66",2,323,3,0.411,0.209,0,76.7673063877897
"391","CHD7","Q9P2D1",2,0,1,0.108,0.204,0,64.0893485051316
"123","SDC1","P18827",2,7057,7,0.4,0.203,0,55.993032427695
"119","HOXB4","P17483",17,0,1,0.094,0.202,0,68.074049331963
