	Q96RS6	Q96K31	Q6KF10	Q8TAT2	Q9H0F6	Q99575	Q13630	Q9NX95	P34981
Q9BT76	Q8IVV8	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y666	Q8TE54	NA	NA	NA	NA	NA	NA	NA	NA
O76095	Q9Y605	NA	NA	NA	NA	NA	NA	NA	NA
Q8TDP1	Q8NGT7	NA	NA	NA	NA	NA	NA	NA	NA
Q30KQ6	Q8N688	NA	NA	NA	NA	NA	NA	NA	NA
Q8NGT5	A6NHN0	NA	NA	NA	NA	NA	NA	NA	NA
Q8NCC5	Q8WWB7	NA	NA	NA	NA	NA	NA	NA	NA
Q6UX73	Q2YD98	NA	NA	NA	NA	NA	NA	NA	NA
P0CI25	Q5JSQ8	NA	NA	NA	NA	NA	NA	NA	NA
Q5FWF6	Q3I5F7	NA	NA	NA	NA	NA	NA	NA	NA
A6NNE9	Q9NV58	NA	NA	NA	NA	NA	NA	NA	NA
Q8WWZ8	Q96MZ0	NA	NA	NA	NA	NA	NA	NA	NA
Q6ZUI0	Q9BQI4	NA	NA	NA	NA	NA	NA	NA	NA
Q6UQ28	Q9HBX8	NA	NA	NA	NA	NA	NA	NA	NA
Q9H114	O60831	NA	NA	NA	NA	NA	NA	NA	NA
Q5SQS7	Q8NG11	NA	NA	NA	NA	NA	NA	NA	NA
O43292	Q86VD9	NA	NA	NA	NA	NA	NA	NA	NA
Q8N283	Q8IVB5	NA	NA	NA	NA	NA	NA	NA	NA
	A6NE02	NA	NA	NA	NA	NA	NA	NA	NA
Q68G75	Q3ZCV2	NA	NA	NA	NA	NA	NA	NA	NA
Q9BWH2	Q96A26	NA	NA	NA	NA	NA	NA	NA	NA
Q9NTM9	Q9NQZ7	NA	NA	NA	NA	NA	NA	NA	NA
Q9H1H1	Q9UMQ6	NA	NA	NA	NA	NA	NA	NA	NA
A6NHS7	Q6ZRP0	NA	NA	NA	NA	NA	NA	NA	NA
O95006	Q9Y4C2	NA	NA	NA	NA	NA	NA	NA	NA
Q8IYJ0	P86452	NA	NA	NA	NA	NA	NA	NA	NA
Q7L592	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14792	NA	NA	NA	NA	NA	NA	NA	NA	NA
P13569	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16850	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96RU2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16654	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UHR4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H6T3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P15085	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96S59	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75954	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N806	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NFJ5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRV9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q7KZN9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99666	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H1B5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P47872	NA	NA	NA	NA	NA	NA	NA	NA	NA
A5PKW4	NA	NA	NA	NA	NA	NA	NA	NA	NA
P82251	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TDY2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q12864	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UBV7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99972	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96C01	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BV20	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13395	NA	NA	NA	NA	NA	NA	NA	NA	NA
P07585	NA	NA	NA	NA	NA	NA	NA	NA	NA
P35250	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6ZSY5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75508	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y548	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q7Z695	NA	NA	NA	NA	NA	NA	NA	NA	NA
P11169	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92519	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96G74	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NZU5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HCE9	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32942	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WZ74	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94805	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NX61	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9P0K8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TBA6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15645	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q7L8A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13103	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99714	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N4F0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BRR8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q12816	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15012	NA	NA	NA	NA	NA	NA	NA	NA	NA
P08243	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H098	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15035	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6AI08	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H6F2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9GZN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6BDS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86WC4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BZW2	NA	NA	NA	NA	NA	NA	NA	NA	NA
P55809	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKJ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NYV6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q3SYC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43264	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UJA5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P31930	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15773	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H2X0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95255	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q70J99	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60431	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRG9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99518	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49366	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NTN9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16772	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y6G1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96EB6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P61266	NA	NA	NA	NA	NA	NA	NA	NA	NA
P17568	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95721	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UMW8	NA	NA	NA	NA	NA	NA	NA	NA	NA
P53007	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51003	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15270	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13686	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14973	NA	NA	NA	NA	NA	NA	NA	NA	NA
P46663	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q07973	NA	NA	NA	NA	NA	NA	NA	NA	NA
P11216	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UNN8	NA	NA	NA	NA	NA	NA	NA	NA	NA
P10244	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UBR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H4B7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96BD0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q05639	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NQ40	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NFJ6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P18428	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H598	NA	NA	NA	NA	NA	NA	NA	NA	NA
P23526	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H490	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14734	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HDC9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NSA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60828	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UHG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51784	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UXX5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P31146	NA	NA	NA	NA	NA	NA	NA	NA	NA
P56270	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14735	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TCF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15006	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q08477	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HA65	NA	NA	NA	NA	NA	NA	NA	NA	NA
P78329	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H6B9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16543	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95716	NA	NA	NA	NA	NA	NA	NA	NA	NA
P19235	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92947	NA	NA	NA	NA	NA	NA	NA	NA	NA
P20336	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49747	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HB55	NA	NA	NA	NA	NA	NA	NA	NA	NA
P48307	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15165	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95859	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13442	NA	NA	NA	NA	NA	NA	NA	NA	NA
P20815	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15113	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NW13	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86VF5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60568	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BYV8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5EB52	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UDT6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NZZ3	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43174	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60347	NA	NA	NA	NA	NA	NA	NA	NA	NA
P05164	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UJ37	NA	NA	NA	NA	NA	NA	NA	NA	NA
P11678	NA	NA	NA	NA	NA	NA	NA	NA	NA
P63272	NA	NA	NA	NA	NA	NA	NA	NA	NA
P23443	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96AG4	NA	NA	NA	NA	NA	NA	NA	NA	NA
P43652	NA	NA	NA	NA	NA	NA	NA	NA	NA
P30968	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H720	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49888	NA	NA	NA	NA	NA	NA	NA	NA	NA
O76024	NA	NA	NA	NA	NA	NA	NA	NA	NA
P53634	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75312	NA	NA	NA	NA	NA	NA	NA	NA	NA
P24385	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BVC6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96RD7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IY34	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96PD7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q00325	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q07108	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92478	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPF7	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15528	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9ULR3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q969R8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NR21	NA	NA	NA	NA	NA	NA	NA	NA	NA
P36941	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13601	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NEB7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WUD6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y3E0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NVK5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96IZ2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NQE9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HB96	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00294	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16539	NA	NA	NA	NA	NA	NA	NA	NA	NA
P06340	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPB0	NA	NA	NA	NA	NA	NA	NA	NA	NA
P80108	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPZ5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43167	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92562	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99750	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13895	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UMX6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P23942	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43598	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49590	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99075	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPG4	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75694	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TBB6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q08426	NA	NA	NA	NA	NA	NA	NA	NA	NA
P04196	NA	NA	NA	NA	NA	NA	NA	NA	NA
P50120	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16877	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86VD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
P10646	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49279	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96GK7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99726	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15036	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q49AM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99704	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H8M9	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60928	NA	NA	NA	NA	NA	NA	NA	NA	NA
P38435	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q01638	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UBY0	NA	NA	NA	NA	NA	NA	NA	NA	NA
P04070	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q03701	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13416	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96MN5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BXS4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NTN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UGM6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q32P28	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60779	NA	NA	NA	NA	NA	NA	NA	NA	NA
P14151	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q2M3M2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UNA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P22894	NA	NA	NA	NA	NA	NA	NA	NA	NA
P02647	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HBV2	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00237	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94964	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14094	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49788	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKF6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P56915	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86TW2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H1B7	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49753	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UPI3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P10600	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6NUQ4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NCA5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14CX5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49683	NA	NA	NA	NA	NA	NA	NA	NA	NA
P28562	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H999	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WWN8	NA	NA	NA	NA	NA	NA	NA	NA	NA
P18146	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y3C0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IZV5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13207	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IWB6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15003	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NYW2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NYW0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NYW3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92847	NA	NA	NA	NA	NA	NA	NA	NA	NA
P50591	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51857	NA	NA	NA	NA	NA	NA	NA	NA	NA
P10124	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14714	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BQ61	NA	NA	NA	NA	NA	NA	NA	NA	NA
P48960	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q53FV1	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00519	NA	NA	NA	NA	NA	NA	NA	NA	NA
P61619	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NR55	NA	NA	NA	NA	NA	NA	NA	NA	NA
P20851	NA	NA	NA	NA	NA	NA	NA	NA	NA
P57729	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NYM4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IZ52	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H9F9	NA	NA	NA	NA	NA	NA	NA	NA	NA
P41968	NA	NA	NA	NA	NA	NA	NA	NA	NA
P19174	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16647	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95863	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95396	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96PE7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9ULR5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P58173	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NP99	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96P44	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14944	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75556	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9P0I2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TCD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WV83	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y5U4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NDX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43555	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPY3	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60676	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPJ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NQ03	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y5R2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UPG8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H665	NA	NA	NA	NA	NA	NA	NA	NA	NA
P04632	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UBK5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P47710	NA	NA	NA	NA	NA	NA	NA	NA	NA
P27918	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96I13	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95619	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NYW6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NYW5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NYW4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96PQ6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NXK8	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60412	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96RI0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N6Q8	NA	NA	NA	NA	NA	NA	NA	NA	NA
P68366	NA	NA	NA	NA	NA	NA	NA	NA	NA
P61952	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14314	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y6J8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9ULQ0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HBW1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99835	NA	NA	NA	NA	NA	NA	NA	NA	NA
P03999	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPB9	NA	NA	NA	NA	NA	NA	NA	NA	NA
P61224	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16613	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UNK9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96N67	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43304	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IX18	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BQ83	NA	NA	NA	NA	NA	NA	NA	NA	NA
P19087	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y2H9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UWM9	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95450	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BY07	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95219	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BXT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NVC6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N323	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H5Z1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TEL6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5TEA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IWT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9C0K3	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60330	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IZ69	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96DF8	NA	NA	NA	NA	NA	NA	NA	NA	NA
P04264	NA	NA	NA	NA	NA	NA	NA	NA	NA
P48668	NA	NA	NA	NA	NA	NA	NA	NA	NA
P22460	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6PCB7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NBJ5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95336	NA	NA	NA	NA	NA	NA	NA	NA	NA
P01588	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92626	NA	NA	NA	NA	NA	NA	NA	NA	NA
P17535	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BWQ6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P41091	NA	NA	NA	NA	NA	NA	NA	NA	NA
